fsa,year,installs,installed_kw
B0A,2021,1,5.1
B0C,2019,3,24.17
B0C,2020,1,3.6
B0C,2021,2,23.48
B0C,2024,1,12.29
B0E,2018,2,13.7
B0E,2019,21,184.57
B0E,2020,33,322.0
B0E,2021,29,341.57
B0E,2022,16,167.83
B0E,2023,1,12.15
B0E,2024,9,116.27
B0E,2025,7,96.9
B0H,2019,8,82.71
B0H,2020,8,78.42
B0H,2021,19,201.47
B0H,2022,8,80.74
B0H,2023,4,37.54
B0H,2024,2,23.5
B0H,2025,5,51.4
B0J,2018,8,73.44
B0J,2019,70,665.42
B0J,2020,61,658.91
B0J,2021,91,944.11
B0J,2022,75,784.07
B0J,2023,26,327.39
B0J,2024,39,399.82
B0J,2025,28,310.08
B0K,2018,3,17.28
B0K,2019,26,268.12
B0K,2020,30,301.26
B0K,2021,63,700.89
B0K,2022,45,497.51
B0K,2023,3,29.42
B0K,2024,18,187.24
B0K,2025,33,343.61
B0L,2020,1,7.37
B0L,2021,4,42.36
B0L,2022,6,53.01
B0M,2019,6,56.8
B0M,2020,19,191.84
B0M,2021,32,334.66
B0M,2022,20,215.0
B0M,2023,6,66.32
B0M,2024,7,52.95
B0M,2025,12,118.82
B0N,2018,2,17.31
B0N,2019,34,374.3
B0N,2020,50,515.52
B0N,2021,86,866.34
B0N,2022,67,730.94
B0N,2023,15,164.14
B0N,2024,24,263.63
B0N,2025,27,340.84
B0P,2018,6,53.81
B0P,2019,50,479.48
B0P,2020,52,591.41
B0P,2021,72,812.21
B0P,2022,72,795.59
B0P,2023,14,159.52
B0P,2024,23,310.99
B0P,2025,23,251.89
B0R,2018,2,17.64
B0R,2019,5,50.15
B0R,2020,8,84.45
B0R,2021,20,184.56
B0R,2022,10,92.34
B0R,2023,1,10.01
B0R,2024,4,43.56
B0R,2025,4,41.78
B0S,2018,1,8.8
B0S,2019,34,308.58
B0S,2020,27,266.1
B0S,2021,50,476.65
B0S,2022,38,348.56
B0S,2023,7,82.25
B0S,2024,10,110.74
B0S,2025,10,103.08
B0T,2018,1,3.78
B0T,2019,11,90.65
B0T,2020,7,54.27
B0T,2021,15,115.6
B0T,2022,18,169.59
B0T,2023,3,26.41
B0T,2024,7,62.09
B0T,2025,5,44.6
B0V,2018,1,8.96
B0V,2019,1,9.32
B0V,2020,7,70.3
B0V,2021,8,74.37
B0V,2022,8,83.88
B0V,2023,3,22.14
B0V,2024,1,12.5
B0V,2025,2,19.84
B0W,2018,2,31.36
