"partial_postal_code","total_dc_capacity_kw","year_installed"
"B0E","5.3","2018"
"B0E","8.4","2018"
"B0J","2.95","2018"
"B0J","4.41","2018"
"B0J","8","2018"
"B0J","9.28","2018"
"B0J","11.34","2018"
"B0J","11.52","2018"
"B0J","12.8","2018"
"B0J","13.14","2018"
"B0K","4.88","2018"
"B0K","6.1","2018"
"B0K","6.3","2018"
"B0N","5.28","2018"
"B0N","12.025","2018"
"B0P","4.41","2018"
"B0P","6.3","2018"
"B0P","8.505","2018"
"B0P","9.6","2018"
"B0P","11.34","2018"
"B0P","13.65","2018"
"B0R","4.41","2018"
"B0R","13.23","2018"
"B0S","8.8","2018"
"B0T","3.78","2018"
"B0V","8.96","2018"
"B0W","10.56","2018"
"B0W","20.8","2018"
"B1J","4.8","2018"
"B1K","11.4","2018"
"B1L","9.6","2018"
"B1L","9.9","2018"
"B1L","11.4","2018"
"B1L","19.2","2018"
"B1P","6","2018"
"B1R","11.4","2018"
"B2B","11.025","2018"
"B2G","3.66","2018"
"B2G","9.6","2018"
"B2H","6.71","2018"
"B2R","11.04","2018"
"B2S","10.2","2018"
"B2S","11.52","2018"
"B2T","10.24","2018"
"B2T","12.8","2018"
"B2T","20.8","2018"
"B2V","2.72","2018"
"B2W","12.16","2018"
"B2W","12.42","2018"
"B2X","6.4","2018"
"B2Y","10.065","2018"
"B2Y","12.48","2018"
"B2Z","6.27","2018"
"B2Z","9.66","2018"
"B2Z","12.8","2018"
"B3A","3.85","2018"
"B3A","5.12","2018"
"B3A","5.6","2018"
"B3A","6.4","2018"
"B3A","7.68","2018"
"B3E","11.52","2018"
"B3G","10.56","2018"
"B3G","10.89","2018"
"B3K","3.64","2018"
"B3K","6","2018"
"B3K","6.4","2018"
"B3K","9.04","2018"
"B3L","9.92","2018"
"B3M","5.1","2018"
"B3M","5.52","2018"
"B3M","9.92","2018"
"B3M","10","2018"
"B3M","10.37","2018"
"B3M","10.88","2018"
"B3N","9.6","2018"
"B3P","7.9","2018"
"B3R","8.28","2018"
"B3R","10.56","2018"
"B3T","8.82","2018"
"B3T","9.6","2018"
"B3T","10.88","2018"
"B3V","7.04","2018"
"B3Z","6.6","2018"
"B3Z","11.52","2018"
"B3Z","12.8","2018"
"B3Z","13.65","2018"
"B4A","8.28","2018"
"B4B","5.04","2018"
"B4B","6.3","2018"
"B4B","7.15","2018"
"B4B","9.76","2018"
"B4C","6.4","2018"
"B4C","10.5","2018"
"B4E","7.36","2018"
"B4E","10","2018"
"B4E","10.23","2018"
"B4E","12.48","2018"
"B4H","7.2","2018"
"B4N","6.72","2018"
"B4N","8","2018"
"B4N","8","2018"
"B4P","0.6","2018"
"B4P","9.1","2018"
"B4R","6.3","2018"
"B4V","12","2018"
"B9A","6.6","2018"
"B9A","10.8","2018"
"B0C","4.96","2019"
"B0C","9.6","2019"
"B0C","9.61","2019"
"B0E","3.72","2019"
"B0E","4.8","2019"
"B0E","4.8","2019"
"B0E","4.88","2019"
"B0E","6","2019"
"B0E","7.44","2019"
"B0E","8.03","2019"
"B0E","8.05","2019"
"B0E","8.4","2019"
"B0E","8.505","2019"
"B0E","9","2019"
"B0E","9.3","2019"
"B0E","9.92","2019"
"B0E","9.92","2019"
"B0E","11.16","2019"
"B0E","11.4","2019"
"B0E","11.47","2019"
"B0E","11.59","2019"
"B0E","11.78","2019"
"B0E","12","2019"
"B0E","12.4","2019"
"B0H","3.72","2019"
"B0H","9","2019"
"B0H","9.92","2019"
"B0H","11.16","2019"
"B0H","11.4","2019"
"B0H","12.09","2019"
"B0H","12.4","2019"
"B0H","13.02","2019"
"B0J","3.78","2019"
"B0J","4.08","2019"
"B0J","4.48","2019"
"B0J","4.88","2019"
"B0J","4.88","2019"
"B0J","5.39","2019"
"B0J","5.52","2019"
"B0J","6.20003651","2019"
"B0J","6.3","2019"
"B0J","6.375","2019"
"B0J","7.015","2019"
"B0J","7.15","2019"
"B0J","7.26","2019"
"B0J","7.32","2019"
"B0J","7.4","2019"
"B0J","7.4","2019"
"B0J","7.56","2019"
"B0J","7.8","2019"
"B0J","7.8","2019"
"B0J","8.085","2019"
"B0J","8.1","2019"
"B0J","8.16","2019"
"B0J","8.4","2019"
"B0J","8.76","2019"
"B0J","8.775","2019"
"B0J","8.775","2019"
"B0J","9","2019"
"B0J","9.1","2019"
"B0J","9.125","2019"
"B0J","9.45","2019"
"B0J","9.6","2019"
"B0J","9.6","2019"
"B0J","9.6","2019"
"B0J","9.6","2019"
"B0J","9.6","2019"
"B0J","9.6","2019"
"B0J","9.75","2019"
"B0J","9.75","2019"
"B0J","9.9","2019"
"B0J","9.9","2019"
"B0J","9.92","2019"
"B0J","9.99997849","2019"
"B0J","10","2019"
"B0J","10.36","2019"
"B0J","10.395","2019"
"B0J","10.4","2019"
"B0J","10.4","2019"
"B0J","10.4","2019"
"B0J","10.5","2019"
"B0J","10.78","2019"
"B0J","11.04","2019"
"B0J","11.1","2019"
"B0J","11.2","2019"
"B0J","11.34","2019"
"B0J","11.34","2019"
"B0J","11.59","2019"
"B0J","11.84","2019"
"B0J","12.21","2019"
"B0J","12.24","2019"
"B0J","12.4","2019"
"B0J","12.4","2019"
"B0J","12.4","2019"
"B0J","12.41","2019"
"B0J","12.6","2019"
"B0J","12.675","2019"
"B0J","13.325","2019"
"B0J","13.505","2019"
"B0J","14.63","2019"
"B0J","15.2","2019"
"B0J","15.6","2019"
"B0K","2.79","2019"
"B0K","5.52","2019"
"B0K","5.58","2019"
"B0K","5.94","2019"
"B0K","6.6","2019"
"B0K","8.37","2019"
"B0K","8.8","2019"
"B0K","9.6","2019"
"B0K","9.92","2019"
"B0K","10.2","2019"
"B0K","10.395","2019"
"B0K","10.56","2019"
"B0K","10.56","2019"
"B0K","10.72","2019"
"B0K","10.72","2019"
"B0K","10.89","2019"
"B0K","10.89","2019"
"B0K","11.73","2019"
"B0K","12","2019"
"B0K","12.18","2019"
"B0K","12.2","2019"
"B0K","12.4","2019"
"B0K","12.4","2019"
"B0K","14.52","2019"
"B0K","14.88","2019"
"B0K","17.755","2019"
"B0M","3.96","2019"
"B0M","5.28","2019"
"B0M","10.08","2019"
"B0M","11.84","2019"
"B0M","12","2019"
"B0M","13.64","2019"
"B0N","2.64","2019"
"B0N","3.65","2019"
"B0N","3.9","2019"
"B0N","4.88","2019"
"B0N","5.2","2019"
"B0N","6.03","2019"
"B0N","7.6","2019"
"B0N","8.19","2019"
"B0N","8.5","2019"
"B0N","8.775","2019"
"B0N","9.2","2019"
"B0N","9.9","2019"
"B0N","9.92","2019"
"B0N","10.2","2019"
"B0N","10.22","2019"
"B0N","10.395","2019"
"B0N","10.56","2019"
"B0N","10.56","2019"
"B0N","10.78","2019"
"B0N","11.04","2019"
"B0N","11.84","2019"
"B0N","12","2019"
"B0N","12.32","2019"
"B0N","12.8","2019"
"B0N","12.9","2019"
"B0N","13.09","2019"
"B0N","13.32","2019"
"B0N","14.6","2019"
"B0N","15","2019"
"B0N","15.2","2019"
"B0N","17.25","2019"
"B0N","19.14","2019"
"B0N","20.8","2019"
"B0N","21.9","2019"
"B0P","3.9","2019"
"B0P","4.08","2019"
"B0P","4.55","2019"
"B0P","5.92","2019"
"B0P","6.24","2019"
"B0P","6.3","2019"
"B0P","6.3","2019"
"B0P","6.5","2019"
"B0P","6.5","2019"
"B0P","6.8","2019"
"B0P","7.11","2019"
"B0P","7.15","2019"
"B0P","7.15","2019"
"B0P","7.56","2019"
"B0P","7.56","2019"
"B0P","7.6","2019"
"B0P","7.7","2019"
"B0P","7.75","2019"
"B0P","7.8","2019"
"B0P","8.28","2019"
"B0P","8.36","2019"
"B0P","8.45","2019"
"B0P","8.775","2019"
"B0P","9.1","2019"
"B0P","9.6","2019"
"B0P","9.75","2019"
"B0P","10.01","2019"
"B0P","10.22","2019"
"B0P","10.4","2019"
"B0P","10.4","2019"
"B0P","10.4","2019"
"B0P","10.4","2019"
"B0P","10.725","2019"
"B0P","10.725","2019"
"B0P","11.04","2019"
"B0P","11.05","2019"
"B0P","11.7","2019"
"B0P","11.7","2019"
"B0P","11.7","2019"
"B0P","11.7","2019"
"B0P","11.97","2019"
"B0P","12.32","2019"
"B0P","12.35","2019"
"B0P","12.35","2019"
"B0P","13.2","2019"
"B0P","13.2","2019"
"B0P","13.26","2019"
"B0P","13.32","2019"
"B0P","15.84","2019"
"B0P","22.715","2019"
"B0R","5.67","2019"
"B0R","8.775","2019"
"B0R","10.95","2019"
"B0R","10.95","2019"
"B0R","13.8","2019"
"B0S","4.8","2019"
"B0S","5.525","2019"
"B0S","6.08","2019"
"B0S","6.205","2019"
"B0S","6.3","2019"
"B0S","6.5","2019"
"B0S","6.66","2019"
"B0S","6.825","2019"
"B0S","6.825","2019"
"B0S","6.84","2019"
"B0S","7.44","2019"
"B0S","8","2019"
"B0S","8","2019"
"B0S","8.51","2019"
"B0S","8.775","2019"
"B0S","9.1","2019"
"B0S","9.1","2019"
"B0S","9.1","2019"
"B0S","9.1","2019"
"B0S","9.1","2019"
"B0S","9.24","2019"
"B0S","9.49","2019"
"B0S","9.6","2019"
"B0S","9.75","2019"
"B0S","10.4","2019"
"B0S","10.78","2019"
"B0S","11.7","2019"
"B0S","11.7","2019"
"B0S","11.7","2019"
"B0S","11.84","2019"
"B0S","12.41","2019"
"B0S","13.32","2019"
"B0S","13.65","2019"
"B0S","14.22","2019"
"B0T","1.1","2019"
"B0T","1.89","2019"
"B0T","3.6","2019"
"B0T","4.4","2019"
"B0T","8","2019"
"B0T","9.66","2019"
"B0T","9.92","2019"
"B0T","10","2019"
"B0T","10.98","2019"
"B0T","11.895","2019"
"B0T","19.2","2019"
"B0V","9.315","2019"
"B0W","6","2019"
"B0W","7.15","2019"
"B0W","8","2019"
"B0W","8.76","2019"
"B0W","10","2019"
"B0W","10.4","2019"
"B0W","10.8","2019"
"B0W","11.2","2019"
"B0W","20.475","2019"
"B0W","20.8","2019"
"B1A","8.125","2019"
"B1A","9","2019"
"B1A","11.4","2019"
"B1C","11.4","2019"
"B1H","7.8","2019"
"B1H","11.7","2019"
"B1H","12.09","2019"
"B1H","12.4","2019"
"B1J","9.6","2019"
"B1K","7.56","2019"
"B1K","11.4","2019"
"B1K","12","2019"
"B1K","12.2","2019"
"B1K","12.4","2019"
"B1L","10.35","2019"
"B1M","12.4","2019"
"B1N","12.4","2019"
"B1N","15.695","2019"
"B1P","7.2","2019"
"B1P","8.68","2019"
"B1R","6","2019"
"B1R","11.4","2019"
"B1R","11.4","2019"
"B1S","9.3","2019"
"B1V","5.55","2019"
"B1X","10.85","2019"
"B1X","12.4","2019"
"B1Y","10.8","2019"
"B1Y","11.78","2019"
"B1Y","12.4","2019"
"B1Y","24.8","2019"
"B2A","11.47","2019"
"B2G","3.1","2019"
"B2G","4.65","2019"
"B2G","4.96","2019"
"B2G","5.94","2019"
"B2G","6.82","2019"
"B2G","7.44","2019"
"B2G","8.04","2019"
"B2G","8.68","2019"
"B2G","8.91","2019"
"B2G","9.3","2019"
"B2G","9.38","2019"
"B2G","9.61","2019"
"B2G","9.99","2019"
"B2G","10.36","2019"
"B2G","10.585","2019"
"B2G","11.1","2019"
"B2G","11.16","2019"
"B2G","11.16","2019"
"B2G","11.2","2019"
"B2G","11.78","2019"
"B2G","12.09","2019"
"B2G","12.09","2019"
"B2G","12.4","2019"
"B2G","12.4","2019"
"B2G","12.4","2019"
"B2G","12.87","2019"
"B2G","13","2019"
"B2H","6.51","2019"
"B2H","8.03","2019"
"B2H","8.04","2019"
"B2H","11.16","2019"
"B2H","13.14","2019"
"B2H","13.14","2019"
"B2H","16.08","2019"
"B2N","5.2","2019"
"B2N","8.71","2019"
"B2N","9.6","2019"
"B2N","12.045","2019"
"B2N","12.35","2019"
"B2R","7.7","2019"
"B2R","9.24","2019"
"B2R","9.75","2019"
"B2R","10.4","2019"
"B2R","10.875","2019"
"B2S","5.92","2019"
"B2S","6.84","2019"
"B2S","9.25","2019"
"B2S","9.49","2019"
"B2S","10.35","2019"
"B2S","11.55","2019"
"B2S","13","2019"
"B2T","4.8","2019"
"B2T","7.92","2019"
"B2T","8","2019"
"B2T","9.6","2019"
"B2T","9.76","2019"
"B2T","9.9","2019"
"B2T","10.065","2019"
"B2T","10.4","2019"
"B2T","10.73","2019"
"B2T","10.89","2019"
"B2T","11.04","2019"
"B2T","11.59","2019"
"B2T","12.35","2019"
"B2T","13.2","2019"
"B2V","7.14","2019"
"B2V","8.235","2019"
"B2V","9.315","2019"
"B2V","10.23","2019"
"B2V","10.585","2019"
"B2V","10.8","2019"
"B2V","11.04","2019"
"B2V","13.14","2019"
