figure,value
margin_pct_2015,-0.16
margin_pct_2016,-2.38
margin_pct_2017,1.46
margin_pct_2018,6.26
margin_pct_2019,2.11
margin_pct_2020,3.24
margin_pct_2021,4.67
margin_pct_2022,2.54
margin_pct_2023,2.02
margin_pct_2024,1.60
margin_dir_2015,n/a
margin_dir_2016,down
margin_dir_2017,up
margin_dir_2018,up
margin_dir_2019,down
margin_dir_2020,up
margin_dir_2021,up
margin_dir_2022,down
margin_dir_2023,down
margin_dir_2024,down
equity_ratio_pct_2015,41.87
equity_ratio_pct_2016,39.02
equity_ratio_pct_2017,41.67
equity_ratio_pct_2018,46.42
equity_ratio_pct_2019,48.52
equity_ratio_pct_2020,50.38
equity_ratio_pct_2021,53.28
equity_ratio_pct_2022,53.56
equity_ratio_pct_2023,43.38
equity_ratio_pct_2024,39.24
equity_dir_2015,n/a
equity_dir_2016,down
equity_dir_2017,up
equity_dir_2018,up
equity_dir_2019,up
equity_dir_2020,up
equity_dir_2021,up
equity_dir_2022,up
equity_dir_2023,down
equity_dir_2024,down
solvency_ratio_2015,1.72
solvency_ratio_2016,1.64
solvency_ratio_2017,1.71
solvency_ratio_2018,1.87
solvency_ratio_2019,1.94
solvency_ratio_2020,2.01
solvency_ratio_2021,2.14
solvency_ratio_2022,2.15
solvency_ratio_2023,1.77
solvency_ratio_2024,1.65
employees_per_coop_2015,6.07
employees_per_coop_2016,5.50
employees_per_coop_2017,4.85
employees_per_coop_2018,4.36
employees_per_coop_2019,4.65
employees_per_coop_2020,5.27
employees_per_coop_2021,5.32
employees_per_coop_2022,5.46
employees_per_coop_2023,5.91
employees_per_coop_2024,5.91
employees_dir_2015,n/a
employees_dir_2016,down
employees_dir_2017,down
employees_dir_2018,down
employees_dir_2019,up
employees_dir_2020,up
employees_dir_2021,up
employees_dir_2022,up
employees_dir_2023,up
employees_dir_2024,flat
total_income_all_years,3335744914
total_expenses_all_years,3269584994
total_net_income_all_years,66159920
overall_margin_pct,1.98
latest_year,2024
latest_margin_pct,1.60
latest_margin_dir,down
latest_equity_ratio_pct,39.24
latest_equity_dir,down
latest_solvency_ratio,1.65
latest_employees_per_coop,5.91
latest_employees_dir,flat
