"region","variable","common_name","description","rcp45_p05_2010","rcp45_p05_2045","rcp45_p05_2065","rcp45_p05_2095","rcp45_p50_2010","rcp45_p50_2045","rcp45_p50_2065","rcp45_p50_2095","rcp45_p95_2010","rcp45_p95_2045","rcp45_p95_2065","rcp45_p95_2095","rcp85_p05_2010","rcp85_p05_2045","rcp85_p05_2065","rcp85_p05_2095","rcp85_p50_2010","rcp85_p50_2045","rcp85_p50_2065","rcp85_p50_2095","rcp85_p95_2010","rcp85_p95_2045","rcp85_p95_2065","rcp85_p95_2095"
"Nova Scotia","am","Accumulated Moisture","The average estimated difference between total precipitation and evapo-transpiration over a running total of 3 months. For each year, the difference between total precipitation and Thornthwaite potential evaporation is calculated for a three month moving window. The annual value is the average over those 12 values.","142.4502415","144.1692045","143.9958265","142.5732577","194.9160807","199.7410593","200.3966993","198.4953317","254.4578939","259.4233594","262.3932697","263.353419","144.553533","145.0194975","139.4984718","137.9124174","195.4442785","199.415101","198.3938026","195.864859","257.0246973","265.9047393","265.7753869","257.0489939"
"Nova Scotia","cdd","Consecutive Dry Days","The maximum number of consecutive days over the season for which the precipitation was less than 1 mm.","8.908079516","8.912585283","8.841841293","8.942352989","12.35250162","12.42677875","12.36846166","12.41329597","18.83855182","18.93567251","18.64199561","18.62181205","8.883672433","8.880360624","8.922169428","9.028813353","12.38525422","12.32330247","12.43555068","12.60652209","18.79160372","19.08972953","19.32778996","19.24764457"
"Nova Scotia","cddcold18","Cooling Degree Days","The accumulated total of degrees celsius above 18°C mean temperature over the season. For any day above 18°C, the temperature that is accumulated is just the amount over 18°C. If the temperature is less than 18°C, nothing is accumulated. E.g, a day of 20°C accumulates 2°C.","29.39352285","71.45816786","106.8106877","153.7757247","84.77619453","152.3888784","201.5856341","250.188478","175.5740366","268.9054948","327.7934813","374.3540711","28.76025239","79.46564217","129.3529816","291.8040353","84.49789127","162.3277647","252.2362368","440.2214768","175.6869475","283.1115216","418.9266522","634.9109886"
"Nova Scotia","chd","Consecutive Hot Days","Maximum number of consecutive days where the maximum temperature was above 30°C","0","0","0","0","0","0","0","0","0","0.005456168","0.049064947","0.095635066","0","0","0","0.001034441","0","0","0","0.085716604","0","0.004766541","0.173400673","1.508660906"
"Nova Scotia","chdd","Critical heat days duration","Maximum length of the number of spells when maximum temperature is above 29°C and minimum temperature is below 16°C","0","0.057786702","0.308303923","0.902498884","0.142387733","1.34534096","2.255689424","3.250334672","2.493807553","5.215041986","7.086183116","8.475213987","0","0.064723541","0.631313131","3.275749462","0.129548497","1.403310211","3.288750963","9.255243195","2.497860127","5.37943694","9.982394223","23.51389396"
"Nova Scotia","chdf","Critical heat days frequency","Total number of days in spells when the maximum temperature is above 29°C and minimum temperature is below 16°C","0","0.069571214","0.446777007","1.778487688","0.147722202","2.130745203","4.475964464","7.771895663","3.977110462","10.54044461","15.99022352","20.68857247","0","0.075372196","1.066772139","9.579915622","0.1329155","2.312482252","7.734980325","24.4869985","3.912058334","11.70993063","24.55973389","46.13987262"
"Nova Scotia","cwf_tn10p","Coldwave frequency","Number of days in all coldwaves","0.000109529","0","0","0","4.225893473","0.73964545","0.158208592","0.106243154","17.21759969","8.987079632","5.257170095","3.132854651","0","0","0","0","4.123443356","0.430611334","0.071437264","0","17.09819852","8.087663786","4.241065271","0.572045759"
"Nova Scotia","cwm_tn10p","Coldwave magnitude","Average minimum temperature over all the days in all coldwaves","-21.48881467","-21.03701563","-19.87956973","-17.63166891","-16.90475821","-16.66931532","-15.69797898","-14.53763579","-8.800704339","-8.457406534","-9.013894888","-9.940353823","-21.40069204","-20.87228727","-19.3299367","-13.71516461","-16.96000134","-16.7431803","-15.46593177","-12.61798098","-8.968920557","-8.912933061","-10.75476429","-11.50752601"
"Nova Scotia","cwn_tn10p","Coldwave Number","A baseline daily temperature is computed over the years 1981 through 2010. A coldwave occurs when there are three or more consecutive days below the 10th percentile baseline temperature. The coldwave number is the number of times this occurs over the period November 1 through March 31.","0.0000365","0","0","0","1.098292159","0.25804227","0.055656971","0.037361567","4.145880492","2.357531135","1.413593769","0.885643584","0","0","0","0","1.112481361","0.140967912","0.026489798","0","4.173199533","2.128290942","1.156748205","0.177579003"
"Nova Scotia","dwr_annual","Days with Rain","Number of days in a season for which the precipitation was above 1 mm and the mean temperature was above 0°C.","94.17775344","101.1290414","105.3371466","107.7597055","111.730011","118.6375806","122.0793883","124.8033346","128.7676301","137.7935784","140.5438522","142.0596122","94.10880492","101.8937771","107.1717577","114.2808608","111.5953511","118.7367652","124.2635593","131.8230092","129.0817878","136.6724879","142.6197315","149.6710884"
"Nova Scotia","dwr_spring","Days with Rain","Number of days in a season for which the precipitation was above 1 mm and the mean temperature was above 0°C.","21.56507647","23.37680013","24.81179263","25.64094763","29.38897002","31.8535962","32.95667519","33.77286925","38.44252566","40.84887023","41.63033954","42.02504969","21.42857693","23.42146363","25.03251389","27.73842846","29.60326153","31.7758306","33.53807148","35.55324328","38.48619326","40.17256906","42.11070545","44.25994889"
"Nova Scotia","dwr_summer","Days with Rain","Number of days in a season for which the precipitation was above 1 mm and the mean temperature was above 0°C.","23.75886374","24.05385177","24.12417346","24.02166241","31.5464687","31.72715103","31.83116304","31.57433776","39.83938988","40.22003164","40.18163563","40.07721796","23.91276622","24.19404892","24.09145674","23.34130461","31.51535435","31.56825281","31.55247252","31.40456777","39.62491785","39.66938461","39.6915541","39.53014077"
"Nova Scotia","dwr_fall","Days with Rain","Number of days in a season for which the precipitation was above 1 mm and the mean temperature was above 0°C.","27.37383879","27.55107298","27.92856274","28.44276094","34.6519411","35.38769218","35.44712182","35.85189242","42.56699931","43.91734615","43.8200073","43.5391262","27.3485173","27.12936595","27.47584276","27.23001095","34.72049815","35.38489311","35.5126364","34.9930226","42.93438603","43.46878423","43.25759604","43.17802523"
"Nova Scotia","dwr_winter","Days with Rain","Number of days in a season for which the precipitation was above 1 mm and the mean temperature was above 0°C.","7.65483956","10.3765973","12.76627723","14.02754452","15.16557138","19.45921058","21.6367693","23.40846213","24.62324449","29.58159912","31.65234676","33.63366598","7.611470123","11.10721675","13.97058943","19.30400389","15.21838871","19.72045759","23.7264614","29.80325342","24.19317472","30.11086771","34.56429759","40.3723784"
"Nova Scotia","dws_annual","Days with Snow","The number of days for which there was more than 1 mm of precipitation when the mean temperature was less than 0°C.","27.36045597","20.58518924","17.94434303","15.47900694","38.73828648","31.99440185","28.68354225","25.40744797","51.93372074","44.83130502","40.73775912","35.96657336","27.30927143","19.81789785","14.35365705","8.412863576","38.86568496","31.62983246","25.28984625","17.17877571","52.12003773","44.59973226","37.9454586","27.73252606"
"Nova Scotia","dws_spring","Days with Snow","The number of days for which there was more than 1 mm of precipitation when the mean temperature was less than 0°C.","2.909099022","1.611415358","1.312644517","0.737637418","7.695144213","5.680743175","4.773964545","3.88722567","14.34790069","11.55890228","10.15983124","8.878625614","2.906794856","1.449393534","0.695712141","0.150075048","7.73899639","5.756358768","3.835747029","2.001379254","14.3783599","11.80361851","8.861587765","5.943166606"
"Nova Scotia","dws_fall","Days with Snow","The number of days for which there was more than 1 mm of precipitation when the mean temperature was less than 0°C.","0.063859478","0.009066569","0.001298122","0.001987749","1.593383636","0.650642976","0.345990021","0.175530404","5.152312279","3.205184374","2.580219869","1.915987181","0.069133098","0.003610401","0.000162265","0","1.563709383","0.540546022","0.177680419","0.0149284","5.162528903","3.247312482","2.178410612","0.898584236"
"Nova Scotia","dws_winter","Days with Snow","The number of days for which there was more than 1 mm of precipitation when the mean temperature was less than 0°C.","19.57167052","15.44345057","13.3637175","11.73151191","29.12285506","24.92381648","22.78248347","20.6587968","38.44396576","35.37282463","33.11760172","29.98752586","19.49241613","14.90057198","11.4104296","6.66778224","29.06460184","24.63973064","20.49661271","14.40160643","38.64118089","34.71266886","30.73512231","24.12510649"
