figure,value
baseline_rcp45_annapolis,6.93
baseline_rcp85_annapolis,6.95
rcp45_2045_annapolis,8.27
rcp85_2045_annapolis,8.34
rcp45_2095_annapolis,9.58
rcp85_2095_annapolis,11.53
delta_rcp45_2045_annapolis,1.34
delta_rcp85_2045_annapolis,1.39
delta_rcp45_2095_annapolis,2.65
delta_rcp85_2095_annapolis,4.58
baseline_rcp45_antigonish,6.29
baseline_rcp85_antigonish,6.29
rcp45_2045_antigonish,7.63
rcp85_2045_antigonish,7.64
rcp45_2095_antigonish,8.96
rcp85_2095_antigonish,10.90
delta_rcp45_2045_antigonish,1.34
delta_rcp85_2045_antigonish,1.35
delta_rcp45_2095_antigonish,2.67
delta_rcp85_2095_antigonish,4.61
baseline_rcp45_cape-breton,6.37
baseline_rcp85_cape-breton,6.37
rcp45_2045_cape-breton,7.68
rcp85_2045_cape-breton,7.68
rcp45_2095_cape-breton,9.03
rcp85_2095_cape-breton,10.94
delta_rcp45_2045_cape-breton,1.31
delta_rcp85_2045_cape-breton,1.31
delta_rcp45_2095_cape-breton,2.66
delta_rcp85_2095_cape-breton,4.57
baseline_rcp45_colchester,6.24
baseline_rcp85_colchester,6.24
rcp45_2045_colchester,7.63
rcp85_2045_colchester,7.66
rcp45_2095_colchester,8.91
rcp85_2095_colchester,10.90
delta_rcp45_2045_colchester,1.39
delta_rcp85_2045_colchester,1.42
delta_rcp45_2095_colchester,2.67
delta_rcp85_2095_colchester,4.66
baseline_rcp45_cumberland,6.26
baseline_rcp85_cumberland,6.26
rcp45_2045_cumberland,7.67
rcp85_2045_cumberland,7.72
rcp45_2095_cumberland,9.01
rcp85_2095_cumberland,11.07
delta_rcp45_2045_cumberland,1.41
delta_rcp85_2045_cumberland,1.46
delta_rcp45_2095_cumberland,2.75
delta_rcp85_2095_cumberland,4.81
baseline_rcp45_digby,7.20
baseline_rcp85_digby,7.22
rcp45_2045_digby,8.53
rcp85_2045_digby,8.59
rcp45_2095_digby,9.80
rcp85_2095_digby,11.72
delta_rcp45_2045_digby,1.33
delta_rcp85_2045_digby,1.37
delta_rcp45_2095_digby,2.60
delta_rcp85_2095_digby,4.50
baseline_rcp45_guysborough,6.24
baseline_rcp85_guysborough,6.24
rcp45_2045_guysborough,7.58
rcp85_2045_guysborough,7.57
rcp45_2095_guysborough,8.84
rcp85_2095_guysborough,10.75
delta_rcp45_2045_guysborough,1.34
delta_rcp85_2045_guysborough,1.33
delta_rcp45_2095_guysborough,2.60
delta_rcp85_2095_guysborough,4.51
baseline_rcp45_halifax,6.72
baseline_rcp85_halifax,6.73
rcp45_2045_halifax,8.05
rcp85_2045_halifax,8.06
rcp45_2095_halifax,9.30
rcp85_2095_halifax,11.19
delta_rcp45_2045_halifax,1.33
delta_rcp85_2045_halifax,1.33
delta_rcp45_2095_halifax,2.58
delta_rcp85_2095_halifax,4.46
baseline_rcp45_hants,6.86
baseline_rcp85_hants,6.87
rcp45_2045_hants,8.20
rcp85_2045_hants,8.26
rcp45_2095_hants,9.50
rcp85_2095_hants,11.45
delta_rcp45_2045_hants,1.34
delta_rcp85_2045_hants,1.39
delta_rcp45_2095_hants,2.64
delta_rcp85_2095_hants,4.58
baseline_rcp45_inverness,5.71
baseline_rcp85_inverness,5.71
rcp45_2045_inverness,7.07
rcp85_2045_inverness,7.07
rcp45_2095_inverness,8.42
rcp85_2095_inverness,10.38
delta_rcp45_2045_inverness,1.36
delta_rcp85_2045_inverness,1.36
delta_rcp45_2095_inverness,2.71
delta_rcp85_2095_inverness,4.67
baseline_rcp45_kings,6.85
baseline_rcp85_kings,6.85
rcp45_2045_kings,8.17
rcp85_2045_kings,8.25
rcp45_2095_kings,9.50
rcp85_2095_kings,11.48
delta_rcp45_2045_kings,1.32
delta_rcp85_2045_kings,1.40
delta_rcp45_2095_kings,2.65
delta_rcp85_2095_kings,4.63
baseline_rcp45_lunenburg,7.10
baseline_rcp85_lunenburg,7.12
rcp45_2045_lunenburg,8.41
rcp85_2045_lunenburg,8.46
rcp45_2095_lunenburg,9.68
rcp85_2095_lunenburg,11.57
delta_rcp45_2045_lunenburg,1.31
delta_rcp85_2045_lunenburg,1.34
delta_rcp45_2095_lunenburg,2.58
delta_rcp85_2095_lunenburg,4.45
baseline_rcp45_pictou,6.24
baseline_rcp85_pictou,6.24
rcp45_2045_pictou,7.62
rcp85_2045_pictou,7.63
rcp45_2095_pictou,8.90
rcp85_2095_pictou,10.90
delta_rcp45_2045_pictou,1.38
delta_rcp85_2045_pictou,1.39
delta_rcp45_2095_pictou,2.66
delta_rcp85_2095_pictou,4.66
baseline_rcp45_queens,7.37
baseline_rcp85_queens,7.39
rcp45_2045_queens,8.65
rcp85_2045_queens,8.71
rcp45_2095_queens,9.91
rcp85_2095_queens,11.75
delta_rcp45_2045_queens,1.28
delta_rcp85_2045_queens,1.32
delta_rcp45_2095_queens,2.54
delta_rcp85_2095_queens,4.36
baseline_rcp45_richmond,6.42
baseline_rcp85_richmond,6.43
rcp45_2045_richmond,7.75
rcp85_2045_richmond,7.75
rcp45_2095_richmond,9.06
rcp85_2095_richmond,10.98
delta_rcp45_2045_richmond,1.33
delta_rcp85_2045_richmond,1.32
delta_rcp45_2095_richmond,2.64
delta_rcp85_2095_richmond,4.55
baseline_rcp45_shelburne,7.39
baseline_rcp85_shelburne,7.40
rcp45_2045_shelburne,8.63
rcp85_2045_shelburne,8.71
rcp45_2095_shelburne,9.85
rcp85_2095_shelburne,11.66
delta_rcp45_2045_shelburne,1.24
delta_rcp85_2045_shelburne,1.31
delta_rcp45_2095_shelburne,2.46
delta_rcp85_2095_shelburne,4.26
baseline_rcp45_victoria,5.51
baseline_rcp85_victoria,5.51
rcp45_2045_victoria,6.86
rcp85_2045_victoria,6.86
rcp45_2095_victoria,8.22
rcp85_2095_victoria,10.17
delta_rcp45_2045_victoria,1.35
delta_rcp85_2045_victoria,1.35
delta_rcp45_2095_victoria,2.71
delta_rcp85_2095_victoria,4.66
baseline_rcp45_yarmouth,7.40
baseline_rcp85_yarmouth,7.41
rcp45_2045_yarmouth,8.68
rcp85_2045_yarmouth,8.75
rcp45_2095_yarmouth,9.92
rcp85_2095_yarmouth,11.75
delta_rcp45_2045_yarmouth,1.28
delta_rcp85_2045_yarmouth,1.34
delta_rcp45_2095_yarmouth,2.52
delta_rcp85_2095_yarmouth,4.34
rank_2095_rcp85_cumberland,1
rank_2095_rcp85_inverness,2
rank_2095_rcp85_colchester,3
rank_2095_rcp85_pictou,4
rank_2095_rcp85_victoria,5
rank_2095_rcp85_kings,6
rank_2095_rcp85_antigonish,7
rank_2095_rcp85_annapolis,8
rank_2095_rcp85_hants,9
rank_2095_rcp85_cape-breton,10
rank_2095_rcp85_richmond,11
rank_2095_rcp85_guysborough,12
rank_2095_rcp85_digby,13
rank_2095_rcp85_halifax,14
rank_2095_rcp85_lunenburg,15
rank_2095_rcp85_queens,16
rank_2095_rcp85_yarmouth,17
rank_2095_rcp85_shelburne,18
top_region_2095_rcp85,Cumberland
top_delta_2095_rcp85,4.81
avg_delta_rcp45_2095,2.63
avg_delta_rcp85_2095,4.55
scenario_gap_2095,1.92
