registry_id,co_op_name,town,incorporation_date,incorporation_year,decade,org_form,is_nonprofit,coop_type,age_years
1352300,POMQUET CO-OPERATIVE LIMITED,Pomquet,1936-03-04,1936,1930s,For-profit,0,RETAIL CONSUMER PRODUCTS,90.3
1352675,VICTORIA FARMERS CO-OPERATIVE LIMITED,BADDECK,1936-07-22,1936,1930s,For-profit,0,RETAIL CONSUMER PRODUCTS,90.0
1352482,SHEAN CO-OPERATIVE LIMITED,INVERNESS,1936-12-19,1936,1930s,For-profit,0,RETAIL CONSUMER PRODUCTS,89.5
1352022,MARGAREE CO-OPERATIVE SOCIETY LIMITED,Margaree Forks,1937-01-27,1937,1930s,For-profit,0,RETAIL CONSUMER PRODUCTS,89.4
1351983,THE LOUISDALE COOPERATIVE SOCIETY LIMITED,LOUISDALE,1937-02-01,1937,1930s,For-profit,0,RETAIL CONSUMER PRODUCTS,89.4
1371852,CANSO CO-OPERATIVE LIMITED,CANSO,1937-02-25,1937,1930s,For-profit,0,RETAIL CONSUMER PRODUCTS,89.4
1351232,LA CO-OPERATIVE DE CHETICAMP LIMITEE,CHETICAMP,1937-03-04,1937,1930s,For-profit,0,RETAIL CONSUMER PRODUCTS,89.3
1517465,LEMOYNE COOPERATIVE SOCIETY LIMITED,St. Joseph de Moine,1937-05-26,1937,1930s,For-profit,0,RETAIL CONSUMER PRODUCTS,89.1
1352313,PORT HOOD COOPERATIVE LIMITED,PORT HOOD,1938-03-28,1938,1930s,For-profit,0,RETAIL CONSUMER PRODUCTS,88.3
1352760,WHYCOCOMAGH COOPERATIVE LIMITED,WHYCOCOMAGH,1938-05-06,1938,1930s,For-profit,0,RETAIL CONSUMER PRODUCTS,88.2
1369639,CENTRAL COOPERATIVE SOCIETY LIMITED,BAY STLAWERENCE,1940-03-04,1940,1940s,For-profit,0,RETAIL CONSUMER PRODUCTS,86.3
1351618,DE LA TOUR CO-OPERATIVE SOCIETY LIMITED,Lower West Pubnico,1944-06-07,1944,1940s,For-profit,0,RETAIL CONSUMER PRODUCTS,82.1
1352215,NOVA SCOTIA ANIMAL BREEDER'S CO-OPERATIVE LTD.,LOWER TRURO,1945-05-12,1945,1940s,For-profit,0,RETAIL CONSUMER PRODUCTS,81.2
1360612,PUGWASH CO-OPERATIVE LIMITED,Pugwash,1945-08-02,1945,1940s,For-profit,0,RETAIL CONSUMER PRODUCTS,80.9
1351581,CROSS ROADS CO-OPERATIVE LIMITED,PARRSBORO,1945-09-13,1945,1940s,For-profit,0,RETAIL CONSUMER PRODUCTS,80.8
1352453,SCOTSBURN CO-OPERATIVE SERVICES LIMITED,Truro,1946-01-07,1946,1940s,For-profit,0,AGRICULTURE,80.5
