"registry_id","co_op_name","incorporation_year","address","town","province_state","postal_code","non_profit_n_for_profit_p","type"
"1349506","BAXTER'S HARBOUR CO-OPERATIVE LIMITED","1976-01-12","208 WENEGA ROAD","CANNING","NS","B0P 1H0","N","WORKER LABOUR"
"1350664","HUNTINGTON POINT WATER CO-OPERATIVE ASSOCIATION LIMITED","1975-06-20","PO BOX 295","CANNING","NS","B0P 1H0","N","SERVICES"
"1350860","CENTRAL SPRYFIELD HOUSING CO-OPERATIVE LIMITED","1978-03-06","108 Hallmark Avenue","Lower Sackville","NS","B4C 3R7","N","HOUSING"
"1350886","CHEGOGGIN DYKE CO-OPERATIVE LIMITED","1973-11-28","1002 Pembroke Road","Pembroke","NS","B5A 5G9","P","FISH PRODUCTS"
"1350939","ATHOL FORESTRY COOPERATIVE LIMITED","1977-07-26","21397 HIGHWAY #2","FORT LAWRENCE","NS","B4H 3Y5","P","FOREST PRODUCTS"
"1350942","ATLANTIC FILMMAKERS CO-OPERATIVE LIMITED","1974-06-05","1800 ARGYLE STREET, SUITE 303","HALIFAX","NS","B3J 3N8","N","SERVICES"
"1351007","BADDECK VALLEY WOOD PRODUCERS CO-OPERATIVE LTD.","1973-12-20","247 OLD MARGAREE ROAD","BADDECK","NS","B0E 1B0","P","FOREST PRODUCTS"
"1351078","KENT CO-OPERATIVE LIMITED","1970-02-10","9319 COMMERCIAL STREET","NEW MINAS","NS","B4N 3G2","P","RETAIL CONSUMER PRODUCTS"
"1351216","THE BLACK DUCK ARTS CO-OPERATIVE LIMITED","1973-06-27","Box 1454","Lunenburg","NS","B0J 2C0","P","CRAFT PRODUCTS"
"1351232","LA CO-OPERATIVE DE CHETICAMP LIMITEE","1937-03-04","PO BOX 40","CHETICAMP","NS","B0E 1H0","P","RETAIL CONSUMER PRODUCTS"
"1351438","LITTLE HARBOUR PASTURE CO-OPERATIVE LIMITED","1977-08-10","11 SALMON RIVER ROAD","BARRA HEAD","NS","B0E 3B0","P","SERVICES"
"1351454","LITTLE POND CO-OPERATIVE LIMITED","1979-09-13","111 Little Pond Lane","Lawrencetown","NS","B2Z 0A4","P","HOUSING"
"1351470","BRIDGEWATER FARMERS COOPERATIVE SOCIETY LIMITED","1946-03-02","123 ELM ST.","BRIDGEWATER","NS","B4V 2V5","P","RETAIL CONSUMER PRODUCTS"
"1351565","CROSS ROADS BLUEBERRY CO-OPERATIVE LIMITED","1955-07-07","P.O. BOX 645, 4255 HIGHWAY 2","PARRSBORO","NS","B0M 1S0","P","AGRICULTURE"
"1351581","CROSS ROADS CO-OPERATIVE LIMITED","1945-09-13","P.O. BOX 340","PARRSBORO","NS","B0M 1S0","P","RETAIL CONSUMER PRODUCTS"
"1351618","DE LA TOUR CO-OPERATIVE SOCIETY LIMITED","1944-06-07","P.O. Box 130","Lower West Pubnico","NS","B0W 2C0","P","RETAIL CONSUMER PRODUCTS"
"1351634","DEAN PRODUCE CO-OPERATIVE LIMITED","1967-08-14","930 Dean Back Road","Upper Musquodoboit","NS","B0N 2M0","P","AGRICULTURE"
"1351663","DIGBY CO-OPERATIVE PASTURE LIMITED","1965-03-26","3087 RIDGE ROAD","DIGBY","NS","B0V 1A0","P","SERVICES"
"1351856","HALL'S HARBOUR WATER CO-OPERATIVE LIMITED","1972-03-23","3586 Highway #359","RR#3 Centreville","NS","B0P 1J0","N","SERVICES"
"1351872","HIGH HOPES HOUSING CO-OPERATIVE LIMITED","1980-10-07","PO BOX 31007 RPO GLADSTONE","HALIFAX","NS","B3K 5T9","N","HOUSING"
"1351912","BRIERLY HOUSING CO-OPERATIVE LIMITED","1979-11-07","11 COURT STREET","ANTIGONISH","NS","B2G 1Z7","N","HOUSING"
"1351983","THE LOUISDALE COOPERATIVE SOCIETY LIMITED","1937-02-01","P.O.BOX 574","LOUISDALE","NS","B0E 1V0","P","RETAIL CONSUMER PRODUCTS"
"1352019","MAPLE BROOK CO-OPERATIVE PASTURE LIMITED","1965-07-20","590 MACINTYRE MOUNTAIN ROAD","KINGSVILLE","NS","B0E 3L0","N","SERVICES"
"1352022","MARGAREE CO-OPERATIVE SOCIETY LIMITED","1937-01-27","Box 549","Margaree Forks","NS","B0E 2A0","P","RETAIL CONSUMER PRODUCTS"
"1352120","NEIL'S HARBOUR CO-OPERATIVE LIMITED","1965-10-29","PO BOX 47","NEIL'S HARBOUR","NS","B0C 1N0","P","RETAIL CONSUMER PRODUCTS"
"1352175","NORTH NOVA FOREST OWNERS CO-OPERATIVE LIMITED","1976-04-30","11986 HIGHWAY #4","WENTWORTH","NS","B0M 1Z0","P","FOREST PRODUCTS"
"1352215","NOVA SCOTIA ANIMAL BREEDER'S CO-OPERATIVE LTD.","1945-05-12","4060 HIGHWAY 236","LOWER TRURO","NS","B6L 1J9","P","RETAIL CONSUMER PRODUCTS"
"1352231","OVO CO-OPERATIVE LIMITED","1975-11-21","6155 Lawrence Street","Halifax","NS","B3L 1J7","N","HOUSING"
"1352257","MIRA PASTURE CO-OPERATIVE LIMITED","1977-03-03","835 MacKeigan Road","Big Ridge","NS","B1K 3Y8","P","SERVICES"
"1352260","PATURAGE CO-OPERATIF DE CHETICAMP LIMITE","1962-04-10","PO Box 104","Grand Etang","NS","B0E 1L0","P","SERVICES"
"1352300","POMQUET CO-OPERATIVE LIMITED","1936-03-04","RR #7","Pomquet","NS","B2G 2L4","P","RETAIL CONSUMER PRODUCTS"
"1352313","PORT HOOD COOPERATIVE LIMITED","1938-03-28","PO BOX 10","PORT HOOD","NS","B0E 2W0","P","RETAIL CONSUMER PRODUCTS"
"1352440","SCOTIAN GOLD CO-OPERATIVE LIMITED","1957-07-05","2900 LOVETT ROAD","COLDBROOK","NS","B4R 1A6","P","AGRICULTURE"
"1352453","SCOTSBURN CO-OPERATIVE SERVICES LIMITED","1946-01-07","PO Box 1068","Truro","NS","B2N 5B9","P","AGRICULTURE"
"1352479","SETTLEMENT WATER CO-OPERATIVE LIMITED","1970-04-06","27 COCHRANE ROAD","ENFIELD","NS","B2T 1G9","P","SERVICES"
"1352482","SHEAN CO-OPERATIVE LIMITED","1936-12-19","15856 CENTRAL AVE","INVERNESS","NS","B0E 1N0","P","RETAIL CONSUMER PRODUCTS"
"1352659","UNITED FARMERS CO-OPERATIVE LIMITED","1964-11-30","BOX 370","SYDNEY","NS","B1P 6H3","P","RETAIL CONSUMER PRODUCTS"
"1352675","VICTORIA FARMERS CO-OPERATIVE LIMITED","1936-07-22","BOX 69","BADDECK","NS","B0E 1B0","P","RETAIL CONSUMER PRODUCTS"
"1352744","WESTMOOR 57 CO-OPERATIVE LIMITED","1976-07-28","6895 COOK AVENUE","HALIFAX","NS","B3L 2J9","N","HOUSING"
"1352760","WHYCOCOMAGH COOPERATIVE LIMITED","1938-05-06","BOX 10","WHYCOCOMAGH","NS","B0E 3M0","P","RETAIL CONSUMER PRODUCTS"
"1352800","WOLFVILLE HABITAT COOPERATIVE LIMITED","1975-12-30","25 POST ROAD, APT 105","WOLFVILLE","NS","B4P 2M8","N","HOUSING"
"1354340","VICTORIA CO-OPERATIVE FISHERIES LIMITED","1956-01-06","PO BOX 38","NEILS HARBOUR","NS","B0C 1N0","P","FISH PRODUCTS"
"1354477","BLACK ROSE CO-OPERATIVE LIMITED","1977-09-15","2044 KLINE STREET","HALIFAX","NS","B3L 2X3","N","HOUSING"
"1354520","HALIFAX PENINSULA HOUSING CO-OPERATIVE LIMITED","1979-05-04","207-59 INGLIS PLACE","HALIFAX","NS","B2N 4B5","N","HOUSING"
"1354673","NORTH WEST ARM HOUSING CO-OPERATIVE LIMITED","1980-11-04","4 Dekker Street","Halifax","NS","B3R 1M4","N","HOUSING"
"1357778","UPPER STEWIACKE COOPERATIVE LIMITED","1946-02-28","5477 HIGHWAY  #289","Upper Stewiacke","NS","B0N 2P0","P","RETAIL CONSUMER PRODUCTS"
"1360598","LAMPLIGHT HOUSING CO-OPERATIVE LIMITED","1980-05-09","59 INGLIS PL, 207","TRURO","NS","B2N 4B5","N","HOUSING"
"1360612","PUGWASH CO-OPERATIVE LIMITED","1945-08-02","Po Box 399","Pugwash","NS","B0K 1L0","P","RETAIL CONSUMER PRODUCTS"
"1369639","CENTRAL COOPERATIVE SOCIETY LIMITED","1940-03-04","2964 BAY STLAWRENCE ROAD","BAY STLAWERENCE","NS","B0C1G0","P","RETAIL CONSUMER PRODUCTS"
"1371852","CANSO CO-OPERATIVE LIMITED","1937-02-25","PO BOX 34","CANSO","NS","B0H 1H0","P","RETAIL CONSUMER PRODUCTS"
"1381982","ROGERS DRIVE HOUSING CO-OPERATIVE LTD.","1981-03-20","PO Box 152 DMPS","Dartmouth","NS","B2Y 3Y3","N","HOUSING"
"1386318","FAIRWEST HOUSING CO-OPERATIVE LIMITED","1982-03-11","PO Box 25081","Halifax","NS","B3M 4H4","N","HOUSING"
"1386350","CRANBERRY LAKE HOUSING CO-OPERATIVE LIMITED","1982-07-14","PO Box 152 DMPS","Dartmouth","NS","B2Y 3Y3","N","HOUSING"
"1389302","MARIA'S HOUSING CO-OPERATIVE LIMITED","1982-04-30","PO BOX 152 DMPS","DARTMOUTH","NS","B2Y 3Y3","N","HOUSING"
"1396297","LA CO-OPERATIVE CHARLES FOREST LTEE","1981-04-24","Box 3500","Arichat","NS","B0E 1A0","P","RETAIL CONSUMER PRODUCTS"
