section,rank,measure,fiscal_year,division,program_name,recipient,payments,amount,share_pct,cumulative_share_pct,yoy_change,yoy_pct
summary,1,grand_total_dollars,"","","","",6324,75357902.03,100.00,,,
summary,2,top_10_recipient_dollars,"","","","",203,6832168.51,9.07,,,
summary,3,duplicate_candidate_extra_dollars,"","","","",14,308000.00,0.41,,,
totals_tie,1,sum_by_recipient,"","","","",6324,75357902.03,,,,
totals_tie,2,sum_by_program,"","","","",6324,75357902.03,,,,
totals_tie,3,sum_by_division_year,"","","","",6324,75357902.03,,,,
top_recipients,1,"","","","",Millen Farms Ltd,13,983581.28,1.31,1.31,,
top_recipients,2,"","","","",Noggins Corner Farm II Ltd,22,842078.29,1.12,2.42,,
top_recipients,3,"","","","",Bragg Lumber Company Ltd,16,839416.11,1.11,3.54,,
top_recipients,4,"","","","",Dalhousie University,31,819413.78,1.09,4.62,,
top_recipients,5,"","","","",Benjamin Bridge Vineyards,42,811591.75,1.08,5.70,,
top_recipients,6,"","","","",Dalhousie Agricultural Campus,32,766610.36,1.02,6.72,,
top_recipients,7,"","","","",East Coast Wild Blueberry Ltd,5,464255.71,0.62,7.33,,
top_recipients,8,"","","","",Elmridge Farm (2003) Ltd,11,455230.58,0.60,7.94,,
top_recipients,9,"","","","",J & B Millen Farms Ltd,13,428304.68,0.57,8.51,,
top_recipients,10,"","","","",Balamore Farm Ltd,18,421685.97,0.56,9.07,,
top_recipients,11,"","","","",Randsland Farms Inc,9,393793.15,0.52,9.59,,
top_recipients,12,"","","","",Scott and Stewart Forestry Consultants Ltd,1,379549.47,0.50,10.09,,
top_recipients,13,"","","","",Eisses Grains & Ag Services Inc,5,376426.65,0.50,10.59,,
top_recipients,14,"","","","",D & M Lightfoot Farms Ltd,21,373029.93,0.50,11.09,,
top_recipients,15,"","","","",Cox Bros Poultry Farm Limited,3,370615.00,0.49,11.58,,
top_recipients,16,"","","","",Maritime Gourmet Mushrooms Inc,7,338837.50,0.45,12.03,,
top_recipients,17,"","","","",Spurr Brothers Farms Ltd,29,336306.34,0.45,12.47,,
top_recipients,18,"","","","",River View Herbs Ltd,1,331560.00,0.44,12.91,,
