"datasetname","monitoringlocationid","monitoringlocationname","monitoringlocationtype","activitytype","activitymedianame","activitystartdate","activitystarttime","activitydepthheightmeasure","activitydepthheightunit","samplecollectionequipmentname","characteristicname","methodspeciation","resultsamplefraction","resultvalue","resultunit","resultvaluetype","resultdetectioncondition","resultdetectionquantitationlimitmeasure","resultdetectionquantitationlimitunit","resultdetectionquantitationlimittype","resultstatusid","resultcomment","laboratoryname","laboratorysampleid","monitoringlocationwaterbody"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Field Msr/Obs-Portable Data Logger","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Probe/Sensor","Temperature, water",,,"-0.08","deg C","Actual",,,,,"Preliminary",,,,"Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Field Msr/Obs-Portable Data Logger","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Probe/Sensor","Dissolved oxygen (DO)",,,"14.6","mg/l","Actual",,,,,"Preliminary",,,,"Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Field Msr/Obs-Portable Data Logger","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Probe/Sensor","Dissolved oxygen saturation",,,"99.6","%","Actual",,,,,"Preliminary",,,,"Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Field Msr/Obs-Portable Data Logger","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Probe/Sensor","pH",,,"5.17","none","Actual",,,,,"Preliminary",,,,"Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Field Msr/Obs-Portable Data Logger","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Probe/Sensor","Conductivity",,,"21.4","umhos/cm","Actual",,,,,"Preliminary",,,,"Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Field Msr/Obs-Portable Data Logger","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Probe/Sensor","Turbidity",,,,"NTU","Actual",,,,,"Preliminary",,,,"Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Aluminium",,"Total","165","ug/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Antimony",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Arsenic",,"Total","0.5","ug/l","Actual","Below Detection Limit/Quantification Limit","0.5","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Barium",,"Total","10","ug/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Beryllium",,"Total","0.4","ug/l","Actual","Below Detection Limit/Quantification Limit","0.4","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Boron",,"Total","20","ug/l","Actual","Below Detection Limit/Quantification Limit","20","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Cadmium",,"Total","1","ug/l","Actual","Below Detection Limit/Quantification Limit","1","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Calcium",,"Total","0.6","mg/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Chromium",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Cobalt",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Copper",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Iron",,"Total","355","ug/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Lead",,"Total","0.5","ug/l","Actual","Below Detection Limit/Quantification Limit","0.5","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Magnesium",,"Total","0.5","mg/l","Actual","Below Detection Limit/Quantification Limit","0.5","mg/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Manganese",,"Total","108","ug/l","Actual",,,,,"Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Molybdenum",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Nickel",,"Total","2","ug/l","Actual","Below Detection Limit/Quantification Limit","2","ug/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
"NS Government Surface Water Quality Monitoring Network Grab Data","NS01DL0009","KELLEYRIVER-0M","River/Stream","Sample-Routine","Surface Water","2024-12-16T00:00:00.000","13:00","-0.3","m","Water Bottle","Potassium",,"Total","0.5","mg/l","Actual","Below Detection Limit/Quantification Limit","0.5","mg/l","Lower Reporting Unit","Preliminary",,"NS Health Authority","8001064183","Kelley River at Eight Mile Ford"
