section,rank,measure,analyte,location_id,location,direction,threshold,guideline_unit,n_samples,n_passing,pass_pct,n_non_detect,nondetect_pct,n_censored_above,first_sample_date,last_sample_date,days_since_last_sample
summary,1,evaluated_samples,"","","","",,"",2496,2401,96.19,1364,54.65,621,2002-06-12,2024-12-16,586
summary,2,analytes_in_scope,"","","","",,"",10,,,,,,,,
summary,3,monitoring_locations,"","","","",,"",8,,,,,,,,
summary,4,duplicate_rows_removed,"","","","",,"",18274,,,,,,,,
summary,5,quality_control_rows_excluded,"","","","",,"",0,,,,,,,,
summary,6,non_detects_with_unknown_limit,"","","","",,"",0,,,,,,,,
row_ledger,1,raw_rows_in_snapshot,"","","","",,"",38143,,,,,,,,
row_ledger,2,exact_duplicate_rows_removed,"","","","",,"",18274,,,,,,,,
row_ledger,3,rows_after_dedup,"","","","",,"",19869,,,,,,,,
row_ledger,4,class_analyte_not_in_scope,"","","","",,"",16817,,,,,,,,
row_ledger,5,class_wrong_fraction,"","","","",,"",553,,,,,,,,
row_ledger,6,class_quality_control,"","","","",,"",0,,,,,,,,
row_ledger,7,class_unaccepted_status,"","","","",,"",1,,,,,,,,
row_ledger,8,class_wrong_unit,"","","","",,"",0,,,,,,,,
row_ledger,9,class_malformed,"","","","",,"",2,,,,,,,,
row_ledger,10,class_non_detect_minimum_direction,"","","","",,"",0,,,,,,,,
row_ledger,11,class_evaluated,"","","","",,"",2496,,,,,,,,
row_ledger,12,check_classes_equal_rows_after_dedup,"","","","",,"",19869,,,,,,,,
row_ledger,13,check_dedup_plus_duplicates_equal_raw,"","","","",,"",38143,,,,,,,,
analyte_compliance,1,"",Iron,"","",maximum,300.000,ug/l,384,292,76.04,49,12.76,0,2003-01-09,2024-12-16,586
analyte_compliance,2,"",Dissolved oxygen (DO),"","",minimum,6.500,mg/l,363,360,99.17,0,0.00,0,2002-06-12,2024-12-16,586
analyte_compliance,3,"",Arsenic,"","",maximum,5.000,ug/l,120,120,100.00,117,97.50,0,2019-05-17,2024-12-16,586
analyte_compliance,4,"",Boron,"","",maximum,1.500,mg/l,384,384,100.00,333,86.72,0,2003-01-09,2024-12-16,586
analyte_compliance,5,"",Chloride,"","",maximum,120.000,mg/l,381,381,100.00,1,0.26,0,2003-01-09,2024-12-16,586
analyte_compliance,6,"",Molybdenum,"","",maximum,73.000,ug/l,120,120,100.00,120,100.00,0,2019-05-17,2024-12-16,586
analyte_compliance,7,"",Selenium,"","",maximum,1.000,ug/l,384,384,100.00,384,100.00,383,2003-01-09,2024-12-16,586
analyte_compliance,8,"",Silver,"","",maximum,0.250,ug/l,120,120,100.00,120,100.00,119,2019-05-17,2024-12-16,586
analyte_compliance,9,"",Thallium,"","",maximum,0.800,ug/l,120,120,100.00,120,100.00,119,2019-05-17,2024-12-16,586
analyte_compliance,10,"",Uranium,"","",maximum,15.000,ug/l,120,120,100.00,120,100.00,0,2019-05-17,2024-12-16,586
location_compliance,1,"","",NS01DL0009,Kelley River at Eight Mile Ford,"",,"",504,449,89.09,254,50.40,123,2004-08-26,2024-12-16,586
location_compliance,2,"","",NS01EF0002,LaHave River at West Northfield,"",,"",224,206,91.96,86,38.39,45,2008-05-07,2018-12-05,2789
location_compliance,3,"","",NS01EO0001,St. Mary's River at Stillwater,"",,"",211,203,96.21,78,36.97,44,2007-05-10,2018-12-11,2783
location_compliance,4,"","",NS01ED9111,Shelburne River at Pollard's Falls Bridge,"",,"",529,515,97.35,284,53.69,131,2002-08-12,2024-11-14,618
location_compliance,5,"","",NS01DH0002,Salmon River at Murray,"",,"",239,239,100.00,171,71.55,72,2019-06-24,2024-11-12,620
location_compliance,6,"","",NS01DP0003,East River at Plymouth Park Road,"",,"",239,239,100.00,169,70.71,72,2019-06-24,2024-11-12,620
location_compliance,7,"","",NS01FB0001,North East Margaree River at Margaree Valley,"",,"",310,310,100.00,150,48.39,62,2002-06-12,2018-12-20,2774
location_compliance,8,"","",NS01FB0003,South West Magaree River near Upper Margaree,"",,"",240,240,100.00,172,71.67,72,2019-08-26,2024-11-27,605
analyte_location,1,"",Arsenic,NS01DH0002,Salmon River at Murray,"",,"",24,24,100.00,24,,0,2019-06-24,2024-11-12,
analyte_location,2,"",Boron,NS01DH0002,Salmon River at Murray,"",,"",24,24,100.00,24,,0,2019-06-24,2024-11-12,
analyte_location,3,"",Chloride,NS01DH0002,Salmon River at Murray,"",,"",24,24,100.00,1,,0,2019-06-24,2024-11-12,
analyte_location,4,"",Dissolved oxygen (DO),NS01DH0002,Salmon River at Murray,"",,"",23,23,100.00,0,,0,2019-06-24,2024-11-12,
analyte_location,5,"",Iron,NS01DH0002,Salmon River at Murray,"",,"",24,24,100.00,2,,0,2019-06-24,2024-11-12,
analyte_location,6,"",Molybdenum,NS01DH0002,Salmon River at Murray,"",,"",24,24,100.00,24,,0,2019-06-24,2024-11-12,
analyte_location,7,"",Selenium,NS01DH0002,Salmon River at Murray,"",,"",24,24,100.00,24,,24,2019-06-24,2024-11-12,
analyte_location,8,"",Silver,NS01DH0002,Salmon River at Murray,"",,"",24,24,100.00,24,,24,2019-06-24,2024-11-12,
analyte_location,9,"",Thallium,NS01DH0002,Salmon River at Murray,"",,"",24,24,100.00,24,,24,2019-06-24,2024-11-12,
analyte_location,10,"",Uranium,NS01DH0002,Salmon River at Murray,"",,"",24,24,100.00,24,,0,2019-06-24,2024-11-12,
analyte_location,11,"",Arsenic,NS01DL0009,Kelley River at Eight Mile Ford,"",,"",24,24,100.00,21,,0,2019-05-17,2024-12-16,
analyte_location,12,"",Boron,NS01DL0009,Kelley River at Eight Mile Ford,"",,"",78,78,100.00,58,,0,2004-08-26,2024-12-16,
analyte_location,13,"",Chloride,NS01DL0009,Kelley River at Eight Mile Ford,"",,"",77,77,100.00,0,,0,2004-08-26,2024-12-16,
analyte_location,14,"",Dissolved oxygen (DO),NS01DL0009,Kelley River at Eight Mile Ford,"",,"",73,73,100.00,0,,0,2005-06-21,2024-12-16,
analyte_location,15,"",Iron,NS01DL0009,Kelley River at Eight Mile Ford,"",,"",78,23,29.49,1,,0,2004-08-26,2024-12-16,
analyte_location,16,"",Molybdenum,NS01DL0009,Kelley River at Eight Mile Ford,"",,"",24,24,100.00,24,,0,2019-05-17,2024-12-16,
analyte_location,17,"",Selenium,NS01DL0009,Kelley River at Eight Mile Ford,"",,"",78,78,100.00,78,,77,2004-08-26,2024-12-16,
