year,county,port,port_label,is_named_port,kgs,dollars,measure_class
2017,Annapolis,Anderson Cove,Anderson Cove,1,,,both_blank
2017,Annapolis,Battery Point,Battery Point,1,,,both_blank
2017,Annapolis,Delaps Cove,Delaps Cove,1,,,both_blank
2017,Annapolis,Hampton,Hampton,1,,,both_blank
2017,Annapolis,Margaretsville,Margaretsville,1,,,both_blank
2017,Annapolis,Other,Other (Annapolis),0,69437.49,3969363.29,both_present
2017,Annapolis,Parkers Cove,Parkers Cove,1,408328.96,6021035.83,both_present
2017,Annapolis,Port Lorne,Port Lorne,1,,,both_blank
2017,Antigonish,Arisaig,Arisaig,1,,,both_blank
2017,Antigonish,Aulds Cove,Aulds Cove,1,,,both_blank
2017,Antigonish,Ballantynes Cove,Ballantynes Cove,1,,,both_blank
2017,Antigonish,Barrios Beach,Barrios Beach,1,,,both_blank
2017,Antigonish,Bayfield,Bayfield,1,,,both_blank
2017,Antigonish,Cribbons Point,Cribbons Point,1,,,both_blank
2017,Antigonish,Havre Boucher,Havre Boucher,1,,,both_blank
2017,Antigonish,Livingstone,Livingstone,1,,,both_blank
2017,Antigonish,Other,Other (Antigonish),0,,,both_blank
2017,Cape Breton,Alder Point,Alder Point,1,568829.41,8316340.74,both_present
2017,Cape Breton,Crane Cove,Crane Cove,1,,,both_blank
2017,Cape Breton,Gabarus,Gabarus,1,135933.99,2060986.82,both_present
2017,Cape Breton,Glace Bay,Glace Bay,1,5818282.64,41157965.05,both_present
2017,Cape Breton,Lingan,Lingan,1,,,both_blank
2017,Cape Breton,Louisbourg,Louisbourg,1,4573959.09,52089837.84,both_present
2017,Cape Breton,Main-A-Dieu,Main-A-Dieu,1,663156.48,10423447.58,both_present
2017,Cape Breton,Marion Bridge,Marion Bridge,1,,,both_blank
2017,Cape Breton,New Waterford,New Waterford,1,,,both_blank
2017,Cape Breton,North Sydney - Ballast Grounds,North Sydney - Ballast Grounds,1,716567.87,6899286.78,both_present
2017,Cape Breton,North Sydney - Marina Breakwater,North Sydney - Marina Breakwater,1,,,both_blank
2017,Cape Breton,Other,Other (Cape Breton),0,1399120.46,9154967.00,both_present
2017,Cape Breton,Oyster Creek,Oyster Creek,1,,,both_blank
2017,Cape Breton,Point Aconi,Point Aconi,1,,,both_blank
2017,Cape Breton,Port Morien,Port Morien,1,541698.62,8534172.88,both_present
2017,Cape Breton,South Bar,South Bar,1,,,both_blank
2017,Cape Breton,Three Stick Cove,Three Stick Cove,1,,,both_blank
2017,Cape Breton,Victoria Bridge,Victoria Bridge,1,,,both_blank
