"year","port","county","kgs","purchase_total"
"2019","Anderson Cove","Annapolis",,
"2019","Battery Point","Annapolis",,
"2019","Delaps Cove","Annapolis",,
"2019","Hampton","Annapolis",,
"2019","Margaretsville","Annapolis",,
"2019","Parkers Cove","Annapolis","247863.50","4581824"
"2019","Port Lorne","Annapolis",,
"2019","Other","Annapolis","78589.38","3819912"
"2019","Total for Annapolis County","Annapolis","520409.51","11229834"
"2019","Arisaig","Antigonish",,
"2019","Aulds Cove","Antigonish",,
"2019","Ballantynes Cove","Antigonish","259406.10","2837113"
"2019","Barrios Beach","Antigonish",,
"2019","Bayfield","Antigonish",,
"2019","Cribbons Point","Antigonish","165222.30","2315654"
"2019","Havre Boucher","Antigonish","287677.60","4282349"
"2019","Livingstone","Antigonish",,
"2019","Other","Antigonish",,
"2019","Total for Antigonish County","Antigonish","1150533.47","15487723"
"2019","Alder Point","Cape Breton","730654.40","11168036"
"2019","Crane Cove","Cape Breton",,
"2019","Gabarus","Cape Breton","144714.40","2261160"
"2019","Glace Bay","Cape Breton","5525967","28123634"
"2019","Lingan","Cape Breton","178108.30","2708295"
"2019","Louisbourg","Cape Breton","3950889","41656157"
"2019","Main-A-Dieu","Cape Breton","917010.60","14006517"
"2019","Marion Bridge","Cape Breton",,
"2019","New Waterford","Cape Breton",,
"2019","North Sydney - Ballast Grounds","Cape Breton","785816.20","7712457"
"2019","North Sydney - Marina Breakwater","Cape Breton",,
"2019","Oyster Creek","Cape Breton",,
"2019","Point Aconi","Cape Breton",,
"2019","Port Morien","Cape Breton","1079656","16577134"
"2019","South Bar","Cape Breton",,
"2019","Three Stick Cove","Cape Breton",,
"2019","Victoria Bridge","Cape Breton",,
"2019","Other","Cape Breton","1442221","9521314"
"2019","Total for Cape Breton County","Cape Breton","15126324.01","137305007"
"2019","Barrachois","Colchester",,
"2019","Five Islands","Colchester",,
"2019","Other","Colchester","13656.36","215208"
"2019","Total for Colchester County","Colchester","205220.76","777909"
"2019","Advocate Harbour","Cumberland","165057.80","3014812"
"2019","Apple River","Cumberland",,
"2019","Malagash","Cumberland",,
"2019","Northport","Cumberland",,
"2019","Pugwash","Cumberland","256546.20","3038617"
"2019","Wallace","Cumberland","337181.30","3455181"
"2019","Other","Cumberland",,
"2019","Total for Cumberland County","Cumberland","876354.84","12030086"
"2019","Cape St. Marys","Digby","294852","5468734"
"2019","Centerville","Digby","110009.20","2035518"
"2019","Culloden","Digby",,
"2019","Digby","Digby","5124600","65478911"
"2019","East Ferry","Digby",,
"2019","Freeport (Fish Point Wharf)","Digby",,
"2019","Freeport  (South Cove)","Digby","171261.70","3173046"
"2019","Gilberts Cove","Digby",,
"2019","Little River","Digby","982561.90","127620006"
"2019","Meteghan","Digby","3601520","23991495"
"2019","Meteghan River","Digby","576285.50","11680415"
"2019","Rossway","Digby",,
"2019","Sandy Cove East","Digby","153800.60","2789673"
"2019","Saulnierville","Digby","573644.60","6577045"
"2019","Tiverton","Digby","183648.10","3433149"
"2019","Westport","Digby","587399.40","9338028"
"2019","Weymputh North","Digby","93872.23","202156"
"2019","Whale Cove","Digby",,
"2019","Other","Digby","111995.80","630735"
"2019","Total for Digby County","Digby","12662789.17","264083830"
"2019","Canso","Guysborough","2156123","21104298"
"2019","Charlos Cove","Guysborough",,
"2019","Cooks Cove","Guysborough",,
"2019","Dover","Guysborough",,
"2019","Drum Head","Guysborough",,
"2019","Ecum Secum","Guysborough",,
"2019","Fishermans Harbour","Guysborough",,
"2019","Goldboro","Guysborough",,
"2019","Half Island Cove","Guysborough",,
"2019","Larrys River","Guysborough",,
"2019","Little Harbour","Guysborough",,
"2019","Little Liscomb","Guysborough",,
"2019","Marie Joseph","Guysborough","327309.70","4227250"
"2019","New Harbour","Guysborough",,
"2019","Pirate Harbour","Guysborough",,
"2019","Port Brickerton East","Guysborough",,
"2019","Port Brickerton West","Guysborough",,
"2019","Port Felix","Guysborough",,
"2019","Queensport","Guysborough",,
"2019","Sonora","Guysborough",,
"2019","Upper Whitehead","Guysborough",,
"2019","Wine Harbour","Guysborough",,
"2019","Other","Guysborough","127993.20","6882382"
"2019","Total for Guysborough County","Guysborough","5995108.22","66142449"
"2019","Boutiliers Point","Halifax",,
"2019","Carters Point","Halifax",,
"2019","Coopers Point","Halifax",,
"2019","East Chezzetcook","Halifax",,
"2019","East Dover","Halifax",,
"2019","East Jeddor","Halifax","2164024","9421543"
"2019","East Petpeswick","Halifax",,
"2019","Eastern Passage","Halifax","823173.70","5188536"
"2019","Ecum Secum West","Halifax",,
"2019","Factory Cove","Halifax",,
"2019","Gammons Creek","Halifax",,
