section,rank,measure,year,county,port,records,kgs,dollars,published_dollars,price_per_kg,share_pct,cumulative_share_pct,delta,delta_pct
summary,1,grand_total,"","","",2156,1265656315.49,8716996237.83,,6.8873,100.00,,,
summary,2,top_port,"",Digby,Digby,8,41885202.79,533530107.96,,12.7379,6.12,,,
summary,3,top_10_ports,"","","",96,586531278.02,3572739652.71,,,40.99,,,
summary,4,named_ports,"","","",2012,1061313508.46,7491485688.79,,,85.94,,,
summary,5,residual_other_buckets,"","","",144,204342807.03,1225510549.04,,,14.06,,,
summary,6,published_county_dollars,"","","",144,,,10923193874.78,,,,-2206197636.95,-20.20
row_classes,1,snapshot_rows_total,"","","",2300,,,,,,,,
row_classes,2,excluded_county_total_rows,"","","",144,,,10923193874.78,,,,,
row_classes,3,port_rows_analysed,"","","",2156,,,,,,,,
row_classes,4,port_rows_both_present,"","","",693,1265656315.49,8716996237.83,,,,,,
row_classes,5,port_rows_kgs_only,"","","",0,,,,,,,,
row_classes,6,port_rows_dollars_only,"","","",0,,,,,,,,
row_classes,7,port_rows_both_blank,"","","",1463,,,,,,,,
row_classes,8,port_rows_wharf_qualifier_merged,"","","",16,4239354.93,62895781.98,,,,,,
totals_tie,1,sum_by_port,"","","",2156,1265656315.49,8716996237.83,,,,,,
totals_tie,2,sum_by_county,"","","",2156,1265656315.49,8716996237.83,,,,,,
totals_tie,3,sum_by_year,"","","",2156,1265656315.49,8716996237.83,,,,,,
top_ports,1,"","",Digby,Digby,8,41885202.79,533530107.96,,12.7379,6.12,6.12,,
top_ports,2,"","",Shelburne,Lower Woods Harbour,24,44713352.10,530154593.68,,11.8567,6.08,12.20,,
top_ports,3,"","",Yarmouth,Dennis Point,8,176102237.63,434831569.90,,2.4692,4.99,17.19,,
top_ports,4,"","",Yarmouth,Other (Yarmouth),8,86563728.98,379459713.67,,4.3836,4.35,21.54,,
top_ports,5,"","",Yarmouth,Lower East Pubnico,8,67654856.46,375364323.25,,5.5482,4.31,25.85,,
top_ports,6,"","",Cape Breton,Louisbourg,8,42867465.68,304621737.04,,7.1061,3.49,29.34,,
top_ports,7,"","",Yarmouth,Camp Cove,8,20616689.64,288406860.19,,13.9890,3.31,32.65,,
top_ports,8,"","",Yarmouth,Yarmouth Bar,8,26906561.68,266374662.59,,9.9000,3.06,35.71,,
top_ports,9,"","",Cape Breton,Glace Bay,8,59702462.06,251831739.01,,4.2181,2.89,38.60,,
top_ports,10,"","",Shelburne,West Head,8,19518721.00,208164345.42,,10.6649,2.39,40.99,,
top_ports,11,"","",Shelburne,Clark's Harbour,6,18844824.02,196943256.96,,10.4508,2.26,43.25,,
top_ports,12,"","",Halifax,Sambro,8,30692368.00,195748277.04,,6.3778,2.25,45.49,,
top_ports,13,"","",Digby,Little River (Digby),8,8464023.09,188213995.79,,22.2369,2.16,47.65,,
top_ports,14,"","",Digby,Meteghan,8,27392979.93,172869315.58,,6.3107,1.98,49.63,,
top_ports,15,"","",Guysborough,Canso,8,30306365.69,172861169.65,,5.7038,1.98,51.62,,
top_ports,16,"","",Yarmouth,Wedge Point,8,35643791.47,159944882.44,,4.4873,1.83,53.45,,
top_ports,17,"","",Shelburne,Ingomar,8,16892493.64,154453982.37,,9.1434,1.77,55.22,,
top_ports,18,"","",Richmond,Arichat,8,19353747.28,154177058.53,,7.9663,1.77,56.99,,
top_ports,19,"","",Queens,Port Mouton,8,51789984.18,138476234.52,,2.6738,1.59,58.58,,
top_ports,20,"","",Halifax,Other (Halifax),8,27366312.24,135459614.38,,4.9499,1.55,60.13,,
top_ports,21,"","",Queens,Other (Queens),8,21500654.76,128453259.61,,5.9744,1.47,61.61,,
top_ports,22,"","",Inverness,Cheticamp,8,9132913.90,120030057.91,,13.1426,1.38,62.98,,
top_ports,23,"","",Shelburne,Lockeport,8,8874888.23,119165775.17,,13.4273,1.37,64.35,,
top_ports,24,"","",Shelburne,Other (Shelburne),8,15868582.63,113607431.33,,7.1593,1.30,65.66,,
top_ports,25,"","",Shelburne,Port La Tour,8,16985101.61,113090411.52,,6.6582,1.30,66.95,,
by_county,1,"","",Yarmouth,"",192,476838565.40,2298010940.53,,4.8193,26.36,,,
by_county,2,"","",Shelburne,"",248,223119200.30,2188876370.36,,9.8103,25.11,,,
by_county,3,"","",Digby,"",152,91363239.74,1082462599.71,,11.8479,12.42,,,
by_county,4,"","",Cape Breton,"",144,136933238.06,944347773.84,,6.8964,10.83,,,
by_county,5,"","",Halifax,"",224,78090484.93,449180662.19,,5.7521,5.15,,,
by_county,6,"","",Queens,"",88,85525730.46,350934599.07,,4.1033,4.03,,,
by_county,7,"","",Inverness,"",144,33674892.72,341488333.23,,10.1407,3.92,,,
by_county,8,"","",Richmond,"",84,29460003.35,287023406.61,,9.7428,3.29,,,
by_county,9,"","",Guysborough,"",184,47445258.32,267032814.32,,5.6282,3.06,,,
by_county,10,"","",Lunenburg,"",184,13966914.54,170756269.51,,12.2258,1.96,,,
by_county,11,"","",Pictou,"",104,32131587.79,139727582.40,,4.3486,1.60,,,
by_county,12,"","",Victoria,"",136,4987262.54,59344306.80,,11.8992,0.68,,,
by_county,13,"","",Annapolis,"",64,2132632.40,46913981.67,,21.9982,0.54,,,
by_county,14,"","",Antigonish,"",72,3853535.64,36043261.10,,9.3533,0.41,,,
by_county,15,"","",Cumberland,"",56,2761107.44,29711501.54,,10.7607,0.34,,,
by_county,16,"","",Kings,"",48,3245885.05,22828951.73,,7.0332,0.26,,,
by_county,17,"","",Hants,"",8,113120.45,2097675.22,,18.5437,0.02,,,
by_county,18,"","",Colchester,"",24,13656.36,215208.00,,15.7588,0.00,,,
by_year,1,"",2017,"","",269,136157320.29,857081194.80,,6.2948,9.83,,,
by_year,2,"",2018,"","",269,136128570.54,1001490073.46,,7.3569,11.49,,144408878.66,16.85
by_year,3,"",2019,"","",268,154136668.74,1265420506.00,,8.2097,14.52,,263930432.54,26.35
by_year,4,"",2020,"","",268,115196024.10,961057558.92,,8.3428,11.03,,-304362947.08,-24.05
by_year,5,"",2021,"","",268,127250695.28,1572265254.51,,12.3557,18.04,,611207695.59,63.60
by_year,6,"",2022,"","",270,114716473.54,1000243669.96,,8.7193,11.47,,-572021584.55,-36.38
by_year,7,"",2023,"","",272,244798901.61,979290535.12,,4.0004,11.23,,-20953134.84,-2.09
by_year,8,"",2024,"","",272,237271661.39,1080147445.06,,4.5524,12.39,,100856909.94,10.30
county_coverage,1,"",2017,Annapolis,"",8,,9990399.12,14669332.46,,,,-4678933.34,-31.90
county_coverage,2,"",2018,Annapolis,"",8,,9404884.66,12848132.11,,,,-3443247.45,-26.80
county_coverage,3,"",2019,Annapolis,"",8,,8401736.00,11229834.00,,,,-2828098.00,-25.18
county_coverage,4,"",2020,Annapolis,"",8,,197254.69,7164909.22,,,,-6967654.53,-97.25
county_coverage,5,"",2021,Annapolis,"",8,,4481715.34,11129949.75,,,,-6648234.41,-59.73
county_coverage,6,"",2022,Annapolis,"",8,,10773787.10,14905310.90,,,,-4131523.80,-27.72
county_coverage,7,"",2023,Annapolis,"",8,,1225049.12,12929688.76,,,,-11704639.64,-90.53
county_coverage,8,"",2024,Annapolis,"",8,,2439155.64,6755148.30,,,,-4315992.66,-63.89
county_coverage,9,"",2017,Antigonish,"",9,,,15264861.59,,,,,
county_coverage,10,"",2018,Antigonish,"",9,,10369663.97,13554676.37,,,,-3185012.40,-23.50
county_coverage,11,"",2019,Antigonish,"",9,,9435116.00,15487723.00,,,,-6052607.00,-39.08
county_coverage,12,"",2020,Antigonish,"",9,,1486982.93,10012769.36,,,,-8525786.43,-85.15
county_coverage,13,"",2021,Antigonish,"",9,,,26101611.53,,,,,
county_coverage,14,"",2022,Antigonish,"",9,,,21371052.22,,,,,
county_coverage,15,"",2023,Antigonish,"",9,,7077424.76,17176806.50,,,,-10099381.74,-58.80
county_coverage,16,"",2024,Antigonish,"",9,,7674073.44,18099827.00,,,,-10425753.56,-57.60
county_coverage,17,"",2017,Cape Breton,"",18,,138637004.69,144579719.90,,,,-5942715.21,-4.11
county_coverage,18,"",2018,Cape Breton,"",18,,124587959.44,126258627.32,,,,-1670667.88,-1.32
county_coverage,19,"",2019,Cape Breton,"",18,,133734704.00,137305007.00,,,,-3570303.00,-2.60
county_coverage,20,"",2020,Cape Breton,"",18,,45386498.83,63483615.93,,,,-18097117.10,-28.51
county_coverage,21,"",2021,Cape Breton,"",18,,171289047.25,193201902.18,,,,-21912854.93,-11.34
county_coverage,22,"",2022,Cape Breton,"",18,,121034830.74,130345413.50,,,,-9310582.76,-7.14
county_coverage,23,"",2023,Cape Breton,"",18,,98510991.34,123801709.62,,,,-25290718.28,-20.43
county_coverage,24,"",2024,Cape Breton,"",18,,111166737.55,136331733.77,,,,-25164996.22,-18.46
county_coverage,25,"",2017,Colchester,"",3,,,3674897.53,,,,,
county_coverage,26,"",2018,Colchester,"",3,,,590388.51,,,,,
county_coverage,27,"",2019,Colchester,"",3,,215208.00,777909.00,,,,-562701.00,-72.34
county_coverage,28,"",2020,Colchester,"",3,,,480303.77,,,,,
county_coverage,29,"",2021,Colchester,"",3,,,1129366.87,,,,,
county_coverage,30,"",2022,Colchester,"",3,,,1926567.82,,,,,
county_coverage,31,"",2023,Colchester,"",3,,,347774.59,,,,,
county_coverage,32,"",2024,Colchester,"",3,,,178477.25,,,,,
county_coverage,33,"",2017,Cumberland,"",7,,638915.21,7137181.81,,,,-6498266.60,-91.05
county_coverage,34,"",2018,Cumberland,"",7,,3758586.22,10785891.44,,,,-7027305.22,-65.15
county_coverage,35,"",2019,Cumberland,"",7,,9508610.00,12030086.00,,,,-2521476.00,-20.96
county_coverage,36,"",2020,Cumberland,"",7,,4312221.54,7193268.32,,,,-2881046.78,-40.05
county_coverage,37,"",2021,Cumberland,"",7,,4195283.74,16381075.56,,,,-12185791.82,-74.39
county_coverage,38,"",2022,Cumberland,"",7,,3260052.42,13988374.27,,,,-10728321.85,-76.69
county_coverage,39,"",2023,Cumberland,"",7,,2072218.76,13832861.17,,,,-11760642.41,-85.02
county_coverage,40,"",2024,Cumberland,"",7,,1965613.65,12599107.45,,,,-10633493.80,-84.40
county_coverage,41,"",2017,Digby,"",19,,102490065.83,134570494.26,,,,-32080428.43,-23.84
county_coverage,42,"",2018,Digby,"",19,,104114504.65,122896381.04,,,,-18781876.39,-15.28
county_coverage,43,"",2019,Digby,"",19,,262418911.00,264083830.00,,,,-1664919.00,-0.63
county_coverage,44,"",2020,Digby,"",19,,88786830.02,101740834.20,,,,-12954004.18,-12.73
county_coverage,45,"",2021,Digby,"",19,,134604346.88,142275471.77,,,,-7671124.89,-5.39
county_coverage,46,"",2022,Digby,"",19,,111259127.26,128219852.55,,,,-16960725.29,-13.23
county_coverage,47,"",2023,Digby,"",19,,142644046.50,152509446.42,,,,-9865399.92,-6.47
county_coverage,48,"",2024,Digby,"",19,,136144767.57,154190227.96,,,,-18045460.39,-11.70
county_coverage,49,"",2017,Guysborough,"",23,,16386256.22,52404143.97,,,,-36017887.75,-68.73
county_coverage,50,"",2018,Guysborough,"",23,,18213159.22,48605726.46,,,,-30392567.24,-62.53
county_coverage,51,"",2019,Guysborough,"",23,,32213930.00,66142449.00,,,,-33928519.00,-51.30
county_coverage,52,"",2020,Guysborough,"",23,,17786098.90,42387752.40,,,,-24601653.50,-58.04
county_coverage,53,"",2021,Guysborough,"",23,,40713111.57,78806252.25,,,,-38093140.68,-48.34
county_coverage,54,"",2022,Guysborough,"",23,,57038041.55,88941490.11,,,,-31903448.56,-35.87
county_coverage,55,"",2023,Guysborough,"",23,,31681289.57,64098308.67,,,,-32417019.10,-50.57
county_coverage,56,"",2024,Guysborough,"",23,,53000927.29,73190466.88,,,,-20189539.59,-27.58
county_coverage,57,"",2017,Halifax,"",28,,53135778.30,77196803.71,,,,-24061025.41,-31.17
county_coverage,58,"",2018,Halifax,"",28,,60634098.15,78454080.26,,,,-17819982.11,-22.71
county_coverage,59,"",2019,Halifax,"",28,,62847606.00,82189021.00,,,,-19341415.00,-23.53
county_coverage,60,"",2020,Halifax,"",28,,36767130.71,62419465.24,,,,-25652334.53,-41.10
county_coverage,61,"",2021,Halifax,"",28,,44309024.62,98540065.36,,,,-54231040.74,-55.03
county_coverage,62,"",2022,Halifax,"",28,,64975593.23,108023707.38,,,,-43048114.15,-39.85
county_coverage,63,"",2023,Halifax,"",28,,71047550.76,100982312.71,,,,-29934761.95,-29.64
county_coverage,64,"",2024,Halifax,"",28,,55463880.42,91150214.31,,,,-35686333.89,-39.15
county_coverage,65,"",2017,Hants,"",1,,,,,,,,
county_coverage,66,"",2018,Hants,"",1,,,1103.16,,,,,
county_coverage,67,"",2019,Hants,"",1,,,764.00,,,,,
