program_type,source_id,county,municipality,community,property_label,housing_authority,units,latitude,longitude
Families,29,Annapolis,Municipality of the County of Annapolis,Carleton Corner,2693 Morse Rd,Western Regional Housing Authority,1,44.82671617,-65.28793907
Families,30,Annapolis,Municipality of the County of Annapolis,Carleton Corner,2695 Morse Rd,Western Regional Housing Authority,1,44.82674512,-65.28765965
Families,31,Annapolis,Municipality of the County of Annapolis,Clementsport,451 Old Post Rd,Western Regional Housing Authority,1,44.68014173,-65.6001528
Families,32,Annapolis,Municipality of the County of Annapolis,Carleton Corner,2721 Morse Rd,Western Regional Housing Authority,1,44.82783683,-65.28856137
Families,33,Annapolis,Municipality of the County of Annapolis,Carleton Corner,2727 Morse Rd,Western Regional Housing Authority,1,44.82811474,-65.28871694
Families,34,Annapolis,Municipality of the County of Annapolis,Nictaux,8608 Highway 201,Western Regional Housing Authority,1,44.91984457,-65.05863049
Families,35,Annapolis,Municipality of the County of Annapolis,Nictaux,8618 Highway 201,Western Regional Housing Authority,1,44.92001685,-65.05836611
Families,36,Annapolis,Municipality of the County of Annapolis,Clementsport,453 Old Post Rd,Western Regional Housing Authority,1,44.68009548,-65.5998878
Families,37,Annapolis,Municipality of the County of Annapolis,Beaconsfield,633 Inglewood Rd,Western Regional Housing Authority,1,44.86782176,-65.31036754
Families,38,Annapolis,Municipality of the County of Annapolis,Centrelea,3362 Highway 201,Western Regional Housing Authority,1,44.81430701,-65.33589021
Families,39,Annapolis,Municipality of the County of Annapolis,Lawrencetown,22 Fitch Rd,Western Regional Housing Authority,1,44.89096246,-65.15098477
Families,40,Annapolis,Municipality of the County of Annapolis,Inglisville,1485 Inglisville Rd,Western Regional Housing Authority,1,44.85860641,-65.10571509
Families,41,Annapolis,Municipality of the County of Annapolis,Lawrencetown,26 Fitch Rd,Western Regional Housing Authority,1,44.89116882,-65.15110105
Families,42,Annapolis,Town of Middleton,Middleton,242 Commercial St,Western Regional Housing Authority,1,44.95241315,-65.07421955
Families,43,Annapolis,Town of Middleton,Middleton,258 Commercial St,Western Regional Housing Authority,1,44.95328823,-65.07474469
Families,44,Annapolis,Town of Middleton,Middleton,260 Commercial St,Western Regional Housing Authority,1,44.95339669,-65.07481285
