"uid","project_number","civic_address","community","number_of_units","pid","housing_authority","county","municipality","x_coordina","y_coordina","location_1"
"1","4601","1602 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12639941","44.9759401","(44.9759401, -64.12639941)"
"2","4601","1604 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12696406","44.97622715","(44.97622715, -64.12696406)"
"3","4601","1600 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12708982","44.97638052","(44.97638052, -64.12708982)"
"4","4601","1608 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12682555","44.97608269","(44.97608269, -64.12682555)"
"5","4601","1612 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12667425","44.97593823","(44.97593823, -64.12667425)"
"6","4601","1616 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12651022","44.9758207","(44.9758207, -64.12651022)"
"7","4601","1614 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12619422","44.9757704","(44.9757704, -64.12619422)"
"8","4601","1606 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12633414","44.97588439","(44.97588439, -64.12633414)"
"9","4601","1618 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12651022","44.9758207","(44.9758207, -64.12651022)"
"10","4601","1610 Crossley Crt","Windsor","1","45075454","Western Regional Housing Authority","Hants","Town of Windsor","-64.12626886","44.97582868","(44.97582868, -64.12626886)"
"11","4604","665 OBrien St","Windsor","1","45054590","Western Regional Housing Authority","Hants","Town of Windsor","-64.12880111","44.98997114","(44.98997114, -64.12880111)"
"12","4604","24 Underwood Dr","Windsor","1","45055118","Western Regional Housing Authority","Hants","Town of Windsor","-64.11935738","44.9837974","(44.9837974, -64.11935738)"
"13","4604","28 Underwood Dr","Windsor","1","45055092","Western Regional Housing Authority","Hants","Town of Windsor","-64.11877391","44.98381341","(44.98381341, -64.11877391)"
"14","4604","30 Underwood Dr","Windsor","1","45055084","Western Regional Housing Authority","Hants","Town of Windsor","-64.11848212","44.98383945","(44.98383945, -64.11848212)"
"15","4604","26 Underwood Dr","Windsor","1","45055100","Western Regional Housing Authority","Hants","Town of Windsor","-64.11909095","44.98380547","(44.98380547, -64.11909095)"
"16","4805","283 Panuke Rd","Three Mile Plains","1","45202173","Western Regional Housing Authority","Hants","West Hants","-64.08538655","44.95171528","(44.95171528, -64.08538655)"
"17","4805","279 Panuke Rd","Three Mile Plains","1","45202165","Western Regional Housing Authority","Hants","West Hants","-64.08534149","44.95187834","(44.95187834, -64.08534149)"
"18","4805","2561 Highway 215","Upper Burlington","1","45156692","Western Regional Housing Authority","Hants","West Hants","-64.05939089","45.05661005","(45.05661005, -64.05939089)"
"19","4807","28 Alexander Dr","Three Mile Plains","1","45205580","Western Regional Housing Authority","Hants","West Hants","-64.11742639","44.96193784","(44.96193784, -64.11742639)"
"20","4807","32 Alexander Dr","Three Mile Plains","1","45205572","Western Regional Housing Authority","Hants","West Hants","-64.11761981","44.96207143","(44.96207143, -64.11761981)"
"21","4809","186 Lantz Rd","Bramber","1","45204831","Western Regional Housing Authority","Hants","West Hants","-64.16034627","45.18016067","(45.18016067, -64.16034627)"
"22","4809","79 New Cheverie Rd","Lower Burlington","1","45204930","Western Regional Housing Authority","Hants","West Hants","-64.11718802","45.08843594","(45.08843594, -64.11718802)"
"23","4810","4 MacLeod Crt","Three Mile Plains","1","45215217","Western Regional Housing Authority","Hants","West Hants","-64.08344832","44.95757787","(44.95757787, -64.08344832)"
"24","4810","578 Town Rd","Falmouth","1","45170636","Western Regional Housing Authority","Hants","West Hants","-64.18128865","44.99463444","(44.99463444, -64.18128865)"
"25","4805","2551 Highway 215","Upper Burlington","1","45156700","Western Regional Housing Authority","Hants","West Hants","-64.05906471","45.05610485","(45.05610485, -64.05906471)"
"26","4811","8293 Highway 215","Cambridge","1","45174299","Western Regional Housing Authority","Hants","West Hants","-64.08931738","45.2036214","(45.2036214, -64.08931738)"
"27","4810","138 Gabriel Rd","Falmouth","1","45030681","Western Regional Housing Authority","Hants","West Hants","-64.16573747","44.99365394","(44.99365394, -64.16573747)"
"28","4811","7760 Highway 1","Ardoise","1","45012119","Western Regional Housing Authority","Hants","West Hants","-63.92200751","44.94104493","(44.94104493, -63.92200751)"
"29","5408","2693 Morse Rd","Carleton Corner","1","5143185","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.28793907","44.82671617","(44.82671617, -65.28793907)"
"30","5408","2695 Morse Rd","Carleton Corner","1","5143185","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.28765965","44.82674512","(44.82674512, -65.28765965)"
"31","5408","451 Old Post Rd","Clementsport","1","5092853","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.6001528","44.68014173","(44.68014173, -65.6001528)"
"32","5410","2721 Morse Rd","Carleton Corner","1","5143128","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.28856137","44.82783683","(44.82783683, -65.28856137)"
"33","5410","2727 Morse Rd","Carleton Corner","1","5143110","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.28871694","44.82811474","(44.82811474, -65.28871694)"
"34","5410","8608 Highway 201","Nictaux","1","5072350","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.05863049","44.91984457","(44.91984457, -65.05863049)"
"35","5410","8618 Highway 201","Nictaux","1","5072343","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.05836611","44.92001685","(44.92001685, -65.05836611)"
"36","5408","453 Old Post Rd","Clementsport","1","5092853","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.5998878","44.68009548","(44.68009548, -65.5998878)"
"37","5413","633 Inglewood Rd","Beaconsfield","1","5170980","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.31036754","44.86782176","(44.86782176, -65.31036754)"
"38","5414","3362 Highway 201","Centrelea","1","5167135","Western Regional Housing Authority","Annapolis","Municipality of the County of Annapolis","-65.33589021","44.81430701","(44.81430701, -65.33589021)"
