section,rank,measure,county,program_type,properties,units,share_pct,value
summary,1,provincial_units,,,,,100.00,11251
summary,2,provincial_properties,,,,,,3289
summary,3,counties_in_universe,,,,,,18
summary,4,program_types,,,,,,2
summary,5,grid_cells,,,,,,36
summary,6,grid_cells_with_zero_units,,,,,,0
summary,7,counties_without_family_units,,,,,,0
summary,8,counties_without_senior_units,,,,,,0
summary,9,county_name_substitutions,,,,,,0
summary,10,authority_name_substitutions,,,,,,1
summary,11,top_county_units,Halifax,,,,33.45,3763
exclusions,1,rows_read_families,,,,,,2947
exclusions,2,rows_read_seniors,,,,,,342
exclusions,3,rows_read_total,,,,,,3289
exclusions,4,excluded_county_blank,,,,,,0
exclusions,5,excluded_units_not_a_number,,,,,,0
exclusions,6,excluded_units_not_positive,,,,,,0
exclusions,7,excluded_total,,,,,,0
exclusions,8,rows_kept_total,,,,,,3289
exclusions,9,row_accounting_difference,,,,,,0
reconciliation,1,units_families,,,,,,3479
reconciliation,2,units_seniors,,,,,,7772
reconciliation,3,units_sum_of_sources,,,,,,11251
reconciliation,4,units_combined_total,,,,,,11251
reconciliation,5,units_sources_minus_combined,,,,,,0
reconciliation,6,units_sum_of_county_grid,,,,,,11251
reconciliation,7,units_grid_minus_combined,,,,,,0
reconciliation,8,properties_families,,,,,,2947
reconciliation,9,properties_seniors,,,,,,342
reconciliation,10,properties_sum_of_sources,,,,,,3289
reconciliation,11,properties_combined_total,,,,,,3289
reconciliation,12,properties_sources_minus_combined,,,,,,0
reconciliation,13,properties_sum_of_county_grid,,,,,,3289
reconciliation,14,properties_grid_minus_combined,,,,,,0
program_totals,1,,,Seniors,342,7772,69.08,
program_totals,2,,,Families,2947,3479,30.92,
county_totals,1,,Halifax,,1186,3763,33.45,
county_totals,2,,Cape Breton,,1059,2670,23.73,
county_totals,3,,Pictou,,139,709,6.30,
county_totals,4,,Cumberland,,134,596,5.30,
county_totals,5,,Kings,,141,527,4.68,
county_totals,6,,Yarmouth,,167,470,4.18,
county_totals,7,,Colchester,,37,393,3.49,
county_totals,8,,Inverness,,69,333,2.96,
county_totals,9,,Lunenburg,,29,260,2.31,
county_totals,10,,Hants,,47,258,2.29,
county_totals,11,,Digby,,49,241,2.14,
county_totals,12,,Annapolis,,36,239,2.12,
county_totals,13,,Antigonish,,31,217,1.93,
county_totals,14,,Shelburne,,30,153,1.36,
county_totals,15,,Guysborough,,37,134,1.19,
county_totals,16,,Richmond,,31,114,1.01,
county_totals,17,,Queens,,51,113,1.00,
county_totals,18,,Victoria,,16,61,0.54,
county_program,1,,Halifax,Families,1145,1546,13.74,
county_program,2,,Halifax,Seniors,41,2217,19.70,
county_program,3,,Cape Breton,Families,979,1020,9.07,
county_program,4,,Cape Breton,Seniors,80,1650,14.67,
county_program,5,,Pictou,Families,103,105,0.93,
county_program,6,,Pictou,Seniors,36,604,5.37,
county_program,7,,Cumberland,Families,106,127,1.13,
county_program,8,,Cumberland,Seniors,28,469,4.17,
county_program,9,,Kings,Families,116,116,1.03,
county_program,10,,Kings,Seniors,25,411,3.65,
county_program,11,,Yarmouth,Families,151,164,1.46,
county_program,12,,Yarmouth,Seniors,16,306,2.72,
county_program,13,,Colchester,Families,20,20,0.18,
county_program,14,,Colchester,Seniors,17,373,3.32,
county_program,15,,Inverness,Families,53,61,0.54,
county_program,16,,Inverness,Seniors,16,272,2.42,
county_program,17,,Lunenburg,Families,16,16,0.14,
county_program,18,,Lunenburg,Seniors,13,244,2.17,
county_program,19,,Hants,Families,33,33,0.29,
county_program,20,,Hants,Seniors,14,225,2.00,
county_program,21,,Digby,Families,37,48,0.43,
county_program,22,,Digby,Seniors,12,193,1.72,
county_program,23,,Annapolis,Families,27,27,0.24,
county_program,24,,Annapolis,Seniors,9,212,1.88,
county_program,25,,Antigonish,Families,25,33,0.29,
county_program,26,,Antigonish,Seniors,6,184,1.64,
county_program,27,,Shelburne,Families,25,48,0.43,
county_program,28,,Shelburne,Seniors,5,105,0.93,
county_program,29,,Guysborough,Families,30,34,0.30,
county_program,30,,Guysborough,Seniors,7,100,0.89,
county_program,31,,Richmond,Families,23,23,0.20,
county_program,32,,Richmond,Seniors,8,91,0.81,
county_program,33,,Queens,Families,46,46,0.41,
county_program,34,,Queens,Seniors,5,67,0.60,
county_program,35,,Victoria,Families,12,12,0.11,
county_program,36,,Victoria,Seniors,4,49,0.44,
