facility_id,facility_name,town,postal_code,zone,facility_type,sea_participating,longitude,latitude,facility_total_beds,bed_type,is_core_bed,beds
ADLH,Adeline Hall,Halifax,B3M 0R8,Central,Nursing Home,Y,-63.679545,44.698835,144,nursing,1,144
ADLH,Adeline Hall,Halifax,B3M 0R8,Central,Nursing Home,Y,-63.679545,44.698835,144,nursing_respite,0,0
ADLH,Adeline Hall,Halifax,B3M 0R8,Central,Nursing Home,Y,-63.679545,44.698835,144,residential,1,0
ADLH,Adeline Hall,Halifax,B3M 0R8,Central,Nursing Home,Y,-63.679545,44.698835,144,residential_respite,0,0
ADML,The Admiral Long Term Care Centre,Dartmouth,B2X 1W4,Central,Nursing Home,Y,-63.545456,44.684326,65,nursing,1,65
ADML,The Admiral Long Term Care Centre,Dartmouth,B2X 1W4,Central,Nursing Home,Y,-63.545456,44.684326,65,nursing_respite,0,1
ADML,The Admiral Long Term Care Centre,Dartmouth,B2X 1W4,Central,Nursing Home,Y,-63.545456,44.684326,65,residential,1,0
ADML,The Admiral Long Term Care Centre,Dartmouth,B2X 1W4,Central,Nursing Home,Y,-63.545456,44.684326,65,residential_respite,0,0
ALDM,Au Logis D'Meteghan,Meteghan,B0W 2J0,Western,Residential Care Facility,Y,-66.152963,44.193951,22,nursing,1,0
ALDM,Au Logis D'Meteghan,Meteghan,B0W 2J0,Western,Residential Care Facility,Y,-66.152963,44.193951,22,nursing_respite,0,0
ALDM,Au Logis D'Meteghan,Meteghan,B0W 2J0,Western,Residential Care Facility,Y,-66.152963,44.193951,22,residential,1,22
ALDM,Au Logis D'Meteghan,Meteghan,B0W 2J0,Western,Residential Care Facility,Y,-66.152963,44.193951,22,residential_respite,0,0
ALWD,Alderwood Corporation,Baddeck,B0E 1B0,Eastern,Nursing Home and Residential Care Facility,Y,-60.76551,46.095442,70,nursing,1,59
ALWD,Alderwood Corporation,Baddeck,B0E 1B0,Eastern,Nursing Home and Residential Care Facility,Y,-60.76551,46.095442,70,nursing_respite,0,0
ALWD,Alderwood Corporation,Baddeck,B0E 1B0,Eastern,Nursing Home and Residential Care Facility,Y,-60.76551,46.095442,70,residential,1,11
ALWD,Alderwood Corporation,Baddeck,B0E 1B0,Eastern,Nursing Home and Residential Care Facility,Y,-60.76551,46.095442,70,residential_respite,0,0
ANPR,Annapolis Royal Nursing Home,Annapolis Royal,B0S 1A0,Western,Nursing Home,Y,-65.500177,44.735389,65,nursing,1,65
ANPR,Annapolis Royal Nursing Home,Annapolis Royal,B0S 1A0,Western,Nursing Home,Y,-65.500177,44.735389,65,nursing_respite,0,1
ANPR,Annapolis Royal Nursing Home,Annapolis Royal,B0S 1A0,Western,Nursing Home,Y,-65.500177,44.735389,65,residential,1,0
ANPR,Annapolis Royal Nursing Home,Annapolis Royal,B0S 1A0,Western,Nursing Home,Y,-65.500177,44.735389,65,residential_respite,0,0
ARBS,Arborstone Enhanced Care,Halifax,B3P 1B5,Central,Nursing Home,Y,-63.608227,44.632876,190,nursing,1,190
ARBS,Arborstone Enhanced Care,Halifax,B3P 1B5,Central,Nursing Home,Y,-63.608227,44.632876,190,nursing_respite,0,0
ARBS,Arborstone Enhanced Care,Halifax,B3P 1B5,Central,Nursing Home,Y,-63.608227,44.632876,190,residential,1,0
ARBS,Arborstone Enhanced Care,Halifax,B3P 1B5,Central,Nursing Home,Y,-63.608227,44.632876,190,residential_respite,0,0
BMCT,Blomidon Court Continuing Care Residence,Greenwich,B4P 0B2,Western,Nursing Home,Y,-64.406858,45.07644,50,nursing,1,50
BMCT,Blomidon Court Continuing Care Residence,Greenwich,B4P 0B2,Western,Nursing Home,Y,-64.406858,45.07644,50,nursing_respite,0,0
BMCT,Blomidon Court Continuing Care Residence,Greenwich,B4P 0B2,Western,Nursing Home,Y,-64.406858,45.07644,50,residential,1,0
BMCT,Blomidon Court Continuing Care Residence,Greenwich,B4P 0B2,Western,Nursing Home,Y,-64.406858,45.07644,50,residential_respite,0,0
BRCH,The Birches,Musquodoboit Harbour,B0J 2L0,Central,Nursing Home,Y,-63.159371,44.783249,41,nursing,1,41
BRCH,The Birches,Musquodoboit Harbour,B0J 2L0,Central,Nursing Home,Y,-63.159371,44.783249,41,nursing_respite,0,1
BRCH,The Birches,Musquodoboit Harbour,B0J 2L0,Central,Nursing Home,Y,-63.159371,44.783249,41,residential,1,0
BRCH,The Birches,Musquodoboit Harbour,B0J 2L0,Central,Nursing Home,Y,-63.159371,44.783249,41,residential_respite,0,0
BTCT,Bissett Court Continuing Care Residence,Cole Harbour,B2W 0H5,Central,Nursing Home,Y,-63.490315,44.677899,50,nursing,1,50
BTCT,Bissett Court Continuing Care Residence,Cole Harbour,B2W 0H5,Central,Nursing Home,Y,-63.490315,44.677899,50,nursing_respite,0,0
BTCT,Bissett Court Continuing Care Residence,Cole Harbour,B2W 0H5,Central,Nursing Home,Y,-63.490315,44.677899,50,residential,1,0
BTCT,Bissett Court Continuing Care Residence,Cole Harbour,B2W 0H5,Central,Nursing Home,Y,-63.490315,44.677899,50,residential_respite,0,0
BYSD,Bay Side Home Corporation,Brass Hill,B0W 1E0,Western,Nursing Home,Y,-65.598174,43.548449,62,nursing,1,62
BYSD,Bay Side Home Corporation,Brass Hill,B0W 1E0,Western,Nursing Home,Y,-65.598174,43.548449,62,nursing_respite,0,0
BYSD,Bay Side Home Corporation,Brass Hill,B0W 1E0,Western,Nursing Home,Y,-65.598174,43.548449,62,residential,1,0
BYSD,Bay Side Home Corporation,Brass Hill,B0W 1E0,Western,Nursing Home,Y,-65.598174,43.548449,62,residential_respite,0,0
BYVM,Bayview Memorial Health Centre,Advocate Harbour,B0M 1A0,Northern,Nursing Home,Y,-64.794835,45.346212,10,nursing,1,10
BYVM,Bayview Memorial Health Centre,Advocate Harbour,B0M 1A0,Northern,Nursing Home,Y,-64.794835,45.346212,10,nursing_respite,0,0
BYVM,Bayview Memorial Health Centre,Advocate Harbour,B0M 1A0,Northern,Nursing Home,Y,-64.794835,45.346212,10,residential,1,0
BYVM,Bayview Memorial Health Centre,Advocate Harbour,B0M 1A0,Northern,Nursing Home,Y,-64.794835,45.346212,10,residential_respite,0,0
