"facility_name","address","town","postal_code","facility_type","nursing_homes_nh_no_of_beds","nursing_homes_nh_no_of_respite_beds","residential_care_facilities_rcf_no_of_beds","rcf_respite_beds","single_entry_access_sea_participating","x_coordinate","y_coordinate","location","zone","the_geom","facility_id"
"Adeline Hall","40 Huntley Drive","Halifax","B3M 0R8","Nursing Home","144.0","0.0","0.0","0.0","Y","-63.679545","44.698835","
,  
(44.698835, -63.679545)","Central","POINT (446161.45050000027 4949718.9944)","ADLH"
"The Admiral Long Term Care Centre","6 Admiral Street","Dartmouth","B2X 1W4","Nursing Home","65.0","1.0","0.0","0.0","Y","-63.545456","44.684326","
,  
(44.684326, -63.545456)","Central","POINT (456774.3052000003 4948027.540999999)","ADML"
"Au Logis D'Meteghan","8405 Highway 1","Meteghan","B0W 2J0","Residential Care Facility","0.0","0.0","22.0","0.0","Y","-66.152963","44.193951","
,  
(44.193951, -66.152963)","Western","POINT (248035.2061999999 4898249.145)","ALDM"
"Alderwood Corporation","89 Alderwood Lane","Baddeck","B0E 1B0","Nursing Home and Residential Care Facility","59.0","0.0","11.0","0.0","Y","-60.76551","46.095442","
,  
(46.095442, -60.76551)","Eastern","POINT (672722.0679000001 5107078.241800001)","ALWD"
"Annapolis Royal Nursing Home","9745 Highway 8","Annapolis Royal","B0S 1A0","Nursing Home","65.0","1.0","0.0","0.0","Y","-65.500177","44.735389","
,  
(44.735389, -65.500177)","Western","POINT (302042.0926000001 4956596.2404)","ANPR"
"Arborstone Enhanced Care","1430 Purcell's Cove Road","Halifax","B3P 1B5","Nursing Home","190.0","0.0","0.0","0.0","Y","-63.608227","44.632876","
,  
(44.632876, -63.608227)","Central","POINT (451756.9330000002 4942347.3256)","ARBS"
"Blomidon Court Continuing Care Residence","58 Jessica's Way","Greenwich","B4P 0B2","Nursing Home","50.0","0.0","0.0","0.0","Y","-64.406858","45.07644","
,  
(45.07644, -64.406858)","Western","POINT (389265.4988000002 4992403.2972)","BMCT"
"The Birches","7702 Highway 7","Musquodoboit Harbour","B0J 2L0","Nursing Home","41.0","1.0","0.0","0.0","Y","-63.159371","44.783249","
,  
(44.783249, -63.159371)","Central","POINT (487391.6118000001 4958884.3347)","BRCH"
"Bissett Court Continuing Care Residence","74 Chameau Crescent","Cole Harbour","B2W 0H5","Nursing Home","50.0","0.0","0.0","0.0","Y","-63.490315","44.677899","
,  
(44.677899, -63.490315)","Central","POINT (461139.5647999998 4947285.9595)","BTCT"
"Bay Side Home Corporation","96 Bayside Drive","Brass Hill","B0W 1E0","Nursing Home","62.0","0.0","0.0","0.0","Y","-65.598174","43.548449","
,  
(43.548449, -65.598174)","Western","POINT (290116.5198999997 4825001.291099999)","BYSD"
"Bayview Memorial Health Centre","3375 Highway 209","Advocate Harbour","B0M 1A0","Nursing Home","10.0","0.0","0.0","0.0","Y","-64.794835","45.346212","
,  
(45.346212, -64.794835)","Northern","POINT (359394.2304999996 5022977.188999999)","BYVM"
