section,ord,measure,zone,facility_type,bed_type,facility_id,facility_name,town,facilities,beds,share_pct,avg_beds,median_beds
summary,1,facilities_total,,,,,,,145,,,,
summary,2,total_beds,,,,,,,,8764,100.00,,
summary,3,nursing_beds,,,,,,,,8026,91.58,,
summary,4,residential_beds,,,,,,,,738,8.42,,
summary,5,nursing_respite_beds_excluded,,,,,,,,41,,,
summary,6,residential_respite_beds_excluded,,,,,,,,2,,,
summary,7,sea_participating_facilities,,,,,,,143,,,,
summary,8,avg_beds_per_facility,,,,,,,,,,60.44,
summary,9,median_beds_per_facility,,,,,,,,,,,47.00
summary,10,largest_facility,,,,NWHX,Northwood Incorporated,Halifax,,385,4.39,,
row_accounting,1,rows_read,,,,,,,145,,,,
row_accounting,2,rows_kept,,,,,,,145,,,,
row_accounting,3,excluded_missing_facility_id,,,,,,,0,,,,
row_accounting,4,excluded_duplicate_facility_id,,,,,,,0,,,,
row_accounting,5,excluded_non_numeric_beds,,,,,,,0,,,,
row_accounting,6,excluded_negative_beds,,,,,,,0,,,,
row_accounting,7,excluded_fractional_beds,,,,,,,0,,,,
row_accounting,8,excluded_unknown_zone,,,,,,,0,,,,
row_accounting,9,rows_read_minus_kept_and_excluded,,,,,,,0,,,,
row_accounting,10,snapshot_row_count_matches_params,,,,,,,1,,,,
totals_tie,1,sum_by_zone,,,,,,,,8764,,,
totals_tie,2,sum_by_facility_type,,,,,,,,8764,,,
totals_tie,3,sum_by_bed_type_core,,,,,,,,8764,,,
totals_tie,4,sum_by_zone_and_bed_type_core,,,,,,,,8764,,,
totals_tie,5,sum_by_facility,,,,,,,,8764,,,
zone_totals,1,,Central,,,,,,37,3135,35.77,84.73,65.00
zone_totals,2,,Western,,,,,,43,2174,24.81,50.56,47.00
zone_totals,3,,Eastern,,,,,,33,1906,21.75,57.76,48.00
zone_totals,4,,Northern,,,,,,32,1549,17.67,48.41,36.00
type_totals,1,,,Nursing Home,,,,,99,7295,83.24,73.69,61.00
type_totals,2,,,Nursing Home and Residential Care Facility,,,,,8,862,9.84,107.75,68.50
type_totals,3,,,Residential Care Facility,,,,,38,607,6.93,15.97,14.50
bed_type_totals,1,,,,nursing,,,,107,8026,91.58,,
bed_type_totals,2,,,,residential,,,,46,738,8.42,,
bed_type_totals,3,,,,nursing_respite,,,,37,41,,,
bed_type_totals,4,,,,residential_respite,,,,1,2,,,
zone_bed_type,1,,Central,,nursing,,,,29,2999,,,
zone_bed_type,2,,Central,,nursing_respite,,,,9,10,,,
zone_bed_type,3,,Central,,residential,,,,10,136,,,
zone_bed_type,4,,Central,,residential_respite,,,,0,0,,,
zone_bed_type,5,,Eastern,,nursing,,,,28,1759,,,
zone_bed_type,6,,Eastern,,nursing_respite,,,,8,9,,,
zone_bed_type,7,,Eastern,,residential,,,,11,147,,,
zone_bed_type,8,,Eastern,,residential_respite,,,,0,0,,,
zone_bed_type,9,,Northern,,nursing,,,,21,1333,,,
zone_bed_type,10,,Northern,,nursing_respite,,,,9,9,,,
zone_bed_type,11,,Northern,,residential,,,,11,216,,,
zone_bed_type,12,,Northern,,residential_respite,,,,0,0,,,
zone_bed_type,13,,Western,,nursing,,,,29,1935,,,
zone_bed_type,14,,Western,,nursing_respite,,,,11,13,,,
zone_bed_type,15,,Western,,residential,,,,14,239,,,
zone_bed_type,16,,Western,,residential_respite,,,,1,2,,,
top_facilities,1,,Central,Nursing Home and Residential Care Facility,,NWHX,Northwood Incorporated,Halifax,,385,4.39,,
top_facilities,2,,Eastern,Nursing Home,,HSEC,Harbourstone Enhanced Care,Sydney River,,270,3.08,,
top_facilities,3,,Central,Nursing Home,,PSEC,Parkstone Enhanced Care,Halifax,,220,2.51,,
top_facilities,4,,Northern,Nursing Home,,GHVM,Glen Haven Manor,New Glasgow,,199,2.27,,
top_facilities,5,,Central,Nursing Home,,ARBS,Arborstone Enhanced Care,Halifax,,190,2.17,,
top_facilities,6,,Central,Nursing Home,,OVMN,Ocean View Manor,Eastern Passage,,170,1.94,,
top_facilities,7,,Central,Nursing Home,,NWBI,Northwood Bedford Incorporated - Christina & Hedley G. Ivany Place,Bedford,,156,1.78,,
top_facilities,8,,Central,Nursing Home,,STVC,Saint Vincent's Nursing Home,Halifax,,146,1.67,,
top_facilities,9,,Central,Nursing Home,,ADLH,Adeline Hall,Halifax,,144,1.64,,
top_facilities,10,,Central,Nursing Home,,MODH,Moody Hall,Halifax,,144,1.64,,
top_facilities,11,,Eastern,Nursing Home,,NCGH,Northside Community Guest Home,North Sydney,,144,1.64,,
top_facilities,12,,Central,Nursing Home,,OPRH,Opal Ridge Hall,Dartmouth,,144,1.64,,
top_facilities,13,,Central,Nursing Home,,RCTM,Rosecrest - The Meadows,Lower Sackville,,144,1.64,,
top_facilities,14,,Western,Nursing Home,,HBVH,Harbour View Haven,Lunenburg,,143,1.63,,
top_facilities,15,,Western,Nursing Home,,GVMC,Grand View Manor Continuing Care Community,Berwick,,142,1.62,,
top_facilities,16,,Eastern,Nursing Home,,RKMD,RK MacDonald Nursing Home,Antigonish,,136,1.55,,
top_facilities,17,,Northern,Nursing Home,,CDEC,Cedarstone Enhanced Care,Truro,,125,1.43,,
top_facilities,18,,Central,Nursing Home,,MVLG,Melville Lodge,Halifax,,123,1.40,,
top_facilities,19,,Western,Nursing Home,,EHSC,Evergreen Home for Special Care,Kentville,,116,1.32,,
top_facilities,20,,Eastern,Nursing Home,,SVMN,Seaview Manor,Glace Bay,,113,1.29,,
top_facilities,21,,Northern,Nursing Home,,VLVV,Valley View Villa,Stellarton,,112,1.28,,
top_facilities,22,,Central,Nursing Home,,DKLG,Dykeland Lodge,Windsor,,111,1.27,,
top_facilities,23,,Central,Nursing Home,,OWTR,Oakwood Terrace,Dartmouth,,111,1.27,,
top_facilities,24,,Eastern,Nursing Home,,CVGH,The Cove Guest Home,Sydney,,110,1.26,,
top_facilities,25,,Western,Nursing Home,,MTLL,Mountain Lea Lodge,Bridgetown North,,107,1.22,,
