fiscal_year,fiscal_year_start,zone,facility_type,site,temporary_hours,scheduled_hours,total_hours,is_zero_closure
2012-13,2012,1,CEC,Annapolis Community Health Centre,94.0,0.0,94.0,0
2013-14,2013,1,CEC,Annapolis Community Health Centre,165.0,0.0,165.0,0
2014-15,2014,1,CEC,Annapolis Community Health Centre,0.0,0.0,0.0,1
2015-16,2015,1,CEC,Annapolis Community Health Centre,41.0,0.0,41.0,0
2016-17,2016,1,CEC,Annapolis Community Health Centre,136.5,0.0,136.5,0
2017-18,2017,1,CEC,Annapolis Community Health Centre,385.0,0.0,385.0,0
2018-19,2018,1,CEC,Annapolis Community Health Centre,261.7,760.0,1021.7,0
2019-20,2019,1,CEC,Annapolis Community Health Centre,1534.0,1260.0,2794.0,0
2020-21,2020,1,CEC,Annapolis Community Health Centre,124.0,580.0,704.0,0
2021-22,2021,1,CEC,Annapolis Community Health Centre,1132.0,0.0,1132.0,0
2022-23,2022,1,CEC,Annapolis Community Health Centre,2912.0,0.0,2912.0,0
2012-13,2012,1,Community,Digby General Hospital,696.0,0.0,696.0,0
2013-14,2013,1,Community,Digby General Hospital,276.0,0.0,276.0,0
2014-15,2014,1,Community,Digby General Hospital,158.0,0.0,158.0,0
2015-16,2015,1,Community,Digby General Hospital,194.0,0.0,194.0,0
2016-17,2016,1,Community,Digby General Hospital,466.0,0.0,466.0,0
2017-18,2017,1,Community,Digby General Hospital,397.5,0.0,397.5,0
2018-19,2018,1,Community,Digby General Hospital,1101.3,0.0,1101.3,0
2019-20,2019,1,Community,Digby General Hospital,203.0,0.0,203.0,0
2020-21,2020,1,Community,Digby General Hospital,50.0,0.0,50.0,0
2021-22,2021,1,Community,Digby General Hospital,1676.5,0.0,1676.5,0
2022-23,2022,1,Community,Digby General Hospital,2779.5,0.0,2779.5,0
2023-24,2023,1,Community,Digby General Hospital,3923.8,0.0,3923.8,0
2012-13,2012,1,Community,Fishermen's Memorial Hospital,110.0,3285.0,3395.0,0
2013-14,2013,1,Community,Fishermen's Memorial Hospital,298.0,3293.0,3591.0,0
2014-15,2014,1,Community,Fishermen's Memorial Hospital,201.0,3285.0,3486.0,0
2015-16,2015,1,Community,Fishermen's Memorial Hospital,187.0,3294.0,3481.0,0
2016-17,2016,1,Community,Fishermen's Memorial Hospital,224.0,3285.0,3509.0,0
2017-18,2017,1,Community,Fishermen's Memorial Hospital,132.5,3285.0,3417.5,0
2018-19,2018,1,Community,Fishermen's Memorial Hospital,257.5,3285.0,3542.5,0
2019-20,2019,1,Community,Fishermen's Memorial Hospital,1409.0,3294.0,4703.0,0
2020-21,2020,1,Community,Fishermen's Memorial Hospital,58.0,3285.0,3343.0,0
2021-22,2021,1,Community,Fishermen's Memorial Hospital,1077.3,3285.0,4362.3,0
2022-23,2022,1,Community,Fishermen's Memorial Hospital,1255.5,3285.0,4540.5,0
2023-24,2023,1,Community,Fishermen's Memorial Hospital,2155.5,3615.0,5770.5,0
2012-13,2012,1,Community,Queens General Hospital,0.0,0.0,0.0,1
2013-14,2013,1,Community,Queens General Hospital,4.0,0.0,4.0,0
2014-15,2014,1,Community,Queens General Hospital,0.0,0.0,0.0,1
2015-16,2015,1,Community,Queens General Hospital,0.0,0.0,0.0,1
2016-17,2016,1,Community,Queens General Hospital,0.0,0.0,0.0,1
2017-18,2017,1,Community,Queens General Hospital,0.0,0.0,0.0,1
2018-19,2018,1,Community,Queens General Hospital,0.0,0.0,0.0,1
2019-20,2019,1,Community,Queens General Hospital,0.0,0.0,0.0,1
2020-21,2020,1,Community,Queens General Hospital,0.0,0.0,0.0,1
2021-22,2021,1,Community,Queens General Hospital,1049.0,0.0,1049.0,0
2022-23,2022,1,Community,Queens General Hospital,4374.5,0.0,4374.5,0
2023-24,2023,1,Community,Queens General Hospital,4438.8,0.0,4438.8,0
2012-13,2012,1,Community,Roseway Hospital,0.0,0.0,0.0,1
2013-14,2013,1,Community,Roseway Hospital,117.0,0.0,117.0,0
2014-15,2014,1,Community,Roseway Hospital,653.0,0.0,653.0,0
2015-16,2015,1,Community,Roseway Hospital,1331.0,0.0,1331.0,0
2016-17,2016,1,Community,Roseway Hospital,421.0,0.0,421.0,0
2017-18,2017,1,Community,Roseway Hospital,789.0,0.0,789.0,0
2018-19,2018,1,Community,Roseway Hospital,1719.5,0.0,1719.5,0
2019-20,2019,1,Community,Roseway Hospital,2659.0,0.0,2659.0,0
2020-21,2020,1,Community,Roseway Hospital,1038.0,0.0,1038.0,0
2021-22,2021,1,Community,Roseway Hospital,2966.0,0.0,2966.0,0
2022-23,2022,1,Community,Roseway Hospital,2904.0,0.0,2904.0,0
2023-24,2023,1,Community,Roseway Hospital,4827.0,0.0,4827.0,0
2012-13,2012,1,Community,Soldiers Memorial Hospital,516.0,0.0,516.0,0
2013-14,2013,1,Community,Soldiers Memorial Hospital,72.0,0.0,72.0,0
2014-15,2014,1,Community,Soldiers Memorial Hospital,150.0,0.0,150.0,0
2015-16,2015,1,Community,Soldiers Memorial Hospital,60.0,0.0,60.0,0
2016-17,2016,1,Community,Soldiers Memorial Hospital,38.0,0.0,38.0,0
2017-18,2017,1,Community,Soldiers Memorial Hospital,52.5,0.0,52.5,0
2018-19,2018,1,Community,Soldiers Memorial Hospital,100.5,0.0,100.5,0
2019-20,2019,1,Community,Soldiers Memorial Hospital,770.0,0.0,770.0,0
2020-21,2020,1,Community,Soldiers Memorial Hospital,1071.0,0.0,1071.0,0
2021-22,2021,1,Community,Soldiers Memorial Hospital,3354.0,0.0,3354.0,0
2022-23,2022,1,Community,Soldiers Memorial Hospital,2508.5,4374.0,6882.5,0
2023-24,2023,1,Community,Soldiers Memorial Hospital,419.5,7218.0,7637.5,0
2012-13,2012,1,Regional,South Shore Regional Hospital,0.0,0.0,0.0,1
2013-14,2013,1,Regional,South Shore Regional Hospital,0.0,0.0,0.0,1
2014-15,2014,1,Regional,South Shore Regional Hospital,0.0,0.0,0.0,1
2015-16,2015,1,Regional,South Shore Regional Hospital,0.0,0.0,0.0,1
2016-17,2016,1,Regional,South Shore Regional Hospital,0.0,0.0,0.0,1
2017-18,2017,1,Regional,South Shore Regional Hospital,0.0,0.0,0.0,1
2018-19,2018,1,Regional,South Shore Regional Hospital,0.0,0.0,0.0,1
2019-20,2019,1,Regional,South Shore Regional Hospital,0.0,0.0,0.0,1
2020-21,2020,1,Regional,South Shore Regional Hospital,0.0,0.0,0.0,1
2021-22,2021,1,Regional,South Shore Regional Hospital,0.0,0.0,0.0,1
2022-23,2022,1,Regional,South Shore Regional Hospital,0.0,0.0,0.0,1
2023-24,2023,1,Regional,South Shore Regional Hospital,0.0,0.0,0.0,1
2012-13,2012,1,Regional,Valley Regional Hospital,0.0,0.0,0.0,1
2013-14,2013,1,Regional,Valley Regional Hospital,0.0,0.0,0.0,1
2014-15,2014,1,Regional,Valley Regional Hospital,0.0,0.0,0.0,1
2015-16,2015,1,Regional,Valley Regional Hospital,0.0,0.0,0.0,1
2016-17,2016,1,Regional,Valley Regional Hospital,0.0,0.0,0.0,1
2017-18,2017,1,Regional,Valley Regional Hospital,0.0,0.0,0.0,1
2018-19,2018,1,Regional,Valley Regional Hospital,0.0,0.0,0.0,1
2019-20,2019,1,Regional,Valley Regional Hospital,0.0,0.0,0.0,1
2020-21,2020,1,Regional,Valley Regional Hospital,0.0,0.0,0.0,1
