"year","zone","type","site","temporary","scheduled","total"
"2023-24","1","Regional","South Shore Regional Hospital","0.0","0.0","0.0"
"2023-24","1","Regional","Yarmouth Regional Hospital","0.0","0.0","0.0"
"2023-24","1","Regional","Valley Regional Hospital","0.0","0.0","0.0"
"2023-24","1","Community","Digby General Hospital","3923.8","0.0","3923.8"
"2023-24","1","Community","Fishermen's Memorial Hospital","2155.5","3615.0","5770.5"
"2023-24","1","Community","Roseway Hospital","4827.0","0.0","4827.0"
"2023-24","1","Community","Soldiers Memorial Hospital","419.5","7218.0","7637.5"
"2023-24","1","Community","Queens General Hospital","4438.8","0.0","4438.8"
"2023-24","1","UTC","Annapolis Community Health Centre","0.0","0.0","0.0"
"2023-24","2","Regional","Colchester East Hants Health Centre","0.0","0.0","0.0"
"2023-24","2","Regional","Cumberland Regional Health Care Centre","0.0","0.0","0.0"
"2023-24","2","Regional","Aberdeen Hospital","0.0","0.0","0.0"
"2023-24","2","CEC","All Saints Springhill Hospital","0.0","0.0","0.0"
"2023-24","2","CEC","North Cumberland Memorial Hospital","2491.5","0.0","2491.5"
"2023-24","2","UTC","South Cumberland Community Care Centre","0.0","0.0","0.0"
"2023-24","2","UTC","Lillian Fraser Memorial Hospital","0.0","0.0","0.0"
"2023-24","3","Regional","Cape Breton Regional Hospital","0.0","0.0","0.0"
"2023-24","3","Regional","St. Martha's Regional Hospital","0.0","0.0","0.0"
"2023-24","3","Community","Eastern Memorial Hospital","4537.0","0.0","4537.0"
"2023-24","3","Community","Guysborough Memorial Hospital","2552.0","0.0","2552.0"
"2023-24","3","UTC","St. Anne Community & Nursing Care Centre","0.0","0.0","0.0"
"2023-24","3","Community","St. Mary's Memorial Hospital","0.0","0.0","0.0"
"2023-24","3","Community","Strait Richmond Hospital","446.0","5040.0","5486.0"
"2023-24","3","Community","Buchanan Memorial Health Centre","6.0","0.0","6.0"
"2023-24","3","Community","Glace Bay Health Care Facility","45.0","7508.0","7553.0"
"2023-24","3","Community","Inverness Consolidated Memorial Hospital","0.0","0.0","0.0"
"2023-24","3","UTC","Victoria County Memorial Hospital","0.0","0.0","0.0"
"2023-24","3","UTC","Northside General Hospital","0.0","0.0","0.0"
"2023-24","3","Community","Sacred Heart Community Health Centre","0.0","0.0","0.0"
"2023-24","3","CEC","New Waterford Consolidated Hospital","0.0","0.0","0.0"
"2023-24","4","Tertiary","QEII Health Sciences Centre","0.0","0.0","0.0"
"2023-24","4","Regional","Dartmouth General Hospital","0.0","0.0","0.0"
"2023-24","4","Community","Cobequid Community Health Centre","0.0","0.0","0.0"
"2023-24","4","UTC","Eastern Shore Memorial Hospital","0.0","0.0","0.0"
"2023-24","4","Community","Hants Community Hospital","738.0","0.0","738.0"
"2023-24","4","UTC","Musquodoboit Valley Memorial Hospital","0.0","0.0","0.0"
"2023-24","4","CEC","Twin Oaks Memorial Hospital","1591.0","0.0","1591.0"
"2023-24","IWK","Tertiary","IWK Health Centre","0.0","0.0","0.0"
"2022-23","1","Regional","South Shore Regional Hospital","0.0","0.0","0.0"
"2022-23","1","Regional","Yarmouth Regional Hospital","0.0","0.0","0.0"
"2022-23","1","Regional","Valley Regional Hospital","0.0","0.0","0.0"
"2022-23","1","Community","Digby General Hospital","2779.5","0.0","2779.5"
"2022-23","1","Community","Fishermen's Memorial Hospital","1255.5","3285.0","4540.5"
"2022-23","1","Community","Roseway Hospital","2904.0","0.0","2904.0"
"2022-23","1","Community","Soldiers Memorial Hospital","2508.5","4374.0","6882.5"
"2022-23","1","Community","Queens General Hospital","4374.5","0.0","4374.5"
"2022-23","1","CEC","Annapolis Community Health Centre","2912.0","0.0","2912.0"
"2022-23","2","Regional","Colchester East Hants Health Centre","0.0","0.0","0.0"
"2022-23","2","Regional","Cumberland Regional Health Care Centre","0.0","0.0","0.0"
"2022-23","2","Regional","Aberdeen Hospital","0.0","0.0","0.0"
"2022-23","2","CEC","All Saints Springhill Hospital","100.8","4797.0","4897.8"
"2022-23","2","CEC","North Cumberland Memorial Hospital","104.0","0.0","104.0"
"2022-23","2","UTC","South Cumberland Community Care Centre","0.0","0.0","0.0"
"2022-23","2","CEC","Lillian Fraser Memorial Hospital","0.0","4084.0","4084.0"
"2022-23","3","Regional","Cape Breton Regional Hospital","0.0","0.0","0.0"
"2022-23","3","Regional","St. Martha's Regional Hospital","0.0","0.0","0.0"
"2022-23","3","Community","Eastern Memorial Hospital","2531.8","0.0","2531.8"
"2022-23","3","Community","Guysborough Memorial Hospital","1756.0","0.0","1756.0"
"2022-23","3","UTC","St. Anne Community & Nursing Care Centre","0.0","0.0","0.0"
"2022-23","3","Community","St. Mary's Memorial Hospital","12.0","0.0","12.0"
"2022-23","3","Community","Strait Richmond Hospital","5113.5","0.0","5113.5"
"2022-23","3","Community","Buchanan Memorial Health Centre","319.0","0.0","319.0"
"2022-23","3","Community","Glace Bay Health Care Facility","13.0","8210.0","8223.0"
"2022-23","3","Community","Inverness Consolidated Memorial Hospital","0.0","0.0","0.0"
"2022-23","3","Community","Victoria County Memorial Hospital","3644.3","0.0","3644.3"
"2022-23","3","UTC","Northside General Hospital","0.0","0.0","0.0"
"2022-23","3","Community","Sacred Heart Community Health Centre","0.0","0.0","0.0"
"2022-23","3","CEC","New Waterford Consolidated Hospital","0.0","8760.0","8760.0"
"2022-23","4","Tertiary","QEII Health Sciences Centre","0.0","0.0","0.0"
"2022-23","4","Regional","Dartmouth General Hospital","0.0","0.0","0.0"
"2022-23","4","Community","Cobequid Community Health Centre","0.0","0.0","0.0"
"2022-23","4","Community","Eastern Shore Memorial Hospital","6338.0","0.0","6338.0"
"2022-23","4","Community","Hants Community Hospital","1188.0","0.0","1188.0"
"2022-23","4","CEC","Musquodoboit Valley Memorial Hospital","2684.5","4380.0","7064.5"
"2022-23","4","CEC","Twin Oaks Memorial Hospital","1384.5","0.0","1384.5"
"2022-23","IWK","Tertiary","IWK Health Centre","0.0","0.0","0.0"
"2021-22","1","Regional","South Shore Regional Hospital","0.0","0.0","0.0"
"2021-22","1","Regional","Yarmouth Regional Hospital","0.0","0.0","0.0"
"2021-22","1","Regional","Valley Regional Hospital","0.0","0.0","0.0"
"2021-22","1","Community","Digby General Hospital","1676.5","0.0","1676.5"
"2021-22","1","Community","Fishermen's Memorial Hospital","1077.3","3285.0","4362.3"
"2021-22","1","Community","Roseway Hospital","2966.0","0.0","2966.0"
"2021-22","1","Community","Soldiers Memorial Hospital","3354.0","0.0","3354.0"
"2021-22","1","Community","Queens General Hospital","1049.0","0.0","1049.0"
"2021-22","1","CEC","Annapolis Community Health Centre","1132.0","0.0","1132.0"
"2021-22","2","Regional","Colchester East Hants Health Centre","0.0","0.0","0.0"
"2021-22","2","Regional","Cumberland Regional Health Care Centre","0.0","0.0","0.0"
"2021-22","2","Regional","Aberdeen Hospital","0.0","0.0","0.0"
"2021-22","2","CEC","All Saints Springhill Hospital","0.0","6363.0","6363.0"
"2021-22","2","CEC","North Cumberland Memorial Hospital","0.0","0.0","0.0"
"2021-22","2","CEC","South Cumberland Community Care Centre","0.0","6250.0","6250.0"
"2021-22","2","CEC","Lillian Fraser Memorial Hospital","0.0","5432.0","5432.0"
"2021-22","3","Regional","Cape Breton Regional Hospital","0.0","0.0","0.0"
"2021-22","3","Regional","St. Martha's Regional Hospital","0.0","0.0","0.0"
"2021-22","3","Community","Eastern Memorial Hospital","459.0","0.0","459.0"
"2021-22","3","Community","Guysborough Memorial Hospital","2016.5","0.0","2016.5"
"2021-22","3","Community","St. Anne Community & Nursing Care Centre","589.0","0.0","589.0"
"2021-22","3","Community","St. Mary's Memorial Hospital","0.0","0.0","0.0"
"2021-22","3","Community","Strait Richmond Hospital","2528.5","0.0","2528.5"
"2021-22","3","Community","Buchanan Memorial Health Centre","3.5","0.0","3.5"
"2021-22","3","Community","Glace Bay Health Care Facility","586.0","5993.0","6579.0"
"2021-22","3","Community","Inverness Consolidated Memorial Hospital","0.0","0.0","0.0"
"2021-22","3","Community","Victoria County Memorial Hospital","3988.3","0.0","3988.3"
"2021-22","3","Community","Northside General Hospital","0.0","5144.0","5144.0"
"2021-22","3","Community","Sacred Heart Community Health Centre","0.0","0.0","0.0"
