section,rank,measure,fiscal_year,fiscal_year_start,zone,facility_type,site,site_years,zero_site_years,total_hours,temporary_hours,scheduled_hours,temporary_share_pct,yoy_change_hours,yoy_change_pct
summary,1,total_closure_hours,,,,,,456,238,520811.3,217293.8,303517.5,41.72,,
summary,2,sites_observed,,,,,,38,,,,,,,
summary,3,fiscal_years_observed,,,,,,12,,,,,,,
summary,4,site_years_with_zero_closure_hours,,,,,,238,,,,,,,
summary,5,sites_with_zero_closure_hours_all_years,,,,,,13,,,,,,,
summary,6,sites_with_facility_type_change,,,,,,8,,,,,,,
summary,7,facility_types_with_any_closure_hours,,,,,,2,,,,,,,
summary,8,site_years_with_undefined_temporary_share,,,,,,238,,,,,,,
row_accounting,1,rows_in_snapshot,,,,,,456,,,,,,,
row_accounting,2,rows_excluded_unparsable_fiscal_year,,,,,,0,,,,,,,
row_accounting,3,rows_excluded_unparsable_hours,,,,,,0,,,,,,,
row_accounting,4,rows_excluded_missing_site,,,,,,0,,,,,,,
row_accounting,5,rows_excluded_missing_zone_or_type,,,,,,0,,,,,,,
row_accounting,6,rows_loaded_clean,,,,,,456,,,,,,,
reconciliation,1,rows_checked,,,,,,456,,,,,,,
reconciliation,2,rows_reconciled,,,,,,456,,,,,,,
reconciliation,3,rows_mismatched,,,,,,0,,,,,,,
reconciliation,4,mismatch_total_abs_hours,,,,,,,,0.0,,,,,
reconciliation,5,mismatch_max_abs_hours,,,,,,,,0.0,,,,,
zone_totals,1,,,,3,,,168,90,223648.9,81510.9,142138.0,36.45,,
zone_totals,2,,,,1,,,108,47,118442.9,64474.9,53968.0,54.44,,
zone_totals,3,,,,4,,,84,48,90587.7,40648.7,49939.0,44.87,,
zone_totals,4,,,,2,,,84,41,88131.8,30659.3,57472.5,34.79,,
zone_totals,5,,,,IWK,,,12,12,0.0,0.0,0.0,,,
type_totals,1,,,,,Community,,222,91,293479.4,155368.4,138111.0,52.94,,
type_totals,2,,,,,CEC,,91,4,227331.9,61925.4,165406.5,27.24,,
type_totals,3,,,,,Regional,,108,108,0.0,0.0,0.0,,,
type_totals,4,,,,,Tertiary,,24,24,0.0,0.0,0.0,,,
type_totals,5,,,,,UTC,,11,11,0.0,0.0,0.0,,,
zone_year,1,,2012-13,2012,1,,,9,5,4701.0,1416.0,3285.0,30.12,,
zone_year,2,,2013-14,2013,1,,,9,3,4225.0,932.0,3293.0,22.06,-476.0,-10.13
zone_year,3,,2014-15,2014,1,,,9,5,4447.0,1162.0,3285.0,26.13,222.0,5.25
zone_year,4,,2015-16,2015,1,,,9,4,5107.0,1813.0,3294.0,35.50,660.0,14.84
zone_year,5,,2016-17,2016,1,,,9,4,4570.5,1285.5,3285.0,28.13,-536.5,-10.51
zone_year,6,,2017-18,2017,1,,,9,4,5041.5,1756.5,3285.0,34.84,471.0,10.31
