object_id,fiscal_year,fiscal_year_start,nsbi_sector,nsbi_county,county_is_geographic,deal_type,account_name,place_name,postalcode,nsbi_financial_contribution,has_contribution,latitude,longitude,is_mappable,in_ns_bounds
1,2018-2019,2018,ICT (includes Digital Media),Halifax,1,Business Development Program,Northern Business Intelligence,Dartmouth,B3B1T4,10850.00,1,44.70609,-63.59236,1,1
2,2018-2019,2018,Energy,Halifax,1,Business Development Program,Fourth State Energy Incorporated,Halifax,B3J2L4,3750.00,1,44.654755,-63.632286,1,1
3,2018-2019,2018,Advanced Manufacturing,Halifax,1,Business Development Program,Skinfix Inc,Halifax,B3J1R9,8100.00,1,44.645084,-63.570552,1,1
4,2018-2019,2018,ICT (includes Digital Media),Lunenburg,1,Business Development Program,Singolar Inc,Bridgewater,B4V6Y1,15000.00,1,44.4261574,-64.6186263,1,1
5,2018-2019,2018,Life Sciences,Colchester,1,Business Development Program,Truro Herbal Co.,Truro,B2N1M8,15000.00,1,45.371086,-63.298648,1,1
6,2018-2019,2018,ICT (includes Digital Media),Halifax,1,Business Development Program,SimplyCast Interactive Marketing LTD.,Dartmouth,B2W6E2,12500.00,1,44.681461,-63.535262,1,1
7,2018-2019,2018,ICT (includes Digital Media),Halifax,1,Business Development Program,En Point Inc,Halifax,B3J3M8,2520.00,1,44.647395,-63.5727,1,1
8,2018-2019,2018,Life Sciences,Halifax,1,Business Development Program,BlueLight Analytics Inc,Halifax,B3L4G4,25000.00,1,44.642071,-63.620539,1,1
9,2018-2019,2018,Agri-food,Halifax,1,Business Development Program,Ednaturals Bar,Halifax,B3P1H5,2450.00,1,44.617409,-63.610642,1,1
10,2018-2019,2018,Fish & Seafood Processing,Victoria,1,Business Development Program,Victoria Co-Operative Fisheries Ltd,Neils Harbour,B0C1N0,15000.00,1,46.762745,-60.343878,1,1
11,2018-2019,2018,Oceans Technology,Halifax,1,Business Development Program,Focal Technologies Corporation,Dartmouth,B3B1Z4,4775.00,1,44.711855,-63.587502,1,1
12,2018-2019,2018,Agri-food,Halifax,1,Business Development Program,Cove Kombucha,Halifax,B3J2J9,8400.00,1,44.640981,-63.576924,1,1
13,2018-2019,2018,Advanced Manufacturing,Halifax,1,Business Development Program,Dormie Golf Workshop Inc.,Halifax,B3K2Y3,14950.00,1,44.660963,-63.590301,1,1
14,2018-2019,2018,ICT (includes Digital Media),Halifax,1,Business Development Program,B4Checkin Limited,Halifax,B3J3S9,19000.00,1,44.640361,-63.586911,1,1
15,2018-2019,2018,Agri-food,Kings,1,Business Development Program,Barrelling Tide Distillery,Port Williams,B0P1T0,6875.00,1,45.159695,-64.362715,1,1
16,2018-2019,2018,ICT (includes Digital Media),Halifax,1,Business Development Program,Fundmetric Incorporated,Halifax,B3J3K3,7500.00,1,44.64335495,-63.57813098,1,1
17,2018-2019,2018,Advanced Manufacturing,Shelburne,1,Business Development Program,Ven-Rez Products Ltd,Shelburne,B0T1W0,16832.00,1,43.66134,-65.41816,1,1
18,2018-2019,2018,Fish & Seafood Processing,Digby,1,Business Development Program,Riverside Lobster International Inc,Meteghan,B0W2J0,15000.00,1,44.158134,-66.258852,1,1
19,2018-2019,2018,Life Sciences,Halifax,1,Business Development Program,Precision BioLogic Incorporated,Dartmouth,B3B0A9,4750.00,1,44.695212,-63.573165,1,1
20,2018-2019,2018,Advanced Manufacturing,Halifax,1,Business Development Program,Duckish Natural Skin Care Limited,Halifax,B3L1K1,9375.00,1,44.649822,-63.595101,1,1
21,2018-2019,2018,ICT (includes Digital Media),Halifax,1,Business Development Program,GeoNavo Positioning Systems Inc,Hammonds Plains,B4B2B8,15000.00,1,44.734087,-63.800164,1,1
22,2018-2019,2018,ICT (includes Digital Media),Halifax,1,Business Development Program,Eyeread Inc.,Dartmouth,B3B1E8,15000.00,1,44.694128,-63.613528,1,1
