section,rank,measure,fiscal_year,nsbi_sector,nsbi_county,deal_type,account_name,deals,amount,share_pct,yoy_change,yoy_pct
summary,1,total_deals_and_contribution,"","","","","",4553,289279591.01,100.00,,
summary,2,deals_with_a_contribution_value,"","","","","",4553,289279591.01,100.00,,
summary,3,blank_contribution_deals,"","","","","",0,,,,
summary,4,zero_contribution_deals,"","","","","",257,0.00,0.00,,
summary,5,negative_contribution_deals,"","","","","",0,0.00,0.00,,
summary,6,non_county_label_deals,"","","","","",2,2016000.00,0.70,,
summary,7,deals_without_coordinates,"","","","","",1,117500.00,0.04,,
summary,8,deals_outside_nova_scotia,"","","","","",7,2465355.12,0.85,,
summary,9,top_sector,"",ICT (includes Digital Media),"","","",764,89152964.26,30.82,,
summary,10,top_county,"","",Halifax,"","",3267,208658110.23,72.13,,
summary,11,top_deal_type,"","","",PRB,"",31,82531894.00,28.53,,
summary,12,top_recipient,"","","","",Cognizant Technology Solutions Corporation,3,47724415.00,16.50,,
totals_tie,1,sum_by_sector,"","","","","",4553,289279591.01,,,
totals_tie,2,sum_by_county,"","","","","",4553,289279591.01,,,
totals_tie,3,sum_by_deal_type,"","","","","",4553,289279591.01,,,
totals_tie,4,sum_by_fiscal_year,"","","","","",4553,289279591.01,,,
totals_tie,5,sum_by_recipient,"","","","","",4553,289279591.01,,,
by_sector,1,"","",ICT (includes Digital Media),"","","",764,89152964.26,30.82,,
by_sector,2,"","",Advanced Manufacturing,"","","",601,63335382.84,21.89,,
by_sector,3,"","",Agri-food,"","","",470,28334207.40,9.79,,
by_sector,4,"","",ICT,"","","",253,25393846.18,8.78,,
by_sector,5,"","",Business Services,"","","",474,22103168.22,7.64,,
by_sector,6,"","",Finance & Insurance,"","","",47,16764318.47,5.80,,
by_sector,7,"","",Life Sciences,"","","",283,8074044.97,2.79,,
by_sector,8,"","",Agrifood Technology,"","","",92,7292935.11,2.52,,
by_sector,9,"","",Fish & Seafood Processing,"","","",219,6346322.78,2.19,,
by_sector,10,"","",Clean Tech,"","","",1,3125741.00,1.08,,
by_sector,11,"","",Finacial Services,"","","",2,2938640.00,1.02,,
by_sector,12,"","",Aerospace & Defence,"","","",36,2017799.85,0.70,,
by_sector,13,"","",CleanTech,"","","",66,1927823.92,0.67,,
by_sector,14,"","",Oceans Technology,"","","",330,1833108.97,0.63,,
by_sector,15,"","",Other,"","","",373,1770872.75,0.61,,
by_sector,16,"","",Clean Technology,"","","",34,1606504.33,0.56,,
by_sector,17,"","",Energy,"","","",95,1098038.51,0.38,,
by_sector,18,"","",Life Science,"","","",3,1000000.00,0.35,,
by_sector,19,"","",Defence,"","","",7,943776.50,0.33,,
