region,center_name,city_town,street_address,postal_code,fsa,latitude,longitude,phone,email,web,facebook,twitter,has_email,has_web,has_facebook,has_twitter,contact_channels,region_centres,region_share_pct
Annapolis Valley,Community Inc.,Kentville,61 Webster Street,B4N 1H6,B4N,45.07853287,-64.49555486,902-679-7469,irs@communityinc.ca,https://www.communityinc.ca,https://www.facebook.com/CommunityIncKentville/,,1,1,1,0,3,6,12.77
Annapolis Valley,Community Inc.,Windsor,80 Water Street (Windsor Mall),B0N 2T0,B0N,44.99490587,-64.13905699,902-798-5627,irs@communityinc.ca,http://www.communityinc.ca,https://www.facebook.com/NovaScotiaWorksWindsor/,https://twitter.com/WindsorNSW,1,1,1,1,4,6,12.77
Annapolis Valley,PeopleWorx,Annapolis Royal,253 St. George Street,B0S 1A0,B0S,44.74418394,-65.51905816,902-532-0605,contact@peopleworx.ca,http://www.peopleworx.ca,https://www.facebook.com/NSWPeopleWorx,https://twitter.com/NSWPeopleWorx,1,1,1,1,4,6,12.77
Annapolis Valley,PeopleWorx,Coldbrook,11 Opportunity Lane,B4R 0A5,B4R,45.07142106,-64.55966161,902-679-7460,contact@peopleworx.ca,http://www.peopleworx.ca,https://www.facebook.com/NSWPeopleWorx,https://twitter.com/NSWPeopleWorx,1,1,1,1,4,6,12.77
Annapolis Valley,PeopleWorx,Middleton,298 Marshall Street,B0S 1P0,B0S,44.9457804,-65.06848013,902-825-3118,contact@peopleworx.ca,http://www.peopleworx.ca,https://www.facebook.com/NSWPeopleWorx,https://twitter.com/NSWPeopleWorx,1,1,1,1,4,6,12.77
Annapolis Valley,Valley African Nova Scotia Development Association,Kentville,61 Webster Street,B4N 1H6,B4N,45.0785253,-64.4953832,902-678-7410,info@vansda.ca,http://www.vansda.ca,https://www.facebook.com/VANSDA61,https://twitter.com/StaffVansda,1,1,1,1,4,6,12.77
Cape Breton,Conseil de développement économique de la Nouvelle-Écosse (CDÉNÉ),Petit de Grat,3435 Highway 206 (La Picasse),B0E 2L0,B0E,45.5146449,-60.9632787,902-226-3029,mjoshua@cdene.ns.ca,http://www.cdene.ns.ca,https://www.facebook.com/CDENEemploi/,https://twitter.com/CDENEemploi,1,1,1,1,4,12,25.53
Cape Breton,Conseil de développement économique de la Nouvelle-Écosse (CDÉNÉ),Saint Joseph du Moine,12521 Cabot Trail Road (UniversitÃ© Sainte-Anne),B0E 3A0,B0E,46.525915,-61.06402,902-224-2774,bleblanc@cdene.ns.ca,http://www.cdene.ns.ca,https://www.facebook.com/CDENEemploi/,https://twitter.com/CDENEemploi,1,1,1,1,4,12,25.53
Cape Breton,Northside Employment & Resource Centre,Baddeck,503 Chebucto Street (Chebucto Place),B0E 1B0,B0E,46.10075521,-60.74967157,902-295-1649,berc@nedac.ca,http://www.northsideemployment.com,https://www.facebook.com/JOBSHOPNERC/,https://twitter.com/NSWorks_NEDAC,1,1,1,1,4,12,25.53
Cape Breton,Northside Employment & Resource Centre,Ingonish,"36243 Cabot Trail, PO Box 233 (Victoria North Regional Library)",B0C 1K0,B0C,46.69045293,-60.38078744,902-285-2696,dbest@nedac.ca,http://www.northsideemployment.com,https://www.facebook.com/JOBSHOPNERC/,https://twitter.com/NSWorks_NEDAC,1,1,1,1,4,12,25.53
Cape Breton,Northside Employment & Resource Centre,North Sydney,"116 King Street, Unit #4 (North Sydney Mall)",B2A 3R7,B2A,46.21394996,-60.26534973,902-794-7213,jobshop@nedac.ca,http://www.northsideemployment.com,https://www.facebook.com/JOBSHOPNERC/,https://twitter.com/NSWorks_NEDAC,1,1,1,1,4,12,25.53
Cape Breton,YMCA of Cape Breton,Glace Bay,106 Reserve Street,B1A 4W5,B1A,46.19251007,-59.97152956,902-849-5500,resource.gb@cb.ymca.ca,https://capebreton.ymca.ca/employment-services/,https://www.facebook.com/YMCANSWCB,https://twitter.com/ymcanswcb,1,1,1,1,4,12,25.53
Cape Breton,YMCA of Cape Breton,Inverness,15790 Central Avenue,B0E 1N0,B0E,46.22971109,-61.30641036,902-202-6960,resource.inverness@cb.ymca.ca,https://capebreton.ymca.ca/employment-services/,https://www.facebook.com/YMCANSWCB,https://twitter.com/ymcanswcb,1,1,1,1,4,12,25.53
