"region","center_name","street_address","city_town","postal_code","phone","email","web","x_coordinate","y_coordinate","location_1","location_details","facebook","twitter"
"Annapolis Valley","Community Inc.","80 Water Street (Windsor Mall)","Windsor","B0N 2T0","902-798-5627","irs@communityinc.ca","http://www.communityinc.ca","44.99490587","-64.13905699","(44.99490587, -64.13905699)",,"https://www.facebook.com/NovaScotiaWorksWindsor/","https://twitter.com/WindsorNSW"
"Annapolis Valley","Community Inc.","61 Webster Street","Kentville","B4N 1H6","902-679-7469","irs@communityinc.ca","https://www.communityinc.ca","45.07853287","-64.49555486","(45.07853287, -64.49555486)",,"https://www.facebook.com/CommunityIncKentville/",
"Annapolis Valley","PeopleWorx","298 Marshall Street","Middleton","B0S 1P0","902-825-3118","contact@peopleworx.ca","http://www.peopleworx.ca","44.9457804","-65.06848013","(44.9457804, -65.06848013)",,"https://www.facebook.com/NSWPeopleWorx","https://twitter.com/NSWPeopleWorx"
"Annapolis Valley","PeopleWorx","253 St. George Street","Annapolis Royal","B0S 1A0","902-532-0605","contact@peopleworx.ca","http://www.peopleworx.ca","44.74418394","-65.51905816","(44.74418394, -65.51905816)",,"https://www.facebook.com/NSWPeopleWorx","https://twitter.com/NSWPeopleWorx"
"Annapolis Valley","PeopleWorx","11 Opportunity Lane","Coldbrook","B4R 0A5","902-679-7460","contact@peopleworx.ca","http://www.peopleworx.ca","45.07142106","-64.55966161","(45.07142106, -64.55966161)",,"https://www.facebook.com/NSWPeopleWorx","https://twitter.com/NSWPeopleWorx"
"Annapolis Valley","Valley African Nova Scotia Development Association","61 Webster Street","Kentville","B4N 1H6","902-678-7410","info@vansda.ca","http://www.vansda.ca","45.0785253","-64.4953832","(45.0785253, -64.4953832)",,"https://www.facebook.com/VANSDA61","https://twitter.com/StaffVansda"
"Cape Breton","Conseil de développement économique de la Nouvelle-Écosse (CDÉNÉ)","3435 Highway 206 (La Picasse)","Petit de Grat","B0E 2L0","902-226-3029","mjoshua@cdene.ns.ca","http://www.cdene.ns.ca","45.5146449","-60.9632787","(45.5146449, -60.9632787)","Designated Bilingual Centre","https://www.facebook.com/CDENEemploi/","https://twitter.com/CDENEemploi"
"Cape Breton","Conseil de développement économique de la Nouvelle-Écosse (CDÉNÉ)","12521 Cabot Trail Road (UniversitÃ© Sainte-Anne)","Saint Joseph du Moine","B0E 3A0","902-224-2774","bleblanc@cdene.ns.ca","http://www.cdene.ns.ca","46.525915","-61.06402","(46.525915, -61.06402)","Designated Bilingual Centre","https://www.facebook.com/CDENEemploi/","https://twitter.com/CDENEemploi"
"Cape Breton","Northside Employment & Resource Centre","503 Chebucto Street (Chebucto Place)","Baddeck","B0E 1B0","902-295-1649","berc@nedac.ca","http://www.northsideemployment.com","46.10075521","-60.74967157","(46.10075521, -60.74967157)",,"https://www.facebook.com/JOBSHOPNERC/","https://twitter.com/NSWorks_NEDAC"
"Cape Breton","Northside Employment & Resource Centre","116 King Street, Unit #4 (North Sydney Mall)","North Sydney","B2A 3R7","902-794-7213","jobshop@nedac.ca","http://www.northsideemployment.com","46.21394996","-60.26534973","(46.21394996, -60.26534973)",,"https://www.facebook.com/JOBSHOPNERC/","https://twitter.com/NSWorks_NEDAC"
"Cape Breton","Northside Employment & Resource Centre","36243 Cabot Trail, PO Box 233 (Victoria North Regional Library)","Ingonish","B0C 1K0","902-285-2696","dbest@nedac.ca","http://www.northsideemployment.com","46.69045293","-60.38078744","(46.69045293, -60.38078744)",,"https://www.facebook.com/JOBSHOPNERC/","https://twitter.com/NSWorks_NEDAC"
"Cape Breton","YMCA of Cape Breton","106 Reserve Street","Glace Bay","B1A 4W5","902-849-5500","resource.gb@cb.ymca.ca","https://capebreton.ymca.ca/employment-services/","46.19251007","-59.97152956","(46.19251007, -59.97152956)",,"https://www.facebook.com/YMCANSWCB","https://twitter.com/ymcanswcb"
"Cape Breton","YMCA of Cape Breton","341 Welton Street","Sydney","B1P 5S6","902-270-4552","resource.sydney@cb.ymca.ca","https://capebreton.ymca.ca/employment-services/","46.1449753","-60.1637055","(46.1449753, -60.1637055)",,"https://www.facebook.com/YMCANSWCB","https://twitter.com/ymcanswcb"
"Cape Breton","YMCA of Cape Breton","47 Paint Street, Unit 9 (Port Hawkesbury Centre)","Port Hawkesbury","B9A 3J9","902-738-2130","resource.porthawkesbury@cb.ymca.ca","https://capebreton.ymca.ca/employment-services/","45.6166333","-61.335886","(45.6166333, -61.335886)",,"https://www.facebook.com/YMCANSWCB","https://twitter.com/ymcanswcb"
"Cape Breton","YMCA of Cape Breton","10036 Grenville Street (St. Peter's Learning & Technology Centre)","St. Peters","B0E 3B0","902-738-2130","resource.porthawkesbury@cb.ymca.ca","https://capebreton.ymca.ca/employment-services/","45.6566922","-60.87126297","(45.6566922, -60.87126297)","Call for Office Hours","https://www.facebook.com/YMCANSWCB","https://twitter.com/ymcanswcb"
"Cape Breton","YMCA of Cape Breton","15790 Central Avenue","Inverness","B0E 1N0","902-202-6960","resource.inverness@cb.ymca.ca","https://capebreton.ymca.ca/employment-services/","46.22971109","-61.30641036","(46.22971109, -61.30641036)","Call for Office Hours","https://www.facebook.com/YMCANSWCB","https://twitter.com/ymcanswcb"
"Cape Breton","YMCA of Cape Breton","399 Charlotte Street","Sydney","B1P 1E3","902-564-9151","resource.sydney@cb.ymca.ca","https://capebreton.ymca.ca/employment-services/","46.13673915","-60.19325464","(46.13673915, -60.19325464)",,"https://www.facebook.com/YMCANSWCB","https://twitter.com/ymcanswcb"
"Cape Breton","YMCA of Cape Breton","479 Heelan Street","New Waterford","B1H 3C6","902-862-8856","resource.newwaterford@cb.ymca.ca","https://capebreton.ymca.ca/employment-services/","46.24973127","-60.09280997","(46.24973127, -60.09280997)",,"https://www.facebook.com/YMCANSWCB","https://twitter.com/ymcanswcb"
"HRM","Job Junction","6950 Mumford Road (Halifax Shopping Centre Annex)","Halifax","B3L 4W1","902-455-9675","contact@jobjunction.ca","http://www.jobjunction.ca","44.646731","-63.61766172","(44.646731, -63.61766172)",,"https://www.facebook.com/novascotiaworkshalifax/","https://twitter.com/Job_Junction"
"HRM","Opportunity Place","108 Cobequid Road, Suite 100","Lower Sackville","B4C 2N2","902-864-7520","staff@opportunityplace.ca","http://www.opportunityplace.ca","44.75608625","-63.6615569","(44.75608625, -63.6615569)",,"https://www.facebook.com/Opportunity-Place-Nova-Scotia-Works-633498223708418","https://twitter.com/OPRCNS"
"HRM","TEAM Work","7051 Bayers Road, Suite 501 (Bayers Road Centre)","Halifax","B3L 2C1","902-422-8900","reception@teamworkbridge.org","http://www.teamworkbridge.org","44.65452839","-63.62540856","(44.65452839, -63.62540856)",,"https://www.facebook.com/TEAMWork1997","https://twitter.com/TEAMWork1997"
"HRM","YMCA of Greater Halifax/Dartmouth","12335 Highway # 224","Musquodoboit","B0N 1X0","902-384-2390","novascotiaworks@halifax.ymca.ca","http://www.ymcansworks.ca","45.0435368","-63.14773034","(45.0435368, -63.14773034)",,"https://www.facebook.com/ymcansworks",
"HRM","YMCA of Greater Halifax/Dartmouth","44 Simmonds Road (North Recreation Centre)","North Preston","B2Z 1A3","902-461-2513","novascotiaworks@halifax.ymca.ca","http://www.ymcansworks.ca","44.74545835","-63.46716766","(44.74545835, -63.46716766)","Call for Office Hours","https://www.facebook.com/ymcansworks",
"HRM","YMCA of Greater Halifax/Dartmouth","118 Wyse Road, Unit 14 (Dartmouth Shopping Centre)","Dartmouth","B3A 1N7","902-461-2513","novascotiaworks@halifax.ymca.ca","http://www.ymcansworks.ca","44.67176206","-63.57667915","(44.67176206, -63.57667915)","Designated Bilingual Centre","https://www.facebook.com/ymcansworks",
"HRM","YMCA of Greater Halifax/Dartmouth","22756 Highway # 7","Sheet Harbour","B0J 3B0","902-885-2810","novascotiaworks@halifax.ymca.ca","http://www.ymcansworks.ca","44.91780788","-62.526512","(44.91780788, -62.526512)",,"https://www.facebook.com/ymcansworks",
"HRM","YMCA of Greater Halifax/Dartmouth","1888 Brunswick Street, Suite 608","Halifax","B3J 3J8","902-425-3464","novascotiaworks@halifax.ymca.ca","http://www.ymcansworks.ca","44.6493179","-63.581018","(44.6493179, -63.581018)","Designated Bilingual Centre","https://www.facebook.com/ymcansworks",
