period,year,quarter,year_quarter_index,zone,facility,procedure,consult_median,consult_90th,consult_tail_gap,surgery_median,surgery_90th,surgery_tail_gap,surgery_target_days,consult_target_days,surgery_measured,surgery_breach,consult_measured,consult_breach
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Bowel Resection,,,,32,58,26,182,90,1,0,0,0
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Bowel Resection,,,,35,50,15,182,90,1,0,0,0
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Bowel Resection,,,,32,43,11,182,90,1,0,0,0
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Bowel Resection,,,,50,57,7,182,90,1,0,0,0
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Bowel Resection,,,,23,39,16,182,90,1,0,0,0
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Bowel Resection,,,,29,49,20,182,90,1,0,0,0
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Bowel Resection,,,,32,60,28,182,90,1,0,0,0
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Bowel Resection,,,,19,43,24,182,90,1,0,0,0
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,11,27,16,24,52,28,182,90,1,0,1,0
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,7,21,14,19,45,26,182,90,1,0,1,0
2023_q4,2023,4,8096,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,9,19,10,17,29,12,182,90,1,0,1,0
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,10,21,11,19,36,17,182,90,1,0,1,0
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,17,45,28,29,41,12,182,90,1,0,1,0
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,17,43,26,18,39,21,182,90,1,0,1,0
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,19,39,20,23,34,11,182,90,1,0,1,0
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,18,23,5,22,44,22,182,90,1,0,1,0
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Breast Cancer Surgery,6,8,2,17,23,6,182,90,1,0,1,0
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,43,151,108,56,130,74,182,90,1,0,1,0
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,52,410,358,50,185,135,182,90,1,0,1,0
2023_q4,2023,4,8096,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,44,100,56,38,107,69,182,90,1,0,1,0
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,37,130,93,56,168,112,182,90,1,0,1,0
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,40,106,66,,,,182,90,0,0,1,0
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,65,156,91,26,48,22,182,90,1,0,1,0
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,95,197,102,43,204,161,182,90,1,0,1,1
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,47,123,76,63,133,70,182,90,1,0,1,0
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Carpal Tunnel Surgery,52,209,157,29,94,65,182,90,1,0,1,0
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Endometrial Ablation,122,307,185,,,,182,90,0,0,1,1
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Endometrial Ablation,48,154,106,36,74,38,182,90,1,0,1,0
2023_q4,2023,4,8096,Zone 2,Aberdeen Hospital,Endometrial Ablation,39,137,98,46,184,138,182,90,1,0,1,0
2024_q1,2024,1,8097,Zone 2,Aberdeen Hospital,Endometrial Ablation,,,,29,176,147,182,90,1,0,0,0
2024_q2,2024,2,8098,Zone 2,Aberdeen Hospital,Endometrial Ablation,262,320,58,57,181,124,182,90,1,0,1,1
2024_q3,2024,3,8099,Zone 2,Aberdeen Hospital,Endometrial Ablation,165,588,423,33,75,42,182,90,1,0,1,1
2024_q4,2024,4,8100,Zone 2,Aberdeen Hospital,Endometrial Ablation,57,69,12,55,103,48,182,90,1,0,1,0
2025_q1,2025,1,8101,Zone 2,Aberdeen Hospital,Endometrial Ablation,64,177,113,139,266,127,182,90,1,0,1,0
2025_q2,2025,2,8102,Zone 2,Aberdeen Hospital,Endometrial Ablation,57,125,68,75,155,80,182,90,1,0,1,0
2023_q2,2023,2,8094,Zone 2,Aberdeen Hospital,Gallbladder Surgery,136,417,281,63,113,50,182,90,1,0,1,1
2023_q3,2023,3,8095,Zone 2,Aberdeen Hospital,Gallbladder Surgery,43,247,204,46,85,39,182,90,1,0,1,0
