"period","specialty","procedure","provider","zone","facility","year","quarter","consult_median","consult_90th","surgery_median","surgery_90th"
"2023_q2",,"Hysteroscopy",,"Zone 2","Aberdeen Hospital","2023","2","30","68","39","62"
"2024_q4",,"Gastric Surgery",,"Total","Provincial","2024","4","14","21","38","127"
"2023_q3",,"Hernia Repair  (Pediatric)",,"IWK","IWK","2023","3","97","228","119","361"
"2023_q3",,"Kidney Stone Surgery",,"Zone 3","Cape Breton Regional","2023","3",,,"36","387"
"2025_q2",,"Bladder Cancer Surgery",,"Zone 3","Northside General","2025","2",,,"106","157"
"2023_q2",,"Ear Tubes  (Pediatric)",,"Zone 1","Valley Regional","2023","2","120","168","55","148"
"2025_q1",,"Colorectal Cancer Surgery",,"Total","Provincial","2025","1","22","100","31","71"
"12month_rolling","Orthopaedic","Back Surgery  (Pediatric)","Morash, Kevin",,,,,"90","668","383","589"
"2025_q1",,"Gastrointestinal Tract Surgery",,"Zone 2","Colchester East Hants Health Centre","2025","1",,,"47","61"
"2023_q2",,"Hernia Repair  (Adult)",,"Zone 3","St. Martha's Regional","2023","2","23","106","228","310"
"3month_rolling",,"Functional Endoscopic Sinus Surgery (FESS)",,"Zone 3","St. Martha's Regional","2025","2",,,"96","151"
"12month_rolling","Urology","Kidney Stone Surgery","Bailly, Greg G",,,,,"34","59","31","50"
"2024_q4",,"Shoulder Arthroplasty",,"Total","Provincial","2024","4","91","389","175","529"
"2025_q1",,"Tonsillectomy and/or Adenoidectomy  (Pediatric)",,"Zone 3","Cape Breton Regional","2025","1","48","118","253","320"
"2023_q2",,"Cardiovascular Surgery",,"Total","Provincial","2023","2",,,"10","91"
"12month_rolling",,"Hysteroscopy",,"Zone 1","Valley Regional","2025","2","42","300","41","100"
"12month_rolling","Urology","All","Butler, Trevor",,,,,"3","7","51","183"
"2024_q4",,"Hysteroscopy",,"Zone 4","Dartmouth General","2024","4","35","188","59","163"
"12month_rolling","Obstetrics/Gynaecology","All","Pearsall, Jessica",,,,,"84","546","43","120"
"2023_q4",,"Cataract Surgery",,"Total","Provincial","2023","4","105","266","63","242"
"2025_q1",,"Head and Neck Surgery",,"Total","Provincial","2025","1","17","105","40","139"
"12month_rolling",,"Prostate Surgery",,"Zone 4","Dartmouth General","2025","2","47","156","86","279"
"2025_q2",,"Hernia Repair  (Adult)",,"Zone 4","Hants Community Hospital","2025","2","193","461","43","151"
"12month_rolling","General Surgery","Gastrointestinal Tract Surgery - Laparoscopic","Lapierre, Stephanie",,,,,"16","65","27","149"
"2023_q4",,"Endometrial Ablation",,"Zone 2","Aberdeen Hospital","2023","4","39","137","46","184"
"2024_q1",,"Sacral Nerve Stimulation",,"Total","Provincial","2024","1",,,"133","162"
"2023_q2",,"Gastrointestinal Tract Surgery",,"Zone 4","Dartmouth General","2023","2","57","278","57","188"
"2024_q4",,"Knee Scope",,"Zone 2","Aberdeen Hospital","2024","4","73","230","85","151"
"12month_rolling",,"Orthopaedic Trauma",,"Zone 3","St. Martha's Regional","2025","2","6","25","5","30"
"2024_q4",,"Hernia Repair - Incisional",,"Zone 2","Colchester East Hants Health Centre","2024","4",,,"128","268"
"12month_rolling","General Surgery","Hernia Repair  (Adult)","Nader, Nabil",,,,,"42","205","61","110"
"3month_rolling",,"Kidney Removal",,"Zone 2","Colchester East Hants Health Centre","2025","2",,,"57","74"
"12month_rolling","Obstetrics/Gynaecology","All","Lee, Winifred W",,,,,"118","288","132","187"
"2024_q4",,"Spinal Cord Stimulation Surgery",,"Zone 4","QE2","2024","4",,,"63","261"
"2024_q4",,"Lacrimal Duct Probing",,"Total","Provincial","2024","4","22","406","79","228"
"2023_q2",,"Hernia Repair  (Adult)",,"Zone 3","Cape Breton Regional","2023","2","45","317","140","406"
"2024_q4",,"Kidney Stone Surgery",,"Zone 1","Valley Regional","2024","4",,,"50","192"
"3month_rolling",,"Coronary Artery Bypass Graft",,"Total","Provincial","2025","2",,,"47","85"
"2025_q1",,"Back Surgery  (Pediatric)",,"Total","Provincial","2025","1",,,"310","589"
"3month_rolling",,"Knee Replacement Revision",,"Zone 4","QE2","2025","2",,,"112","416"
"2023_q2",,"Nissen Fundoplication - Laparoscopic",,"Zone 4","QE2","2023","2","56","119","154","483"
"2024_q2",,"Bowel Resection - Laparoscopic",,"Total","Provincial","2024","2","18","91","33","90"
"2024_q1",,"Cystoscopy",,"Zone 4","QE2","2024","1","34","112","51","253"
"2024_q4",,"Head and Neck Surgery",,"Zone 4","Dartmouth General","2024","4","20","39","97","140"
