section,rank,measure,zone,facility,procedure,period,year_quarter_index,value,surgery_rows,surgery_breaches,surgery_breach_pct,consult_rows,consult_breaches,consult_breach_pct,qoq_surgery_breach_pct,meets_min_rows,surgery_median,surgery_90th,surgery_tail_gap,consult_median,consult_90th,consult_tail_gap
constants,1,surgery_target_days,"","","","",,182,,,,,,,,,,,,,,
constants,2,consult_target_days,"","","","",,90,,,,,,,,,,,,,,
constants,3,min_measured_rows,"","","","",,9,,,,,,,,,,,,,,
constants,4,worst_lines_shown,"","","","",,25,,,,,,,,,,,,,,
coverage,1,snapshot_rows,"","","","",,6575,,,,,,,,,,,,,,
coverage,2,quarterly_period_rows,"","","","",,4014,,,,,,,,,,,,,,
coverage,3,facility_lines_analysed,"","","","",,2853,,,,,,,,,,,,,,
coverage,4,distinct_zones,"","","","",,5,,,,,,,,,,,,,,
coverage,5,distinct_facilities,"","","","",,16,,,,,,,,,,,,,,
coverage,6,distinct_procedures,"","","","",,111,,,,,,,,,,,,,,
coverage,7,distinct_quarters,"","","","",,9,,,,,,,,,,,,,,
coverage,8,first_period,"","","",2023_q2,8094,,,,,,,,,,,,,,,
coverage,9,last_period,"","","",2025_q2,8102,,,,,,,,,,,,,,,
exclusions,1,rolling_window_rows_excluded,"","","","",,2561,,,,,,,,,,,,,,
exclusions,2,provincial_rollup_rows_excluded,"","","","",,1161,,,,,,,,,,,,,,
exclusions,3,facility_rows_kept,"","","","",,2853,,,,,,,,,,,,,,
exclusions,4,row_class_reconciliation_gap,"","","","",,0,,,,,,,,,,,,,,
exclusions,5,rollup_marker_mismatches,"","","","",,0,,,,,,,,,,,,,,
exclusions,6,facility_lines_no_surgery_median,"","","","",,124,,,,,,,,,,,,,,
exclusions,7,facility_lines_no_consult_median,"","","","",,669,,,,,,,,,,,,,,
exclusions,8,snapshot_rows_blank_specialty,"","","","",,4738,,,,,,,,,,,,,,
exclusions,9,snapshot_rows_blank_provider,"","","","",,4764,,,,,,,,,,,,,,
exclusions,10,facility_lines_blank_specialty,"","","","",,2853,,,,,,,,,,,,,,
exclusions,11,facility_lines_blank_provider,"","","","",,2853,,,,,,,,,,,,,,
exclusions,12,facilities_below_min_measured_rows,"","","","",,1,,,,,,,,,,,,,,
exclusions,13,procedures_below_min_measured_rows,"","","","",,10,,,,,,,,,,,,,,
breach_summary,1,surgery_median_vs_target,"","","","",,182,2729,276,10.11,,,,,,,,,,,
breach_summary,2,consult_median_vs_target,"","","","",,90,,,,2184,671,30.72,,,,,,,,
breach_summary,3,surgery_tail_gap_days_median,"","","","",,92,,,,,,,,,,,,,,
breach_summary,4,surgery_tail_gap_days_max,"","","","",,1323,,,,,,,,,,,,,,
breach_summary,5,consult_tail_gap_days_median,"","","","",,113,,,,,,,,,,,,,,
breach_summary,6,consult_tail_gap_days_max,"","","","",,2130,,,,,,,,,,,,,,
worst_facilities,1,"",IWK,IWK,Dental Extractions and Restorations (Adult),2024_q2,8098,196,196,56,28.57,87,48,55.17,,1,560,1301,741,,,
worst_facilities,2,"",Zone 1,Valley Regional,Hip Replacement,2023_q2,8094,285,281,49,17.44,235,87,37.02,,1,487,664,177,152,400,248
worst_facilities,3,"",Zone 3,Cape Breton Regional,Removal of Ovaries and/or Fallopian Tubes (Cancer Not Suspected),2023_q4,8096,279,268,33,12.31,232,53,22.84,,1,446,484,38,48,107,59
worst_facilities,4,"",Zone 3,St. Martha's Regional,Hernia Repair - Laparoscopic Inguinal Femoral,2025_q1,8101,169,143,15,10.49,132,45,34.09,,1,275,573,298,34,240,206
worst_facilities,5,"",Zone 4,QE2,Surgery for Hearing or Balance Problems of the Ear,2023_q3,8095,789,769,76,9.88,645,177,27.44,,1,503,1093,590,149,392,243
worst_facilities,6,"",Zone 2,Colchester East Hants Health Centre,Male Reproductive System Surgery,2024_q1,8097,151,134,13,9.70,125,36,28.80,,1,385,629,244,169,593,424
worst_facilities,7,"",Zone 4,Dartmouth General,Knee Replacement Revision,2023_q2,8094,287,278,22,7.91,234,66,28.21,,1,299,337,38,,,
worst_facilities,8,"",Zone 1,South Shore Regional,Cataract Surgery,2023_q2,8094,189,188,6,3.19,150,39,26.00,,1,295,389,94,113,140,27
worst_facilities,9,"",Zone 4,Hants Community Hospital,Hernia Repair (Adult),2024_q1,8097,79,78,2,2.56,61,32,52.46,,1,200,363,163,178,433,255
worst_facilities,10,"",Zone 2,Aberdeen Hospital,Shoulder Arthroscopy,2025_q2,8102,141,123,1,0.81,113,42,37.17,,1,214,337,123,72,246,174
