objectid,area_name,designation,authority,owner,status,hectares,designation_year,record_rank
752,Tobeatic Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,103645.77,,1
35,Cape Breton Highlands National Park Of Canada,National Park,Parks Canada Agency. Environment and Climate Change Canada,Parks Canada Agency. Environment and Climate Change Canada,Designated,95130.79,,2
48,Kejimkujik National Park And National Historic Site Of Canada,National Park,Parks Canada Agency. Environment and Climate Change Canada,Parks Canada Agency. Environment and Climate Change Canada,Designated,38121.34,,3
77,Polletts Cove - Aspy Fault Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,27226.66,,4
664,Kelley River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,20925.38,,5
499,Medway Lakes Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,19583.00,,6
111,Tidney River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,17790.07,,7
158,French River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,16417.99,,8
92,Tangier Grand Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,16029.86,,9
12,Tobeatic Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,15672.94,,10
89,Ship Harbour Long Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,14807.84,,11
162,Cloud Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,10823.02,,12
150,Bonnet Lake Barrens Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,10366.99,,13
174,Five Bridge Lakes Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,8625.92,,14
119,Waverley - Salmon River Long Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,8620.97,,15
152,Canso Coastal Barrens Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,8012.97,,16
182,French River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,7096.63,,17
536,South Panuke Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,6842.52,,18
63,Margaree River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,6831.53,,19
57,Toadfish Lakes Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,6319.97,,20
172,Economy River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,6040.70,,21
66,Middle River Framboise Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,5636.55,,22
67,Middle River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,5617.72,,23
750,Economy River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,5495.31,,24
76,Ogden Round Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,5469.08,,25
82,Silver River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,5293.91,,26
79,Raven Head Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,5257.14,,27
39,Cloud Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,4892.63,,28
495,Fourchu Coast Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,4810.55,,29
121,White Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,4533.32,,30
100,Terence Bay Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,4429.28,,31
137,Cape Chignecto Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,4232.76,,32
138,Eigg Mountain - James River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,4131.73,,33
3,Lake Rossignol Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,4072.70,,34
662,Bowers Meadows Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,4014.28,,35
74,North River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,3986.93,,36
1096,Island Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,3916.73,,37
184,Gully Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,3815.95,,38
183,Gabarus Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,3749.26,,39
149,Boggy Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,3708.45,,40
177,Humes River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,3625.20,,41
103,Dunraven Bog Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,3464.26,,42
498,Liscomb River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,3357.24,,43
507,St. Marys River Provincial Park,Provincial Park,NS Department of Natural Resources and Renewables,NS Department of Natural Resources and Renewables,Designated,3213.99,,44
50,Sable Island National Park Reserve Of Canada/Sable Island Bird Sanctuary,"National Park, Migratory Bird Sanctuary",Parks Canada Agency. Environment and Climate Change Canada,Parks Canada Agency. Environment and Climate Change Canada,Designated,3102.18,,45
1104,Guysborough Headlands Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,3012.55,,46
176,The Stillwaters Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2969.24,,47
6,Liscomb River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2962.41,,48
113,Trout Brook Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2861.14,,49
613,Chignecto Isthmus Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2784.99,,50
154,Baddeck River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2778.24,,51
68,Kluscap Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2776.89,,52
110,The Big Bog Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2707.51,,53
784,Pu'tlaqne'katik,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2641.78,,54
112,Tidney River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2613.56,,55
595,Tracadie River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2525.83,,56
192,Tidney River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2306.66,,57
88,Shelburne River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2266.82,,58
661,Walton River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2245.79,,59
129,Eigg Mountain - James River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2176.47,,60
702,Kejimkujik National Park And National Historic Site Of Canada,National Park,Parks Canada Agency. Environment and Climate Change Canada,Parks Canada Agency. Environment and Climate Change Canada,Designated,2158.90,,61
80,Margaree River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2139.52,,62
1101,Big Plains Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designation decision made,2118.25,,63
78,Portapique River Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,2060.34,,64
126,Scrag Lake Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1960.41,,65
665,Wentworth Valley Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1954.23,,66
93,Devils Jaw Wilderness Area,Wilderness Area,NS Environment and Climate Change,NS Environment and Climate Change,Designated,1940.41,,67
