"objectid","pro_name","protect1","protect2","owner","authority","status","stat_date","lgl_effect","ha_gis","shape_leng","shape_area"
"1","Atlantic Coastal Plain Flora Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"64.80942548","4169.582519459696","648094.2547506999"
"2","Jim Campbells Barren Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1735.91125021","20252.35967141608","17359112.502079733"
"3","Lake Rossignol Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"4072.69617855","102219.53325712448","40726961.785540365"
"4","Lake Rossignol Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"45.32410132","3874.6057138724536","453241.0132261454"
"5","Lake Rossignol Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"230.84988938","13799.599500794335","2308498.8938074587"
"6","Liscomb River Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"2962.41346012","29169.359651045204","29624134.60120398"
"7","Masons Mountain Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"830.76334213","11750.60441998934","8307633.421317041"
"8","Montrose Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"25.54494372","2675.3450686997344","255449.437224283"
"9","Petite Bog Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"798.79778535","15489.512906751623","7987977.853461229"
"10","Ruiss Noir Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"1602.49781298","27296.26032941707","16024978.12978391"
"11","Rush Lake Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"307.06819273","12471.058544542659","3070681.9272974306"
"12","Tobeatic Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"15672.94158784","358649.6341320601","156729415.87840602"
"13","Trout Brook Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"185.90411598","12567.74677685848","1859041.1598071181"
"14","Tusket Islands Wilderness Area","Wilderness Area",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"706.23941167","63758.840447442606","7062394.116678203"
"15","Frederick Lake Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"61.26100893","4251.405707157992","612610.0892949114"
