section,rank,measure,designation,authority,owner,status,area_name,records,hectares,share_pct,cumulative_hectares,cumulative_share_pct
summary,1,total_protected_hectares,,,,,,,743084.11,100.00,,
summary,2,protected_area_records,,,,,,1161,,,,
summary,3,distinct_area_names,,,,,,436,,,,
summary,4,designation_types,,,,,,13,,,,
summary,5,authorities,,,,,,25,,,,
summary,6,land_owners,,,,,,19,,,,
summary,7,provincial_land_area_hectares,,,,,,,5333800.00,,,
summary,8,share_of_provincial_land_pct,,,,,,,,13.93,,
summary,9,largest_record_hectares,Wilderness Area,,,,Tobeatic Wilderness Area,,103645.77,13.95,,
summary,10,top_10_records_hectares,,,,,,10,370543.80,49.87,,
summary,11,records_for_half_of_hectares,,,,,,11,,,,
summary,12,records_for_ninety_pct_of_hectares,,,,,,103,,,,
summary,13,legally_designated_hectares,,,,Designated,,326,698294.34,93.97,,
coverage,1,snapshot_records,,,,,,1161,,,,
coverage,2,records_loaded,,,,,,1161,,,,
coverage,3,records_dropped_in_cleaning,,,,,,0,,,,
coverage,4,records_zero_or_negative_hectares,,,,,,0,,,,
coverage,5,distinct_area_names,,,,,,436,,,,
coverage,6,records_sharing_an_area_name,,,,,,914,,,,
coverage,7,authority_labels_rewritten,,,,,,55,,,,
coverage,8,owner_labels_rewritten,,,,,,0,,,,
coverage,9,records_missing_designation_year,,,,,,1161,743084.11,,,
coverage,10,records_in_year_series,,,,,,0,0.00,,,
coverage,11,unrounded_total_hectares,,,,,,,743084.05,,,
coverage,12,record_rounding_difference_hectares,,,,,,,0.06,,,
totals_tie,1,sum_by_designation,,,,,,1161,743084.11,100.00,,
totals_tie,2,sum_by_authority,,,,,,1161,743084.11,100.00,,
totals_tie,3,sum_by_owner,,,,,,1161,743084.11,100.00,,
totals_tie,4,sum_by_status,,,,,,1161,743084.11,100.00,,
totals_tie,5,last_row_of_concentration_curve,,,,,,1161,743084.11,100.00,,
by_designation,1,,Wilderness Area,,,,,163,528920.74,71.18,,
by_designation,2,,National Park,,,,,6,135547.97,18.24,,
by_designation,3,,Nature Reserve,,,,,137,27935.83,3.76,,
by_designation,4,,Land Trust or Conservation Easement,,,,,794,22241.80,2.99,,
by_designation,5,,Provincial Park,,,,,24,19364.36,2.61,,
by_designation,6,,"National Park, Migratory Bird Sanctuary",,,,,1,3102.18,0.42,,
by_designation,7,,National Wildlife Area,,,,,9,1966.52,0.26,,
by_designation,8,,"Wilderness Area, Conservation Easement",,,,,7,1647.96,0.22,,
by_designation,9,,"Wilderness Area, Land Trust",,,,,6,1147.03,0.15,,
by_designation,10,,"Nature Reserve, Land Trust",,,,,7,515.38,0.07,,
by_designation,11,,"National Wildlife Area, Migratory Bird Sanctuary",,,,,1,408.56,0.05,,
by_designation,12,,"Nature Reserve, Conservation Easement",,,,,3,160.63,0.02,,
by_designation,13,,"Nature Reserve, Wilderness Area",,,,,3,125.15,0.02,,
by_authority,1,,,NS Environment and Climate Change,,,,282,554512.05,74.62,,
by_authority,2,,,Parks Canada Agency. Environment and Climate Change Canada,,,,7,138650.15,18.66,,
by_authority,3,,,NS Department of Natural Resources and Renewables,,,,24,19364.36,2.61,,
by_authority,4,,,Nature Conservancy of Canada,,,,341,11264.38,1.52,,
by_authority,5,,,Nova Scotia Nature Trust,,,,289,7019.46,0.94,,
by_authority,6,,,"NS Environment and Climate Change, Nature Conservancy of Canada",,,,12,2748.51,0.37,,
by_authority,7,,,Canadian Wildlife Service. Environment and Climate Change Canada,,,,10,2375.08,0.32,,
by_authority,8,,,Ducks Unlimited Canada,,,,71,1422.98,0.19,,
by_authority,9,,,"NS Environment and Climate Change, Town of Antigonish",,,,2,1335.09,0.18,,
by_authority,10,,,"NS Department of Natural Resources and Renewables, Nature Conservancy of Canada",,,,2,1149.64,0.15,,
by_authority,11,,,Nova Scotia Nature Trust and private owner(s),,,,42,983.81,0.13,,
by_authority,12,,,"NS Environment and Climate Change, Town of Amherst",,,,1,963.27,0.13,,
by_authority,13,,,"NS Environment and Climate Change, private owner(s)",,,,22,358.54,0.05,,
by_authority,14,,,Nova Scotia Nature Trust and Town of Wolfville,,,,1,237.95,0.03,,
by_authority,15,,,"NS Environment and Climate Change, Nova Scotia Power Inc.",,,,1,205.26,0.03,,
by_authority,16,,,"NS Environment and Climate Change, NS Department of Natural Resources and Renewables",,,,1,202.20,0.03,,
by_authority,17,,,"NS Environment and Climate Change, Nova Scotia Nature Trust",,,,3,98.53,0.01,,
by_authority,18,,,Kingsburg Coastal Conservancy,,,,41,81.97,0.01,,
by_authority,19,,,Bras d'Or Preservation Nature Trust and private owner(s),,,,2,38.63,0.01,,
by_authority,20,,,"NS Environment and Climate Change, Bras d'Or Preservation Nature Trust",,,,1,26.48,0.00,,
by_authority,21,,,Bras d'Or Preservation Nature Trust,,,,2,18.06,0.00,,
by_authority,22,,,Nature Conservancy of Canada and Seagull Foundation,,,,1,12.77,0.00,,
by_authority,23,,,Tusket River Environmental Protection Association,,,,1,11.79,0.00,,
by_authority,24,,,"NS Environment and Climate Change, NS Department of Natural Resources and Renewables, Nature Conservancy of Canada",,,,1,2.79,0.00,,
by_authority,25,,,Nature Conservancy of Canada and private owners,,,,1,0.36,0.00,,
by_owner,1,,,,NS Environment and Climate Change,,,287,555928.15,74.81,,
by_owner,2,,,,Parks Canada Agency. Environment and Climate Change Canada,,,7,138650.15,18.66,,
by_owner,3,,,,NS Department of Natural Resources and Renewables,,,26,20514.00,2.76,,
by_owner,4,,,,Nature Conservancy of Canada,,,352,12832.72,1.73,,
by_owner,5,,,,Nova Scotia Nature Trust,,,288,6931.03,0.93,,
by_owner,6,,,,Canadian Wildlife Service. Environment and Climate Change Canada,,,10,2375.08,0.32,,
by_owner,7,,,,Ducks Unlimited Canada,,,71,1422.98,0.19,,
by_owner,8,,,,Private owner(s),,,65,1375.75,0.19,,
by_owner,9,,,,Town of Antigonish,,,2,1335.09,0.18,,
by_owner,10,,,,Town of Amherst,,,1,963.27,0.13,,
by_owner,11,,,,Town of Wolfville,,,1,237.95,0.03,,
by_owner,12,,,,Nova Scotia Power Inc.,,,1,205.26,0.03,,
by_owner,13,,,,Acadia University,,,2,156.02,0.02,,
by_owner,14,,,,Kingsburg Coastal Conservancy,,,41,81.97,0.01,,
by_owner,15,,,,Bras d'Or Preservation Nature Trust,,,3,44.54,0.01,,
by_owner,16,,,,Seagull Foundation,,,1,12.77,0.00,,
by_owner,17,,,,Tusket River Environmental Protection Association,,,1,11.79,0.00,,
