site_id,reading_date,cadence_seconds,readings_actual,readings_expected,slots_covered,surplus_readings,uptime_pct,gap_count,frozen_run_count,out_of_range_count,missing_air_temperature,missing_relative_humidity,missing_avg_wind_speed,missing_values,station_completeness_rank,station_uptime_pct,station_readings_actual,station_readings_expected,station_gap_count,station_frozen_run_count,station_out_of_range_count,station_missing_values,station_days_with_no_readings,station_flag,station_flag_reasons
RNSAM,2024-01-01,240,360,360,360,0,100.00,0,0,0,60,1,2,63,30,99.50,5043,5040,0,0,0,805,0,ok,""
RNSAM,2024-01-02,240,358,360,354,4,98.33,0,0,0,56,2,1,59,30,99.50,5043,5040,0,0,0,805,0,ok,""
RNSAM,2024-01-03,240,363,360,358,5,99.44,0,0,0,56,2,2,60,30,99.50,5043,5040,0,0,0,805,0,ok,""
RNSAM,2024-01-04,240,362,360,358,4,99.44,0,0,0,60,0,2,62,30,99.50,5043,5040,0,0,0,805,0,ok,""
RNSAM,2024-01-05,240,361,360,360,1,100.00,0,0,0,52,0,3,55,30,99.50,5043,5040,0,0,0,805,0,ok,""
RNSAM,2024-01-06,240,358,360,356,2,98.89,0,0,0,57,0,0,57,30,99.50,5043,5040,0,0,0,805,0,ok,""
RNSAM,2024-01-07,240,357,360,357,0,99.17,0,0,0,56,2,0,58,30,99.50,5043,5040,0,0,0,805,0,ok,""
RNSAM,2024-01-08,240,360,360,359,1,99.72,0,0,0,55,1,0,56,30,99.50,5043,5040,0,0,0,805,0,ok,""
RNSAM,2024-01-09,240,361,360,360,1,100.00,0,0,0,52,1,0,53,30,99.50,5043,5040,0,0,0,805,0,ok,""
RNSAM,2024-01-10,240,358,360,358,0,99.44,0,0,0,57,1,1,59,30,99.50,5043,5040,0,0,0,805,0,ok,""
RNSAM,2024-01-11,240,362,360,358,4,99.44,0,0,0,59,2,0,61,30,99.50,5043,5040,0,0,0,805,0,ok,""
RNSAM,2024-01-12,240,361,360,358,3,99.44,0,0,0,50,1,1,52,30,99.50,5043,5040,0,0,0,805,0,ok,""
RNSAM,2024-01-13,240,362,360,360,2,100.00,0,0,0,52,2,0,54,30,99.50,5043,5040,0,0,0,805,0,ok,""
RNSAM,2024-01-14,240,360,360,359,1,99.72,0,0,0,54,2,0,56,30,99.50,5043,5040,0,0,0,805,0,ok,""
RNSBD,2024-01-01,240,359,360,359,0,99.72,0,0,0,2,2,2,6,33,99.54,5017,5040,0,0,0,110,0,ok,""
RNSBD,2024-01-02,240,360,360,360,0,100.00,0,0,0,1,2,1,4,33,99.54,5017,5040,0,0,0,110,0,ok,""
RNSBD,2024-01-03,240,358,360,358,0,99.44,0,0,0,1,1,2,4,33,99.54,5017,5040,0,0,0,110,0,ok,""
RNSBD,2024-01-04,240,354,360,354,0,98.33,0,0,0,5,5,5,15,33,99.54,5017,5040,0,0,0,110,0,ok,""
RNSBD,2024-01-05,240,359,360,359,0,99.72,0,0,0,6,6,7,19,33,99.54,5017,5040,0,0,0,110,0,ok,""
RNSBD,2024-01-06,240,359,360,359,0,99.72,0,0,0,2,2,2,6,33,99.54,5017,5040,0,0,0,110,0,ok,""
RNSBD,2024-01-07,240,355,360,355,0,98.61,0,0,0,2,2,3,7,33,99.54,5017,5040,0,0,0,110,0,ok,""
RNSBD,2024-01-08,240,360,360,360,0,100.00,0,0,0,2,2,2,6,33,99.54,5017,5040,0,0,0,110,0,ok,""
RNSBD,2024-01-09,240,357,360,357,0,99.17,0,0,0,4,4,4,12,33,99.54,5017,5040,0,0,0,110,0,ok,""
RNSBD,2024-01-10,240,359,360,359,0,99.72,0,0,0,1,1,2,4,33,99.54,5017,5040,0,0,0,110,0,ok,""
