"site_id","datetimeutc","air_temperature","relative_humidity","avg_wind_speed"
"RNSAM","2024-01-01T00:01:00.000","-2.2","87.0","4.6"
"RNSAM","2024-01-01T00:05:00.000","-2.2","87.0","3.4"
"RNSAM","2024-01-01T00:09:00.000",,"88.0","3.2"
"RNSAM","2024-01-01T00:13:00.000","-2.2","88.0","3.7"
"RNSAM","2024-01-01T00:17:00.000","-2.3","88.0","4.5"
"RNSAM","2024-01-01T00:21:00.000","-2.4","87.0","4.9"
"RNSAM","2024-01-01T00:25:00.000",,"87.0","3.9"
"RNSAM","2024-01-01T00:29:00.000","-2.5","88.0","4.5"
"RNSAM","2024-01-01T00:33:00.000","-2.6","88.0","3.9"
"RNSAM","2024-01-01T00:37:00.000","-2.6","87.0","4.8"
"RNSAM","2024-01-01T00:41:00.000",,"87.0","4.1"
"RNSAM","2024-01-01T00:45:00.000","-2.7","88.0","4.1"
"RNSAM","2024-01-01T00:49:00.000","-2.8","88.0","4.5"
"RNSAM","2024-01-01T00:53:00.000",,"88.0","4.5"
"RNSAM","2024-01-01T00:57:00.000",,"88.0","4.2"
"RNSAM","2024-01-01T01:01:00.000","-3.0","88.0","4.4"
"RNSAM","2024-01-01T01:05:00.000","-3.0","88.0","4.0"
"RNSAM","2024-01-01T01:09:00.000",,"89.0","4.4"
"RNSAM","2024-01-01T01:13:00.000","-3.0","89.0","4.3"
"RNSAM","2024-01-01T01:17:00.000","-3.1","89.0","6.2"
"RNSAM","2024-01-01T01:21:00.000","-3.0","88.0","4.5"
"RNSAM","2024-01-01T01:25:00.000","-3.1","88.0","4.4"
"RNSAM","2024-01-01T01:29:00.000","-3.1","88.0","5.0"
"RNSAM","2024-01-01T01:33:00.000","-3.1","88.0","4.8"
"RNSAM","2024-01-01T01:37:00.000","-3.1","87.0","4.4"
"RNSAM","2024-01-01T01:41:00.000","-3.1","87.0","4.9"
"RNSAM","2024-01-01T01:45:00.000","-3.1","87.0","4.9"
"RNSAM","2024-01-01T01:49:00.000","-3.2","87.0","4.7"
"RNSAM","2024-01-01T01:53:00.000","-3.2","87.0","4.6"
"RNSAM","2024-01-01T01:57:00.000","-3.2","88.0","4.1"
"RNSAM","2024-01-01T02:01:00.000","-3.3","87.0","4.7"
"RNSAM","2024-01-01T02:05:00.000","-3.3","88.0","4.7"
"RNSAM","2024-01-01T02:09:00.000","-3.3","88.0","3.9"
"RNSAM","2024-01-01T02:13:00.000",,"88.0","3.9"
"RNSAM","2024-01-01T02:17:00.000","-3.4","88.0","4.6"
"RNSAM","2024-01-01T02:21:00.000","-3.4","88.0","4.1"
"RNSAM","2024-01-01T02:25:00.000","-3.4","88.0","3.7"
"RNSAM","2024-01-01T02:29:00.000",,"88.0","4.1"
"RNSAM","2024-01-01T02:33:00.000","-3.5","88.0","4.4"
"RNSAM","2024-01-01T02:37:00.000","-3.5","88.0","4.0"
"RNSAM","2024-01-01T02:41:00.000","-3.5","88.0","4.1"
"RNSAM","2024-01-01T02:45:00.000",,"88.0","3.7"
"RNSAM","2024-01-01T02:49:00.000","-3.6","88.0","3.0"
"RNSAM","2024-01-01T02:53:00.000","-3.6","88.0","4.6"
"RNSAM","2024-01-01T02:57:00.000","-3.6","88.0","3.6"
"RNSAM","2024-01-01T03:01:00.000",,"88.0","3.9"
"RNSAM","2024-01-01T03:05:00.000","-3.6","88.0","3.6"
"RNSAM","2024-01-01T03:09:00.000","-3.6","88.0","3.8"
"RNSAM","2024-01-01T03:13:00.000","-3.6","88.0",
"RNSAM","2024-01-01T03:17:00.000",,"88.0","3.7"
"RNSAM","2024-01-01T03:21:00.000","-3.7","88.0","3.7"
"RNSAM","2024-01-01T03:25:00.000","-3.7","88.0","4.5"
"RNSAM","2024-01-01T03:29:00.000",,"88.0","3.5"
"RNSAM","2024-01-01T03:33:00.000","-3.7","89.0","3.8"
"RNSAM","2024-01-01T03:37:00.000","-3.8","88.0","4.4"
"RNSAM","2024-01-01T03:41:00.000","-3.8","89.0","3.9"
"RNSAM","2024-01-01T03:45:00.000",,"88.0","4.7"
"RNSAM","2024-01-01T03:48:00.000",,"88.0","4.8"
"RNSAM","2024-01-01T03:53:00.000","-3.8","88.0","4.1"
"RNSAM","2024-01-01T03:57:00.000","-3.9","88.0","4.7"
"RNSAM","2024-01-01T04:01:00.000","-3.9","88.0","4.3"
"RNSAM","2024-01-01T04:05:00.000","-3.9","88.0","5.5"
"RNSAM","2024-01-01T04:09:00.000","-3.9","88.0","4.9"
"RNSAM","2024-01-01T04:13:00.000","-4.0","87.0","5.2"
"RNSAM","2024-01-01T04:17:00.000","-3.9","87.0","4.1"
"RNSAM","2024-01-01T04:21:00.000","-4.0","88.0","3.7"
