section,rank,site_id,reading_date,measure,detail,cadence_seconds,seconds,readings_actual,slots_covered,readings_expected,uptime_pct,share_pct,gap_count,frozen_run_count,out_of_range_count,missing_values
headline,1,RNSKM,,worst_station_by_completeness,lowest slot coverage over the audited window,240,,3018,3013,5040,59.78,,4,0,0,23
headline,2,,,stations_flagged,stations failing at least one audit rule,,,,21,46,,,,,,
headline,3,,,window_slot_coverage,"every station, every day, slots covered against slots expected",,,234835,233712,238896,97.83,,,,,
constants,1,,,WINDOW_START,2024-01-01 (inclusive UTC date),,,,,,,,,,,
constants,2,,,WINDOW_END_EXCL,2024-01-15 (exclusive UTC date),,,,,,,,,,,
constants,3,,,GAP_K,3 x station cadence marks a gap,,,,,,,,,,,
constants,4,,,FROZEN_RUN_MIN_READINGS,30 identical air temperatures in a row,,,,,,,,,,,
constants,5,,,MIN_INTERVALS_FOR_MODE,30 intervals needed before a station sets its own cadence,,,,,,,,,,,
constants,6,,,UPTIME_FLAG_PCT,"99.00 percent slot coverage, below this the station is flagged",,,,,,,,,,,
constants,7,,,AIR_TEMP_MIN_C,-50.00 degrees Celsius,,,,,,,,,,,
constants,8,,,AIR_TEMP_MAX_C,45.00 degrees Celsius,,,,,,,,,,,
constants,9,,,RH_MIN_PCT,1.00 percent relative humidity,,,,,,,,,,,
constants,10,,,RH_MAX_PCT,100.00 percent relative humidity,,,,,,,,,,,
constants,11,,,WIND_MIN,0.00 in the published wind unit,,,,,,,,,,,
constants,12,,,WIND_MAX,200.00 in the published wind unit,,,,,,,,,,,
window,1,,,window_days,14,,,,,,,,,,,
window,2,,,window_seconds,1209600,,,,,,,,,,,
window,3,,,stations,46,,,,,,,,,,,
window,4,,,station_days,644,,,,,,,,,,,
window,5,,,snapshot_rows,234835,,,,,,,,,,,
window,6,,,rows_unparseable_timestamp,0,,,,,,,,,,,
window,7,,,rows_outside_window,0,,,,,,,,,,,
window,8,,,readings_kept,234835,,,,,,,,,,,
window,9,,,unparseable_air_temperature,0,,,,,,,,,,,
window,10,,,unparseable_relative_humidity,0,,,,,,,,,,,
window,11,,,unparseable_avg_wind_speed,0,,,,,,,,,,,
coverage_tie,1,,,snapshot_rows_minus_exclusions,snapshot rows less unparseable timestamps and rows outside the window,,,234835,,,,,,,,
coverage_tie,2,,,sum_readings_actual_station_days,readings summed over every station-day in the mart,,,234835,,,,,,,,
coverage_tie,3,,,sum_readings_actual_scorecard,readings summed over the station scorecard,,,234835,,,,,,,,
station_cadence,1,RNSAM,,modal_interval,"derived, 4945 of 5042 measured intervals",240,240,,,360,,98.08,,,,
station_cadence,2,RNSBD,,modal_interval,"derived, 4995 of 5016 measured intervals",240,240,,,360,,99.58,,,,
station_cadence,3,RNSBL,,modal_interval,"derived, 4960 of 4999 measured intervals",240,240,,,360,,99.22,,,,
station_cadence,4,RNSBU,,modal_interval,"derived, 4983 of 5011 measured intervals",240,240,,,360,,99.44,,,,
station_cadence,5,RNSBV,,modal_interval,"derived, 4963 of 5001 measured intervals",240,240,,,360,,99.24,,,,
station_cadence,6,RNSBW,,modal_interval,"derived, 5009 of 5024 measured intervals",240,240,,,360,,99.70,,,,
station_cadence,7,RNSCA,,modal_interval,"derived, 9776 of 9922 measured intervals",120,120,,,720,,98.53,,,,
station_cadence,8,RNSCB,,modal_interval,"derived, 4668 of 5311 measured intervals",240,240,,,360,,87.89,,,,
station_cadence,9,RNSCH,,modal_interval,"derived, 5007 of 5023 measured intervals",240,240,,,360,,99.68,,,,
station_cadence,10,RNSCHB,,modal_interval,"derived, 4951 of 5022 measured intervals",240,240,,,360,,98.59,,,,
station_cadence,11,RNSCO,,modal_interval,"derived, 4996 of 5022 measured intervals",240,240,,,360,,99.48,,,,
station_cadence,12,RNSCP,,modal_interval,"derived, 4978 of 5031 measured intervals",240,240,,,360,,98.95,,,,
station_cadence,13,RNSEB,,modal_interval,"derived, 4708 of 5052 measured intervals",240,240,,,360,,93.19,,,,
station_cadence,14,RNSGV,,modal_interval,"derived, 4487 of 4892 measured intervals",240,240,,,360,,91.72,,,,
station_cadence,15,RNSIC,,modal_interval,"derived, 4816 of 4927 measured intervals",240,240,,,360,,97.75,,,,
station_cadence,16,RNSKE,,modal_interval,"derived, 4993 of 5023 measured intervals",240,240,,,360,,99.40,,,,
station_cadence,17,RNSKI,,modal_interval,"derived, 4986 of 5013 measured intervals",240,240,,,360,,99.46,,,,
station_cadence,18,RNSKM,,modal_interval,"derived, 2991 of 3017 measured intervals",240,240,,,360,,99.14,,,,
station_cadence,19,RNSLC,,modal_interval,"derived, 5004 of 5023 measured intervals",240,240,,,360,,99.62,,,,
station_cadence,20,RNSLE,,modal_interval,"derived, 4952 of 4998 measured intervals",240,240,,,360,,99.08,,,,
station_cadence,21,RNSLI,,modal_interval,"derived, 4999 of 5020 measured intervals",240,240,,,360,,99.58,,,,
station_cadence,22,RNSLQ,,modal_interval,"derived, 4960 of 4999 measured intervals",240,240,,,360,,99.22,,,,
station_cadence,23,RNSLV,,modal_interval,"derived, 4838 of 4858 measured intervals",240,240,,,360,,99.59,,,,
station_cadence,24,RNSMA,,modal_interval,"derived, 4620 of 4657 measured intervals",240,240,,,360,,99.21,,,,
station_cadence,25,RNSME,,modal_interval,"derived, 4970 of 4991 measured intervals",240,240,,,360,,99.58,,,,
station_cadence,26,RNSMF,,modal_interval,"derived, 4964 of 5001 measured intervals",240,240,,,360,,99.26,,,,
station_cadence,27,RNSMH,,modal_interval,"derived, 4973 of 5007 measured intervals",240,240,,,360,,99.32,,,,
station_cadence,28,RNSMO,,modal_interval,"derived, 4991 of 5017 measured intervals",240,240,,,360,,99.48,,,,
station_cadence,29,RNSMT,,modal_interval,"derived, 4959 of 4991 measured intervals",240,240,,,360,,99.36,,,,
station_cadence,30,RNSMW,,modal_interval,"derived, 4913 of 4996 measured intervals",240,240,,,360,,98.34,,,,
station_cadence,31,RNSNS,,modal_interval,"derived, 4998 of 5019 measured intervals",240,240,,,360,,99.58,,,,
station_cadence,32,RNSON,,modal_interval,"derived, 4986 of 5020 measured intervals",240,240,,,360,,99.32,,,,
station_cadence,33,RNSPB,,modal_interval,"derived, 4963 of 5001 measured intervals",240,240,,,360,,99.24,,,,
station_cadence,34,RNSPC,,modal_interval,"derived, 4988 of 5014 measured intervals",240,240,,,360,,99.48,,,,
station_cadence,35,RNSPG,,modal_interval,"derived, 4982 of 5010 measured intervals",240,240,,,360,,99.44,,,,
station_cadence,36,RNSPU,,modal_interval,"derived, 4974 of 5010 measured intervals",240,240,,,360,,99.28,,,,
station_cadence,37,RNSRB,,modal_interval,"derived, 5000 of 5020 measured intervals",240,240,,,360,,99.60,,,,
station_cadence,38,RNSSI,,modal_interval,"derived, 9893 of 9983 measured intervals",120,120,,,720,,99.10,,,,
station_cadence,39,RNSSP,,modal_interval,"derived, 5003 of 5021 measured intervals",240,240,,,360,,99.64,,,,
station_cadence,40,RNSTN,,modal_interval,"derived, 4981 of 5011 measured intervals",240,240,,,360,,99.40,,,,
station_cadence,41,RNSTR,,modal_interval,"derived, 4656 of 4851 measured intervals",240,240,,,360,,95.98,,,,
station_cadence,42,RNSVI,,modal_interval,"derived, 4986 of 5021 measured intervals",240,240,,,360,,99.30,,,,
station_cadence,43,RNSWA,,modal_interval,"derived, 4167 of 4883 measured intervals",240,240,,,360,,85.34,,,,
station_cadence,44,RNSWE,,modal_interval,"derived, 4999 of 5025 measured intervals",240,240,,,360,,99.48,,,,
station_cadence,45,RNSWM,,modal_interval,"derived, 1914 of 1972 measured intervals",600,600,,,144,,97.06,,,,
station_cadence,46,RNSYA,,modal_interval,"derived, 4997 of 5022 measured intervals",240,240,,,360,,99.50,,,,
station_scorecard,1,RNSAM,,window_total,ok,240,,5043,5015,5040,99.50,,0,0,0,805
station_scorecard,2,RNSBD,,window_total,ok,240,,5017,5017,5040,99.54,,0,0,0,110
station_scorecard,3,RNSBL,,window_total,ok,240,,5000,5000,5040,99.21,,0,0,0,39
station_scorecard,4,RNSBU,,window_total,flagged: frozen air temperature run; out-of-range values,240,,5012,5012,5040,99.44,,0,1,1,37
station_scorecard,5,RNSBV,,window_total,ok,240,,5002,5002,5040,99.25,,0,0,0,21
station_scorecard,6,RNSBW,,window_total,ok,240,,5025,5025,5040,99.70,,0,0,0,5634
station_scorecard,7,RNSCA,,window_total,flagged: uptime below 99.00 percent; frozen air temperature run,120,,9923,9923,10080,98.44,,1,1,0,63
station_scorecard,8,RNSCB,,window_total,ok,240,,5312,4999,5040,99.19,,1,0,0,48
station_scorecard,9,RNSCH,,window_total,ok,240,,5024,5024,5040,99.68,,0,0,0,115
station_scorecard,10,RNSCHB,,window_total,flagged: frozen air temperature run,240,,5023,5003,5040,99.27,,0,1,0,33
station_scorecard,11,RNSCO,,window_total,ok,240,,5023,5019,5040,99.58,,0,0,0,54
station_scorecard,12,RNSCP,,window_total,flagged: frozen air temperature run,240,,5032,5015,5040,99.50,,1,1,0,1080
